,SDK2 (54549)
ACH-000004,-0.003115772126056085
ACH-000005,0.12028267005177368
ACH-000007,0.014537748516423626
ACH-000009,-0.21306426522783295
ACH-000011,-0.05239274610139247
ACH-000012,0.04754547172793852
ACH-000013,0.03864373405662662
ACH-000014,-0.10872381787783364
ACH-000015,-0.04107187327175879
ACH-000017,-0.13282547251783314
ACH-000018,0.2310570319133006
ACH-000019,0.07352260740241656
ACH-000021,0.01933647063418068
ACH-000022,-0.21247879334247025
ACH-000025,0.0586799631485763
ACH-000028,-0.02129891969891239
ACH-000030,-0.010675104387188808
ACH-000035,-0.19051741421800567
ACH-000036,-0.13082104710495127
ACH-000037,0.028008705710516543
ACH-000039,-0.06608861448742373
ACH-000040,-0.02869260116681848
ACH-000041,-0.0706750363498499
ACH-000042,-0.19749855490711693
ACH-000045,0.09853529748165332
ACH-000047,-0.06274781572898784
ACH-000052,-0.13772116189170794
ACH-000053,-0.02473696693305547
ACH-000054,0.05154298278828623
ACH-000055,0.055220205058779996
ACH-000060,-0.0375448676130704
ACH-000067,0.029871353186917318
ACH-000070,-0.11900147665938655
ACH-000075,-0.09830803399486332
ACH-000078,-0.0465752119344038
ACH-000082,0.03153301363752997
ACH-000085,-0.20648671708106286
ACH-000086,0.008736021190252423
ACH-000087,-0.18823142624577366
ACH-000092,0.06614025103536357
ACH-000095,-0.2018033656133217
ACH-000097,0.07847888041453817
ACH-000098,-0.0051090350291096535
ACH-000099,-0.13287316770239835
ACH-000108,-0.04889269639617533
ACH-000113,-0.09980121068202144
ACH-000116,-0.07165018185051973
ACH-000118,-0.04052078888784207
ACH-000120,-0.3059325781047029
ACH-000123,-0.15124428543873736
ACH-000127,-0.053391434987742264
ACH-000128,0.006029898222571735
ACH-000132,-0.06444581522907745
ACH-000133,0.10308438273775557
ACH-000137,0.1522458867167812
ACH-000138,0.011748449774247554
ACH-000142,-0.06263024947321101
ACH-000143,0.017524414894272783
ACH-000146,0.0032915738498741705
ACH-000148,-0.08421523592216505
