,SOGA3 (387104)
ACH-000004,-0.2145897070576684
ACH-000005,-0.07877920506990342
ACH-000007,-0.03260541490480024
ACH-000009,-0.016817289715289133
ACH-000011,-0.17450221189757725
ACH-000012,-0.17404573339406873
ACH-000013,-0.03211965567715565
ACH-000014,-0.06802733883827812
ACH-000015,-0.01732200853019514
ACH-000017,-0.11634663735717858
ACH-000018,-0.06648311699549457
ACH-000019,-0.11601922559370742
ACH-000021,-0.2114682859148492
ACH-000022,-0.023715294981696302
ACH-000025,0.08344964440702506
ACH-000028,-0.1268041071171837
ACH-000030,-0.1357026537507712
ACH-000035,-0.059580776731372034
ACH-000036,-0.030895761443520076
ACH-000037,-0.10152288228696778
ACH-000039,-0.1651264050192054
ACH-000040,-0.03948693588661081
ACH-000041,0.08622104854485434
ACH-000042,-0.0470237632724611
ACH-000045,-0.24523879952975164
ACH-000047,-0.05997604997024479
ACH-000052,0.049613569159522586
ACH-000053,-0.037826016079949454
ACH-000054,-0.04462310499782857
ACH-000055,-0.013348972710302292
ACH-000060,-0.2762541400753501
ACH-000067,-0.1453414404425766
ACH-000070,0.018771521096014314
ACH-000075,-0.11987526231497365
ACH-000078,0.1319685957403414
ACH-000082,-0.06204188054695633
ACH-000085,0.028352691953974014
ACH-000086,-0.060455054004647325
ACH-000087,-0.09824846961808867
ACH-000092,-0.057447381343413526
ACH-000095,-0.17781383463540262
ACH-000097,-0.04612584373360837
ACH-000098,-0.023027663193940184
ACH-000099,-0.057467950390223725
ACH-000108,-0.3128083654085314
ACH-000113,-0.10695624390206346
ACH-000116,-0.07775333260015058
ACH-000118,-0.003325679068961945
ACH-000120,-0.2509621300505554
ACH-000123,-0.14498986176533132
ACH-000127,-0.027597450857617768
ACH-000128,-0.2616430140527806
ACH-000132,-0.10003998228416766
ACH-000133,-0.005459441638584903
ACH-000137,-0.16012714388239085
ACH-000138,-0.14864831520809274
ACH-000142,-0.16607941454002625
ACH-000143,-0.020524738743939272
ACH-000146,-0.10448850670471292
ACH-000148,-0.10020663848033767
ACH-000150,0.023123257860217645
ACH-000152,0.03602751113277032
ACH-000153,-0.012870196173866606
ACH-000159,-0.02455104321048453
ACH-000160,-0.11758537889550705
ACH-000163,0.03202366133560182
ACH-000167,-0.38077447976572426
ACH-000168,-0.08559209482776428
ACH-000169,0.06186528157472696
ACH-000178,0.005129657274887803
ACH-000183,-0.05226177361892563
ACH-000188,-0.05855676461137115
ACH-000189,-0.09600800280045063
ACH-000190,0.025282216870346326
ACH-000198,-0.1757195737429818
ACH-000203,-0.14265555073752967
ACH-000204,0.2081704370782083
ACH-000206,-0.035728261108468815
ACH-000207,-0.06910757159345628
ACH-000208,-0.34577266190663675
ACH-000210,-0.4196664206632295
ACH-000211,-0.14449342799703008
