,APITD1 (378708)
ACH-000004,-0.110448879082167
ACH-000005,-0.3611274050096489
ACH-000007,-0.32513781137733755
ACH-000009,-0.2328152129010171
ACH-000011,-0.17576248982343162
ACH-000012,-0.2613881696947219
ACH-000013,-0.16493884982051174
ACH-000014,-0.1157969556743016
ACH-000015,-0.052863863417097465
ACH-000017,-0.1021506472614729
ACH-000018,-0.2634332769598622
ACH-000019,-0.15628958995415956
ACH-000021,-0.12479752586441382
ACH-000022,-0.13333308101248595
ACH-000025,-0.23872985776295985
ACH-000028,-0.2209962626590216
ACH-000030,-0.22725998185776414
ACH-000035,-0.1971730107653637
ACH-000036,-0.2017076517117956
ACH-000037,-0.26568010836635925
ACH-000039,-0.21871884300437355
ACH-000040,-0.2799397844036544
ACH-000041,-0.12494442754371338
ACH-000042,-0.19514970103092524
ACH-000045,-0.09922939272716297
ACH-000047,-0.314504411733255
ACH-000052,-0.2774729122741169
ACH-000053,-0.1223984875071472
ACH-000054,-0.0418370213951608
ACH-000055,-0.2500227659445657
ACH-000060,-0.163060241088957
ACH-000067,-0.30043283541768045
ACH-000070,-0.09208730030824012
ACH-000075,-0.19054948691540696
ACH-000078,-0.3287564484046421
ACH-000082,-0.2723433569098105
ACH-000085,-0.17391623701509326
ACH-000086,-0.21702349376655047
ACH-000087,-0.2019280651732832
ACH-000092,-0.3042694675655065
ACH-000095,-0.13649687682447956
ACH-000097,-0.17646411180401594
ACH-000098,-0.12377580953484872
ACH-000099,-0.1937619288187456
ACH-000108,-0.12600416821389313
ACH-000113,-0.070126561544012
ACH-000116,-0.1769296461053317
ACH-000118,-0.2380081085095431
ACH-000120,-0.12383667909401402
ACH-000123,-0.1945356413128781
ACH-000127,-0.10763959029861596
ACH-000128,-0.3117276509696854
ACH-000132,-0.23101600850688425
ACH-000133,-0.559306872334926
ACH-000137,-0.006447873706691916
ACH-000138,-0.10636717955790552
ACH-000142,-0.3564681547367451
ACH-000143,-0.17789952866046102
ACH-000146,-0.009372512106757656
ACH-000148,-0.2843300956941696
ACH-000150,-0.32602579311959595
ACH-000152,-0.4022875642698993
ACH-000153,-0.15041784094345684
ACH-000159,-0.20998644634293528
ACH-000160,-0.18910285406554225
ACH-000163,-0.08907997174787931
ACH-000167,-0.4093765717332492
ACH-000168,-0.1872460398605724
ACH-000169,-0.14191694146837402
ACH-000178,-0.14937461715714692
ACH-000183,-0.08629864098264406
ACH-000188,-0.3439673832689016
ACH-000189,-0.16763794416305358
ACH-000190,-0.1605733669755253
ACH-000198,-0.04727033661319385
ACH-000203,-0.20587862019937656
ACH-000204,-0.11150056996888663
ACH-000206,-0.046611532162426327
ACH-000207,-0.1551382181989501
ACH-000208,-0.2530091909679726
ACH-000210,-0.2355032776732983
ACH-000211,-0.22032049963955952
ACH-000215,-0.16583373384431774
ACH-000221,-0.07686236949875827
ACH-000222,-0.13295090028174264
ACH-000223,-0.169534295627781
ACH-000226,-0.10022842957562304
ACH-000227,-0.3356644803257782
ACH-000228,-0.15276103552451814
ACH-000231,-0.3189677739000927
ACH-000232,-0.10903062436937908
ACH-000233,-0.11327075961862948
ACH-000234,-0.20217582474521706
ACH-000235,-0.07921106725445493
ACH-000237,-0.3680463757775871
ACH-000238,-0.2921026822816716
ACH-000242,0.07179539971099738
ACH-000243,-0.18423041033953164
ACH-000244,-0.17176050486066546
ACH-000246,-0.3793337595273752
ACH-000248,-0.13972856724218094
ACH-000250,-0.14431742806318773
ACH-000251,-0.044768280458546285
ACH-000252,-0.12163659939553377
ACH-000253,-0.10682838652587827
ACH-000255,-0.3183446785624879
ACH-000256,-0.3286023242910504
ACH-000257,-0.3627079734069094
ACH-000258,-0.28737756976535195
ACH-000259,-0.4021673190284384
ACH-000260,-0.2433107018506561
ACH-000261,-0.12996739018256587
ACH-000262,-0.1485446741967226
ACH-000263,0.14480357261948648
ACH-000264,-0.11897166118212747
ACH-000265,-0.08303928642569272
ACH-000266,-0.058779336849835134
ACH-000272,-0.14124317793386607
ACH-000274,-0.2727342805696937
ACH-000277,-0.2341403595814344
ACH-000278,-0.4608936892200933
ACH-000279,-0.15089586873774874
ACH-000280,-0.13061581505701364
ACH-000281,-0.13141830787350067
ACH-000288,-0.2587849742296085
ACH-000291,-0.15645340634539856
ACH-000293,-0.2028364349958415
ACH-000294,-0.09308970832577858
ACH-000295,-0.1894765745689419
ACH-000296,-0.4867765982890573
ACH-000302,-0.20673385990622736
ACH-000304,-0.3160569448628452
ACH-000307,-0.14139892083583974
ACH-000308,-0.1208358945249382
ACH-000310,-0.20832689224042364
ACH-000311,-0.17165654506830427
ACH-000312,-0.32960624834801777
ACH-000315,-0.07898230990037994
ACH-000316,-0.11211494499318199
ACH-000317,-0.15814183328161235
ACH-000318,-0.1630779904863713
ACH-000319,-0.25893442160249963
ACH-000320,-0.13540977025088133
ACH-000322,-0.11001238389586623
ACH-000323,-0.1726477988022834
ACH-000324,-0.16180616993546662
ACH-000329,-0.1969349456888077
ACH-000330,-0.09066823739749674
ACH-000331,-0.3359254164052369
ACH-000332,-0.13402011805453254
ACH-000334,0.0808137223122142
ACH-000335,-0.1938172119249644
ACH-000336,-0.02974868737712543
ACH-000337,-0.2305493351953105
ACH-000338,-0.051398929660155065
ACH-000339,-0.07067199169506612
ACH-000341,-0.42798621693674177
ACH-000348,-0.11256245681462088
ACH-000350,-0.1532561843276113
ACH-000352,-0.19054435819074694
ACH-000356,-0.23089947904754174
ACH-000361,-0.07991831758925996
ACH-000362,-0.031008574045452295
ACH-000363,-0.17770237937973446
ACH-000364,-0.5443496483998634
ACH-000365,-0.20611547795986535
ACH-000366,-0.26784645559950554
ACH-000368,-0.2529934485798879
ACH-000374,-0.12582679736873767
ACH-000375,-0.2838166602157107
ACH-000376,-0.18146654636525025
ACH-000381,-0.06399499104987727
ACH-000383,-0.06647430970392852
ACH-000387,-0.07616064814819813
ACH-000389,-0.1352620861531889
ACH-000390,-0.07742558777398323
ACH-000393,-0.17520263411487247
ACH-000395,-0.05956453470682259
ACH-000396,0.026129229642470563
ACH-000397,-0.15127103603423495
ACH-000401,-0.07836249298944775
