,GMEB2 (26205)
ACH-000004,-0.1147444885233804
ACH-000005,-0.3272031500669905
ACH-000007,-0.07134227030051632
ACH-000009,-0.2725228847346375
ACH-000011,-0.09952494991052403
ACH-000012,-0.030714608897222436
ACH-000013,-0.09395405767682102
ACH-000014,-0.3401051049976813
ACH-000015,-0.22660013247948754
ACH-000017,-0.13849748773617201
ACH-000018,-0.18931010585198266
ACH-000019,-0.13313582035745647
ACH-000021,-0.1933725198888397
ACH-000022,-0.2684063412596789
ACH-000025,-0.3825582117330354
ACH-000028,-0.3125640533437273
ACH-000030,-0.17731738203176195
ACH-000035,-0.06062431824030395
ACH-000036,-0.2417238813588294
ACH-000037,-0.15436140646609486
ACH-000039,-0.13981176153334093
ACH-000040,-0.13588263972806228
ACH-000041,-0.332172573526585
ACH-000042,-0.5145677418705747
ACH-000045,-0.06100518996322229
ACH-000047,-0.217447862010333
ACH-000052,-0.271788926829779
ACH-000053,-0.10514735418353033
ACH-000054,-0.26788893716855666
ACH-000055,-0.3252635958973318
ACH-000060,-0.3791172941436721
ACH-000067,-0.2453264118595563
ACH-000070,-0.25396012190349104
ACH-000075,-0.13284836507280545
ACH-000078,-0.2719062885332387
ACH-000082,-0.24065178876032275
ACH-000085,-0.05605390706493092
ACH-000086,-0.22951246418807375
ACH-000087,-0.3190424280103998
ACH-000092,-0.1104613106608704
ACH-000095,-0.28454834558209996
ACH-000097,-0.211061940350996
ACH-000098,-0.2382227898665617
ACH-000099,-0.3298332844291648
ACH-000108,-0.3007529134343849
ACH-000113,-0.19326039933647898
ACH-000116,-0.3608283643665485
ACH-000118,-0.08157416517525824
ACH-000120,-0.2270788242298265
ACH-000123,-0.06472580471667456
ACH-000127,-0.03668305174202857
ACH-000128,-0.2970117288551001
ACH-000132,-0.08335052610459749
ACH-000133,-0.27996121526059026
ACH-000137,-0.19875745517198834
ACH-000138,-0.2568484525234575
ACH-000142,-0.02544482993260896
ACH-000143,-0.2828395061203872
ACH-000146,-0.1974013012234469
ACH-000148,-0.3801655843316536
ACH-000150,-0.2929387309711115
ACH-000152,-0.3223907594606095
ACH-000153,-0.121096245468622
ACH-000159,-0.10821648086606814
ACH-000160,-0.1045563957766253
ACH-000163,-0.11262549701883215
ACH-000167,0.1450580436271927
ACH-000168,-0.12764779022802664
ACH-000169,-0.31021522134107915
ACH-000178,-0.1981155283482873
ACH-000183,-0.3348848480725239
ACH-000188,-0.2181136284637159
ACH-000189,-0.284556901581167
ACH-000190,0.09443973402820352
ACH-000198,-0.03108737142403925
ACH-000203,-0.3462437758655623
ACH-000204,-0.3455954033774736
ACH-000206,-0.39441058087022585
ACH-000207,-0.2435174890274793
ACH-000208,-0.18458316831762206
ACH-000210,0.19166241478558055
ACH-000211,-0.1867704380454231
ACH-000215,-0.23696578492619744
ACH-000221,-0.3427214764483241
ACH-000222,-0.16040589751746628
ACH-000223,-0.18081806002584705
ACH-000226,-0.14042510397597802
ACH-000227,-0.28015460890631355
ACH-000228,-0.2286684799706787
ACH-000231,-0.2498536699380716
ACH-000232,-0.3641092699601733
ACH-000233,-0.2694339949366074
ACH-000234,-0.2765844436881277
ACH-000235,-0.1886292648500478
ACH-000237,-0.1321734564192498
ACH-000238,-0.2282170505258224
ACH-000242,-0.4329680047369912
ACH-000243,-0.03390556507832555
ACH-000244,-0.519028417655909
ACH-000246,-0.2523316579223913
ACH-000248,-0.3243323332436948
ACH-000250,-0.2994220456910225
