,DRAM1 (55332)
ACH-000004,-0.08496159357411588
ACH-000005,-0.37132194232397936
ACH-000007,0.14271541027291024
ACH-000009,0.0697411385705667
ACH-000011,0.08304100606603157
ACH-000012,0.10509403944361484
ACH-000013,0.08122283816356174
ACH-000014,-0.07147980241910735
ACH-000015,-0.06361777170644721
ACH-000017,-0.05610729884376731
ACH-000018,0.12401186132828675
ACH-000019,0.08093420295583406
ACH-000021,-0.13708906112783853
ACH-000022,0.13428489611880173
ACH-000025,-0.07301932614692172
ACH-000028,0.036528042177415884
ACH-000030,0.07976712310842342
ACH-000035,0.006812910975309141
ACH-000036,-0.01574128242928407
ACH-000037,-0.04455406323025026
ACH-000039,-0.14762831152069378
ACH-000040,-0.08982263688777717
ACH-000041,-0.0268975508805865
ACH-000042,-0.01746595269529071
ACH-000045,-0.006678432221768408
ACH-000047,0.07589449981445619
ACH-000052,-0.1866233027518087
ACH-000053,-0.020541090511635246
ACH-000054,-0.1067368835601262
ACH-000055,-0.05463537048990104
ACH-000060,0.08137969039344964
ACH-000067,-0.12230525162448322
ACH-000070,0.11342730051682345
ACH-000075,-0.2513371852102184
ACH-000078,0.13529279895538002
ACH-000082,0.0008430751371447308
ACH-000085,0.29455140199055235
ACH-000086,-0.0248233362230106
ACH-000087,-0.3115389902215598
ACH-000092,-0.0022404197553933013
ACH-000095,-0.07122140648399354
ACH-000097,0.037897203877881834
ACH-000098,-0.004774549295048975
ACH-000099,-0.06551026456062603
ACH-000108,0.13614236667569926
ACH-000113,-0.08634368928838247
ACH-000116,0.04557211321816982
ACH-000118,0.03370023334862689
ACH-000120,-0.07452476491334467
ACH-000123,-0.04091867441386548
ACH-000127,-0.015842401661331572
ACH-000128,0.0013468641613638632
ACH-000132,0.046733045952023655
ACH-000133,-0.0512857767127464
ACH-000137,-0.10197763246247747
ACH-000138,-0.09677382832849613
ACH-000142,-0.12496993250070447
ACH-000143,-0.050471505095587135
ACH-000146,0.2102185191141924
ACH-000148,-0.06684903103483675
ACH-000150,-0.1657925408388441
ACH-000152,-0.058481025270022136
ACH-000153,0.036886566586912466
ACH-000159,-0.018106326280302846
ACH-000160,-0.00039098641038582495
ACH-000163,-0.2011650999214388
ACH-000167,-0.3765291270156032
ACH-000168,0.001540355387626436
ACH-000169,-0.07292572924886198
ACH-000178,0.055528321525663726
ACH-000183,0.058488768859805834
ACH-000188,-0.007401045309177333
ACH-000189,0.058992907019557325
ACH-000190,-0.01823340905323261
ACH-000198,-0.1573187928161753
ACH-000203,0.16263255283011452
ACH-000204,0.030562710639575618
ACH-000206,0.1117691289742528
ACH-000207,0.1495642322569996
ACH-000208,0.07563686814849029
ACH-000210,-0.2513163438230838
ACH-000211,-0.020479606492646282
ACH-000215,0.07174168252273115
ACH-000221,0.009413506225270105
ACH-000222,0.0936877198454722
ACH-000223,-0.055987647576216916
ACH-000226,-0.0697749907836615
ACH-000227,-0.05556031408987134
ACH-000228,0.016504813644627324
ACH-000231,0.043374851167586714
ACH-000232,-0.132208490704237
ACH-000233,-0.011759002337854369
ACH-000234,0.0931488715225086
ACH-000235,-0.01016399121430508
ACH-000237,-0.103794047070927
ACH-000238,-0.02332624522253642
ACH-000242,-0.3529138306604833
ACH-000243,0.10673577461329854
ACH-000244,0.18703260273410685
ACH-000246,0.1242818645517288
ACH-000248,-0.05674290965006645
ACH-000250,-0.009724164188497504
ACH-000251,0.07884469824990999
ACH-000252,0.12389322041375515
ACH-000253,0.03049850064063242
ACH-000255,0.08403845935084008
ACH-000256,0.013888682212492362
ACH-000257,0.051771927657396986
ACH-000258,0.025334646933659718
