,PNRC2 (55629)
ACH-000004,-0.4705671230146909
ACH-000005,-0.31491922335752565
ACH-000007,-0.0332459055120555
ACH-000009,-0.3159406141137877
ACH-000011,-0.21639993413248987
ACH-000012,-0.461203081441665
ACH-000013,-0.27006204826861835
ACH-000014,-0.1621540173413526
ACH-000015,-0.2594139895547945
ACH-000017,-0.19513166284632893
ACH-000018,-0.28870264683224606
ACH-000019,-0.24764221874649736
ACH-000021,-0.20704652644124585
ACH-000022,-0.21968581938528287
ACH-000025,-0.5435334506841333
ACH-000028,-0.3425755779065895
ACH-000030,-0.2186007076846423
ACH-000035,-0.4701126873034368
ACH-000036,-0.35082239335979576
ACH-000037,-0.15252419774761425
ACH-000039,-0.4450317260722019
ACH-000040,-0.4134740456880699
ACH-000041,-0.2349631623241539
ACH-000042,-0.2990824526388189
ACH-000045,-0.04972134071609625
ACH-000047,-0.1395184438780527
ACH-000052,-0.236249445381622
ACH-000053,-0.3585123000928093
ACH-000054,-0.4218486112716767
ACH-000055,-0.5759456165499554
ACH-000060,-0.24038986515198
ACH-000067,-0.5422135743403391
ACH-000070,-0.2047024743006955
ACH-000075,-0.4600255026596133
ACH-000078,-0.1940447457865525
ACH-000082,-0.21934194413403665
ACH-000085,-0.28447388930184325
ACH-000086,-0.3709952169480362
ACH-000087,-0.2345060747517683
ACH-000092,-0.4863293730781156
ACH-000095,-0.21790569890014488
ACH-000097,-0.3074545268787237
ACH-000098,-0.3001428172764083
ACH-000099,-0.1347527241139719
ACH-000108,-0.278281287025662
ACH-000113,-0.19802478555295167
ACH-000116,-0.15202545686073385
ACH-000118,-0.33728845519784995
ACH-000120,-0.06406598639495154
ACH-000123,-0.10281816939118003
ACH-000127,-0.23470281472567375
ACH-000128,-0.4421598183221522
ACH-000132,-0.232214629014848
ACH-000133,-0.17684176042570982
ACH-000137,-0.3938332017662484
ACH-000138,-0.2521406661067886
ACH-000142,-0.22188611342687
ACH-000143,-0.215728110895594
ACH-000146,-0.18020455566428376
ACH-000148,-0.2738682159858021
ACH-000150,-0.4262497801293178
ACH-000152,-0.4202483421706801
ACH-000153,-0.35906824334347864
ACH-000159,-0.2437701178763603
ACH-000160,-0.13495589226718807
ACH-000163,-0.2536535602053462
ACH-000167,-0.21824088570855804
ACH-000168,-0.10152913044661166
ACH-000169,-0.09802194324824684
ACH-000178,-0.19380711518256574
ACH-000183,-0.2723329896715296
ACH-000188,-0.4637145727931358
ACH-000189,-0.5260269313719935
ACH-000190,-0.7002345164862979
ACH-000198,-0.1646244598691088
ACH-000203,-0.015028695596592137
ACH-000204,-0.3914387771534972
ACH-000206,-0.27646086757617594
ACH-000207,-0.3411396290139031
ACH-000208,-0.2250002301057459
ACH-000210,-0.1534888878581108
ACH-000211,-0.2289060001416044
ACH-000215,-0.2763148435253573
ACH-000221,-0.3529923158017371
ACH-000222,-0.20246060188631096
ACH-000223,-0.27889314246561697
ACH-000226,-0.3594423671681837
ACH-000227,-0.2024436324035408
ACH-000228,-0.0865535517084539
ACH-000231,-0.333372673651511
ACH-000232,-0.18307925926158314
ACH-000233,-0.18061096822055547
ACH-000234,-0.1835066015911756
ACH-000235,-0.34335641029353825
ACH-000237,-0.27553091703783195
ACH-000238,-0.5654596702870367
ACH-000242,-0.36988356505000064
ACH-000243,-0.32914997983730226
ACH-000244,-0.43990922436801894
ACH-000246,-0.2422828917921026
ACH-000248,-0.0449931815233896
ACH-000250,-0.1818969012005204
ACH-000251,-0.485999556248161
ACH-000252,-0.2947375303554884
ACH-000253,-0.13664878111536166
ACH-000255,-0.1882676317533888
ACH-000256,-0.40977176116367947
