,ATN1 (1822)
ACH-000004,-0.1924276297741833
ACH-000005,0.5224144856625256
ACH-000007,-0.011183591431089835
ACH-000009,-0.23731971550672845
ACH-000011,-0.2290887465619648
ACH-000012,-0.08145593729866847
ACH-000013,0.03692944272509818
ACH-000014,-0.11445822771930103
ACH-000015,-0.3049998825808059
ACH-000017,-0.1316145993096091
ACH-000018,-0.28159148139720336
ACH-000019,-0.1969725712269024
ACH-000021,-0.2145657733954381
ACH-000022,-0.14418262226605336
ACH-000025,-0.13562250622120242
ACH-000028,-0.04875263466091898
ACH-000030,-0.08339332708485679
ACH-000035,-0.11944699709846936
ACH-000036,-0.3689416964335904
ACH-000037,-0.08780001055289198
ACH-000039,-0.11503995112091385
ACH-000040,-0.10549312058240576
ACH-000041,-0.2525654485701375
ACH-000042,-0.11132554298368952
ACH-000045,-0.2223092074238921
ACH-000047,-0.1963616659361604
ACH-000052,-0.15980291162610122
ACH-000053,-0.20447698720538027
ACH-000054,-0.0997720357633229
ACH-000055,-0.3705383617040331
ACH-000060,-0.1698322258894748
ACH-000067,-0.046045658147500466
ACH-000070,-0.1381205567830081
ACH-000075,-0.2907775520224555
ACH-000078,-0.3874976458269517
ACH-000082,-0.2270905917967299
ACH-000085,-0.2553993045622681
ACH-000086,-0.2109863127098368
ACH-000087,-0.1030014548530858
ACH-000092,-0.14875506325189766
ACH-000095,-0.2640480257865935
ACH-000097,-0.2870082882726478
ACH-000098,-0.11419334695593815
ACH-000099,-0.33664235209655885
ACH-000108,-0.42798273428068295
ACH-000113,-0.3577251627137216
ACH-000116,-0.0394959380879675
ACH-000118,-0.1758161499811133
ACH-000120,-0.3672710001110072
ACH-000123,-0.12572460822313894
ACH-000127,-0.1903243960584776
ACH-000128,-0.3050325288235569
ACH-000132,-0.009423187003243105
ACH-000133,-0.04482946799835327
ACH-000137,-0.18003756466288878
ACH-000138,-0.30137825527548856
ACH-000142,-0.21739078609766788
ACH-000143,-0.2845444962071996
ACH-000146,-0.09133203757642512
ACH-000148,-0.2350490343385377
ACH-000150,-0.218713643529466
ACH-000152,-0.13956085722795925
ACH-000153,-0.11107280142914454
ACH-000159,-0.3209964764535702
ACH-000160,0.1559385052283911
ACH-000163,-0.3130244982733329
ACH-000167,0.5207703349448679
ACH-000168,-0.043365186508084505
ACH-000169,-0.3340848175739917
ACH-000178,-0.20791702364416045
ACH-000183,-0.13076483912862924
ACH-000188,-0.1884533455897194
ACH-000189,-0.3043084098080902
ACH-000190,0.026900420698432344
ACH-000198,-0.14792967059188142
ACH-000203,-0.10302399928456987
ACH-000204,-0.13466503038604974
ACH-000206,-0.2915588987473585
ACH-000207,-0.08806092939290093
ACH-000208,-0.36895770179643067
ACH-000210,-0.12266218711052228
ACH-000211,-0.2910892327001381
ACH-000215,-0.2405002376137577
ACH-000221,-0.34365495821213105
ACH-000222,-0.20339843270042826
ACH-000223,-0.06920880937749724
ACH-000226,-0.22269845825684265
ACH-000227,-0.27673509677766583
ACH-000228,-0.3357836904913929
ACH-000231,-0.21661114569739195
ACH-000232,-0.33973728510264395
ACH-000233,-0.18161415352830854
ACH-000234,-0.237800408931944
ACH-000235,-0.09278102304395336
ACH-000237,-0.1057164675942926
