,CUBN (8029)
ACH-000004,-0.2552828953517737
ACH-000005,-0.4212001469510045
ACH-000007,-0.3996552845278847
ACH-000009,-0.1426360527721835
ACH-000011,-0.019249300354196804
ACH-000012,-0.047656620126626366
ACH-000013,-0.14684347211822654
ACH-000014,-0.2781152517801116
ACH-000015,-0.17269700230705265
ACH-000017,-0.16594035720913827
ACH-000018,-0.10812724766374268
ACH-000019,-0.08852729408263774
ACH-000021,-0.22201061844514067
ACH-000022,-0.08803691843972382
ACH-000025,-0.039863339397645386
ACH-000028,-0.2275586620021841
ACH-000030,-0.1834491062695597
ACH-000035,-0.13330910843354754
ACH-000036,-0.2562146902793801
ACH-000037,-0.2426893344036554
ACH-000039,-0.2057391244946933
ACH-000040,0.027755683490111985
ACH-000041,-0.2750517090773116
ACH-000042,-0.14953973743526006
ACH-000045,-0.22916413463080584
ACH-000047,-0.021433501839476725
ACH-000052,0.03255006587022738
ACH-000053,-0.10783678639704056
ACH-000054,-0.21746078251577391
ACH-000055,-0.15234127999579494
ACH-000060,-0.2477302981616601
ACH-000067,-0.07718590436898039
ACH-000070,-0.385735694736284
ACH-000075,-0.07874379199448052
ACH-000078,-0.14156441612724086
ACH-000082,-0.22740196166568424
ACH-000085,-0.19456719028703726
ACH-000086,-0.10248400423076533
ACH-000087,-0.023821594516102742
ACH-000092,-0.12417044716232825
ACH-000095,-0.15432430315078946
ACH-000097,-0.20958894766697045
ACH-000098,-0.2293954948971127
ACH-000099,-0.23684080693550444
ACH-000108,-0.06494809159052428
ACH-000113,-0.17266332212053992
ACH-000116,-0.016873483584460988
ACH-000118,-0.07287498720764267
ACH-000120,-0.11818464478643295
ACH-000123,-0.12068233381047205
ACH-000127,-0.12313663298873663
ACH-000128,-0.1721587924424772
ACH-000132,-0.2808706505644812
ACH-000133,-0.2065321905169684
ACH-000137,-0.13105104720767854
ACH-000138,-0.1217330887104512
ACH-000142,-0.04960994464361475
ACH-000143,-0.20222587915614107
ACH-000146,-0.20733667829535046
ACH-000148,-0.2752894663290846
ACH-000150,-0.2837340367573848
ACH-000152,-0.11950524719372067
ACH-000153,-0.403427020644284
ACH-000159,-0.13154177322172828
ACH-000160,-0.1389804806735175
ACH-000163,-0.12055849707875355
ACH-000167,-0.012686932056768236
ACH-000168,-0.11622135622901875
ACH-000169,-0.10800034844075483
ACH-000178,-0.2751061004980357
ACH-000183,-0.1458834093522276
ACH-000188,-0.21701093437362315
ACH-000189,-0.19392918713050847
ACH-000190,-0.10760458239919804
ACH-000198,-0.05710697634355464
ACH-000203,-0.20811793713606555
ACH-000204,-0.026437666513149657
ACH-000206,-0.10097644617309247
ACH-000207,-0.13904037673436884
