,UCMA (221044)
ACH-000004,-0.04312833538309207
ACH-000005,-0.16163669513256895
ACH-000007,-0.145450736527239
ACH-000009,-0.21416737722699566
ACH-000011,-0.12893697619620936
ACH-000012,-0.20299385918417864
ACH-000013,-0.20881689841592602
ACH-000014,-0.07999961185721784
ACH-000015,0.009958508525048957
ACH-000017,-0.11071094078356956
ACH-000018,-0.245883768108128
ACH-000019,-0.18599811387043305
ACH-000021,-0.0713255598441824
ACH-000022,-0.10965929084835073
ACH-000025,-0.2012934146672716
ACH-000028,0.09097430583447116
ACH-000030,-0.059609366302466174
ACH-000035,-0.09538982543912584
ACH-000036,0.06629730391196795
ACH-000037,-0.2488807997977564
ACH-000039,-0.1826622625268787
ACH-000040,-0.030072874570049007
ACH-000041,-0.3230249820280369
ACH-000042,-0.09578017643342136
ACH-000045,-0.11765815722184485
ACH-000047,-0.0520318669729226
ACH-000052,0.035077119817447065
ACH-000053,-0.03503768064310967
ACH-000054,0.13540099911860062
ACH-000055,-0.08274255309073714
ACH-000060,-0.16443387474522247
ACH-000067,-0.1372335262885241
ACH-000070,-0.033823150632482334
ACH-000075,0.09432880280575896
ACH-000078,-0.19126785950892336
ACH-000082,-0.10194016460733954
ACH-000085,-0.01394625265814636
ACH-000086,-0.08050737078015399
ACH-000087,-0.18142891867453304
ACH-000092,-0.11556629111886252
ACH-000095,-0.2390984823169925
ACH-000097,-0.17896303348215553
ACH-000098,-0.2586405314861158
ACH-000099,-0.14740660544982445
ACH-000108,-0.05015993225984044
ACH-000113,-0.05763240972569821
ACH-000116,-0.15814862964550766
ACH-000118,-0.07238798148745099
ACH-000120,0.03831225876986255
ACH-000123,-0.00022255478063601606
ACH-000127,-0.04574065196306918
ACH-000128,-0.1827209688838016
ACH-000132,-0.06716082735297903
ACH-000133,0.025496301583659068
ACH-000137,0.21358692896165293
ACH-000138,-0.024384390877369908
ACH-000142,-0.04761060749986881
ACH-000143,-0.12287672207576245
ACH-000146,-0.10694950783374102
ACH-000148,-0.14207174882509532
ACH-000150,-0.1474389740405455
ACH-000152,-0.021293634278305416
ACH-000153,-0.11511735064504633
ACH-000159,-0.15265854028114745
ACH-000160,-0.06331234239722823
ACH-000163,-0.03475748520398502
ACH-000167,-0.093079045459858
ACH-000168,-0.12891788728902132
ACH-000169,-0.06548915558370985
ACH-000178,-0.2452104976194537
ACH-000183,-0.014835267721131981
ACH-000188,-0.21314042826887816
ACH-000189,0.18387436274649369
ACH-000190,0.17225724803878673
ACH-000198,-0.11827476900158948
ACH-000203,0.16278243799301
ACH-000204,-0.2496821118642161
ACH-000206,0.04820791960245765
ACH-000207,-0.2189802677037944
ACH-000208,0.03190568039070747
ACH-000210,0.1690345970059376
ACH-000211,-0.06821190703905992
ACH-000215,-0.022864678204560614
ACH-000221,-0.14270044700999165
ACH-000222,-0.1434235965612375
ACH-000223,0.010965224208275007
ACH-000226,-0.3239858857578221
ACH-000227,-0.2339733109152747
ACH-000228,-0.048245222006442184
ACH-000231,-0.13252596974160094
ACH-000232,-0.06513405956178414
ACH-000233,-0.13910658858599972
ACH-000234,-0.029656775159315012
ACH-000235,-0.046448792615556886
ACH-000237,-0.14332611397622455
ACH-000238,0.02425021276733625
ACH-000242,-0.14299315362332166
ACH-000243,-0.05551670023668436
ACH-000244,-0.09171148141744664
ACH-000246,-0.06437035651798326
ACH-000248,-0.11341925318870433
ACH-000250,-0.11578269669055045
ACH-000251,0.03455023121473507
ACH-000252,0.004573992495879487
ACH-000253,-0.11180830611110994
ACH-000255,-0.11071212246052704
ACH-000256,0.0037042825662218478
ACH-000257,-0.2567351286322199
ACH-000258,-0.17522897630564038
ACH-000259,-0.0942729866604264
ACH-000260,0.019738965415128738
ACH-000261,-0.14920452104659826
ACH-000262,-0.15935989473633744
ACH-000263,-0.10104009868386636
