,ASF1A (25842)
ACH-000004,-0.2125990864375392
ACH-000005,-0.20714373739106054
ACH-000007,-0.29572928539037874
ACH-000009,-0.2888426224401198
ACH-000011,-0.23267498765783134
ACH-000012,-0.09592841275345138
ACH-000013,-0.0932463151386674
ACH-000014,-0.4853903404175559
ACH-000015,-0.08407243008424174
ACH-000017,-0.3498150974643698
ACH-000018,-0.29917433988680303
ACH-000019,-0.3630469365176278
ACH-000021,-0.2462473375301372
ACH-000022,-0.2661870139604115
ACH-000025,-0.531058298395782
ACH-000028,-0.14379288431898002
ACH-000030,-0.16414658371800026
ACH-000035,-0.37742127105171175
ACH-000036,-0.2581700421458569
ACH-000037,-0.20742215397839114
ACH-000039,-0.2686117365310318
ACH-000040,-0.4417253242880836
ACH-000041,-0.04943509946067795
ACH-000042,-0.21303300436885714
ACH-000045,-0.07278696888002177
ACH-000047,-0.6311368974687812
ACH-000052,-0.36160845683651976
ACH-000053,-0.048156796892589934
ACH-000054,-0.24717964686422825
ACH-000055,-0.09474963220250154
ACH-000060,-0.17360621945398946
ACH-000067,-0.3646470998143673
ACH-000070,-0.20443963927100212
ACH-000075,-0.2934563854830463
ACH-000078,-0.15469202493745654
ACH-000082,-0.3758893835514128
ACH-000085,-0.3148470611067426
ACH-000086,-0.4358455762042946
ACH-000087,-0.10094686298923856
ACH-000092,-0.2059476184569398
ACH-000095,-0.1976828146230248
ACH-000097,-0.3586499953659534
ACH-000098,-0.3341358408844099
ACH-000099,-0.2241955394368204
ACH-000108,-0.15201493102701644
ACH-000113,-0.18581441535103688
ACH-000116,-0.3397145559911255
ACH-000118,-0.1912873566542348
ACH-000120,-0.2367481818027378
ACH-000123,-0.3786910046043632
ACH-000127,-0.14843506562741182
ACH-000128,-0.21993390323059372
ACH-000132,-0.2900359983602117
ACH-000133,-0.17168610794943726
ACH-000137,-0.266240417274285
ACH-000138,-0.2593165887632117
ACH-000142,-0.15559179587104646
ACH-000143,0.10875846394869447
ACH-000146,-0.19450288529803894
ACH-000148,-0.4124792949499813
ACH-000150,-0.216778613563871
ACH-000152,-0.16130595528285285
ACH-000153,-0.12067939156938813
ACH-000159,-0.28479246262688945
ACH-000160,-0.02169898069410524
ACH-000163,-0.040479153685306565
ACH-000167,0.04565436383979452
ACH-000168,0.1110755710821892
ACH-000169,-0.4207529084188424
ACH-000178,-0.4234249522380352
ACH-000183,-0.3330856292869065
ACH-000188,-0.3622060560427321
ACH-000189,-0.12330253849783275
ACH-000190,0.0417615919605358
ACH-000198,-0.4191163555203649
ACH-000203,-0.924762329632675
ACH-000204,-0.436713811610764
ACH-000206,-0.3123898893823693
ACH-000207,-0.3591819625912046
ACH-000208,-0.20227787695335225
ACH-000210,-0.1558486438534879
ACH-000211,-0.3390377243084053
ACH-000215,-0.3886263357379013
ACH-000221,-0.5770271760601501
ACH-000222,-0.19565853746610634
ACH-000223,-0.3141487843771717
ACH-000226,-0.2256395746920246
ACH-000227,-0.25703833840552065
ACH-000228,-0.3530743105240265
ACH-000231,-0.2929648186626633
ACH-000232,-0.5393863134713786
ACH-000233,-0.10371436221314816
ACH-000234,-0.1705993740049283
ACH-000235,-0.2456371435378118
ACH-000237,-0.5052504494221279
ACH-000238,-0.2614318951526001
ACH-000242,-0.24349058643683816
ACH-000243,-0.24079606437759624
ACH-000244,-0.12577802038866742
ACH-000246,-0.17074737000988235
ACH-000248,-0.8570648624418973
ACH-000250,-0.2716319060031965
ACH-000251,-0.3137417246503402
ACH-000252,0.026306664824450574
ACH-000253,-0.16244098807631185
ACH-000255,-0.19404417838378224
ACH-000256,-0.4353134641317215
ACH-000257,-0.3503911861835474
ACH-000258,-0.40315707838126064
ACH-000259,-0.3574652264552369
ACH-000260,-0.29202690242442103
ACH-000261,-0.30096638245235874
ACH-000262,-0.30607453891005737
ACH-000263,-0.18708431372937095
ACH-000264,-0.3499822230151544
ACH-000265,-0.4939480159919018
ACH-000266,-0.26628606622720313
ACH-000272,-0.10646852264121713
ACH-000274,-0.2884382018202
ACH-000277,-0.1105383814572212
ACH-000278,-0.17400967716822727
ACH-000279,-0.26525736205477
ACH-000280,-0.2390907189462663
ACH-000281,-0.1664856959527383
ACH-000288,-0.06296529522411931
ACH-000291,-0.21105060646202967
ACH-000293,-0.4655846398414617
ACH-000294,-0.06028523697725442
ACH-000295,-0.3570445494959656
ACH-000296,-0.6313398651597671
ACH-000302,-0.4177102336661238
ACH-000304,-0.24567278152126265
ACH-000307,-0.0781184163155392
ACH-000308,-0.3170931854869404
ACH-000310,-0.08771979028211871
ACH-000311,-0.23611650347996854
ACH-000312,-0.21057273661516074
ACH-000315,-0.4500653865268013
ACH-000316,-0.05020713937153983
ACH-000317,-0.03852097794062484
ACH-000318,-0.3976285335099788
ACH-000319,-0.4818352471821154
ACH-000320,-0.3644552232558905
ACH-000322,-0.6553901732688755
ACH-000323,-0.3590730712107239
ACH-000324,-0.2641321790909612
ACH-000329,-0.28748704371380346
ACH-000330,-0.2297347236023516
ACH-000331,-0.2159762553856185
ACH-000332,-0.17581803669011986
ACH-000334,-0.4404618785095213
ACH-000335,-0.3144208405414784
ACH-000336,-0.3645635533357744
ACH-000337,-0.2290692284967097
ACH-000338,-0.12196588443396746
ACH-000339,-0.26774084039850704
ACH-000341,-0.4030065858268107
ACH-000348,-0.2315404696933248
ACH-000350,-0.15539237988783786
ACH-000352,-0.5525221219405059
ACH-000356,-0.5764411467957805
ACH-000361,-0.38536799523129617
ACH-000362,-0.16232685649739267
ACH-000363,-0.2277473025392672
ACH-000364,-0.3106392076370427
ACH-000365,-0.2220205373350287
ACH-000366,-0.5622018490659496
ACH-000368,-0.20518944101173545
ACH-000374,-0.3192791993515845
ACH-000375,-0.4282035708388965
ACH-000376,-0.11493257727407252
ACH-000381,-0.1801976114513065
ACH-000383,-0.28826970721752626
ACH-000387,-0.3568121116991241
ACH-000389,-0.1712974413769812
ACH-000390,-0.30533015871830976
ACH-000393,-0.4748137540522552
ACH-000395,-0.19396012604653395
ACH-000396,-0.4755741086661862
ACH-000397,-0.3115912815540432
ACH-000401,-0.052558136534280986
ACH-000402,-0.34171602168349924
ACH-000403,-0.18752274040603387
ACH-000404,-0.22052929833597226
ACH-000406,-0.08142490508852943
ACH-000407,-0.11217970050360633
ACH-000408,-0.13528599734464794
ACH-000410,-0.4284297861091199
ACH-000411,-0.1550873195469215
ACH-000414,-0.3208157344362061
ACH-000415,-0.2535061716154391
ACH-000416,-0.7567346485803764
ACH-000420,-0.10079803059060714
ACH-000421,-0.19662117231149207
ACH-000424,-0.29636210692884585
ACH-000425,-0.5155320596998273
ACH-000426,-0.4376396782847172
ACH-000427,-0.30678120007224297
ACH-000433,-0.2028393660610431
ACH-000435,-0.5022011982762231
ACH-000436,-0.31959620386901216
ACH-000444,-0.2221970235215339
ACH-000445,-0.2257250167673732
ACH-000448,-0.35347009698326376
ACH-000450,-0.18148187228507687
ACH-000452,-0.1786780552959099
ACH-000454,-0.24042735461056766
ACH-000458,-0.3745477814500623
ACH-000459,-0.1198668758156652
ACH-000460,-0.5843911321932062
ACH-000461,-0.4604209880554943
ACH-000463,-0.2927053012407814
ACH-000464,-0.3710774961863597
ACH-000466,-0.18038651461970512
ACH-000467,-0.2517625751757234
ACH-000468,-0.5527820844900416
ACH-000469,-0.4959668374436155
ACH-000470,-0.4349058149064899
ACH-000471,-0.7088138683456675
ACH-000472,-0.2021708669485992
ACH-000473,-0.05464520804240056
ACH-000475,-0.3087926007776703
ACH-000476,-0.376937023614125
ACH-000477,-0.13438844856144316
ACH-000479,-0.5853048647127141
ACH-000480,0.03556561499409807
ACH-000481,-0.23789789360787444
ACH-000483,-0.3615019537751939
ACH-000484,0.10525197153927347
ACH-000485,-0.2827958814857631
ACH-000486,-0.1074592704961124
ACH-000487,-0.6947901902497892
ACH-000488,-0.1387410974949327
ACH-000490,-0.45240454093674803
ACH-000491,-0.3205745069000067
ACH-000495,-0.1683804305530193
ACH-000496,-0.3509268282326466
ACH-000499,0.12261542634218064
ACH-000500,-0.13453674008745806
ACH-000502,-0.23315823061058424
ACH-000503,-0.1817258225877552
ACH-000505,-0.368843880334064
ACH-000507,-0.2347529458384205
ACH-000510,-0.16080675323359697
ACH-000511,-0.3548562037652056
ACH-000512,-0.08056577948139992
ACH-000516,-0.3525784608925527
ACH-000517,-0.3523244706012103
ACH-000518,-0.23437793048815164
ACH-000520,-0.14658166490855914
ACH-000521,-0.5415816923901681
ACH-000522,-0.34691555764166243
ACH-000524,-0.23762200265558284
ACH-000527,-0.2693219607056635
ACH-000528,-0.2933377297002692
ACH-000537,-0.11716212808829445
ACH-000541,-0.2178092578528741
ACH-000542,-0.25736302485357304
ACH-000544,-0.21623134723550053
ACH-000545,-0.26328595121064874
ACH-000547,-0.1024916944400383
ACH-000548,-0.4321603270655476
ACH-000549,-0.22439789339046706
ACH-000550,-0.014244989959683553
ACH-000552,-0.3088471857130896
ACH-000556,-0.2282969003755265
ACH-000557,-0.20619480222118647
ACH-000569,-0.5231524824443151
ACH-000570,-0.14427040631866758
