,GATS (352954)
ACH-000004,-0.1393951655658675
ACH-000005,-0.1026675344883049
ACH-000007,-0.2072233263794133
ACH-000009,-0.08726186904135651
ACH-000011,-0.2321655003603556
ACH-000012,-0.1588192402415105
ACH-000013,-0.1558091146339486
ACH-000014,-0.4069356353747648
ACH-000015,-0.06278065809365968
ACH-000017,-0.14847393433587228
ACH-000018,-0.22415128339583335
ACH-000019,-0.3050205863685341
ACH-000021,-0.4406282122968977
ACH-000022,-0.262369697034813
ACH-000025,-0.20669916265015936
ACH-000028,-0.2853307776649647
ACH-000030,-0.0979807074164925
ACH-000035,-0.33002736286883905
ACH-000036,-0.34778996815574204
ACH-000037,-0.25487835079825705
ACH-000039,-0.1825642978128478
ACH-000040,-0.3436362208732909
ACH-000041,-0.4024578658162336
ACH-000042,-0.24779568659843745
ACH-000045,-0.1667055097157767
ACH-000047,-0.3367627581242465
ACH-000052,-0.1697821341384498
ACH-000053,-0.17744871155419129
ACH-000054,-0.23594847527756466
ACH-000055,-0.12140145569908907
ACH-000060,-0.1821532080990035
ACH-000067,-0.3003611424662235
ACH-000070,-0.1183331520374541
ACH-000075,-0.4918798894696737
ACH-000078,-0.08083840283270115
ACH-000082,-0.0700234962723629
ACH-000085,-0.18547659010150272
ACH-000086,-0.04635929449899595
ACH-000087,-0.2955983699066592
ACH-000092,-0.06744394846673858
ACH-000095,-0.20228718357972725
ACH-000097,-0.16689893801081468
ACH-000098,-0.1853701138208521
ACH-000099,-0.2869441124254733
ACH-000108,-0.13940220426755565
ACH-000113,-0.18916569522082685
ACH-000116,-0.1227143093654404
ACH-000118,-0.1622678145127749
ACH-000120,-0.13857460626745222
ACH-000123,-0.22386551109258554
ACH-000127,-0.3859533214469352
ACH-000128,-0.35636442835158544
ACH-000132,-0.12019816148610275
ACH-000133,-0.1733658596336153
ACH-000137,-0.3584500052114341
ACH-000138,-0.05285104486438475
ACH-000142,-0.2469431217377201
ACH-000143,0.0824338186078046
ACH-000146,-0.26949567595896873
ACH-000148,-0.23325414070897066
ACH-000150,-0.17883454407348673
ACH-000152,-0.21154875816933907
ACH-000153,0.021379007126078254
ACH-000159,-0.330534039682656
ACH-000160,-0.3150588722155957
ACH-000163,-0.3551368017790673
ACH-000167,-0.5154120072029273
ACH-000168,-0.18599594259541044
ACH-000169,-0.16588367074492327
ACH-000178,-0.3606317721328648
ACH-000183,-0.14369917187522005
ACH-000188,-0.20619491432002807
ACH-000189,-0.3107879413417659
ACH-000190,-0.18161544354225653
ACH-000198,-0.3153297474181163
ACH-000203,-0.3705508430453789
ACH-000204,-0.020022577037057437
ACH-000206,-0.2728983237968447
ACH-000207,-0.07131706835005111
ACH-000208,-0.3650574680405526
ACH-000210,-0.2361237330023596
ACH-000211,-0.3020026513988748
ACH-000215,-0.3013762882852516
ACH-000221,-0.29440294492862273
ACH-000222,-0.34344848477436424
ACH-000223,-0.15066884537789102
ACH-000226,-0.21717611973671355
ACH-000227,-0.10242265696371866
ACH-000228,-0.11527166566903993
ACH-000231,-0.20679069685729146
ACH-000232,-0.2431543820223163
ACH-000233,-0.1556864031234236
ACH-000234,-0.2137876754505504
ACH-000235,-0.25519921348566155
ACH-000237,-0.27727976782024016
ACH-000238,-0.2519193326778326
ACH-000242,-0.05424943972148195
ACH-000243,-0.2002705209530182
ACH-000244,-0.2266473811088837
ACH-000246,-0.3287417869032632
ACH-000248,-0.2225546222740852
ACH-000250,-0.10132043355073694
ACH-000251,-0.13787457624610705
ACH-000252,-0.2866830753563875
ACH-000253,-0.3104502189901205
ACH-000255,-0.26990442774312584
ACH-000256,-0.2675963903821637
ACH-000257,-0.22855249493426805
ACH-000258,-0.3059201315191094
ACH-000259,-0.18254514724726467
ACH-000260,-0.08843888246847692
ACH-000261,-0.32299306388880833
ACH-000262,-0.15745744660689415
ACH-000263,-0.3228314644760827
ACH-000264,-0.1534051029145966
ACH-000265,-0.10353831850747154
ACH-000266,-0.2754011726198121
ACH-000272,-0.2313258027523437
ACH-000274,-0.2086131042421956
ACH-000277,-0.09514521231917868
ACH-000278,-0.2649501334456721
ACH-000279,-0.0573952274312182
ACH-000280,-0.42081641128095215
ACH-000281,-0.1312292860214666
ACH-000288,-0.28123763979405264
ACH-000291,-0.1961683494705739
ACH-000293,-0.21741542395939928
ACH-000294,-0.13545139509479684
ACH-000295,-0.13895629738234253
ACH-000296,-0.16620377417624774
ACH-000302,-0.24835089349160386
ACH-000304,-0.025145325229886474
ACH-000307,-0.19469897298604666
ACH-000308,-0.08843340792450871
ACH-000310,-0.18633512111275086
ACH-000311,-0.3168791617117063
ACH-000312,-0.27569697810939564
ACH-000315,-0.28671837941432843
ACH-000316,-0.3724123613766247
ACH-000317,-0.3004090740836567
ACH-000318,-0.2897384700563322
ACH-000319,-0.17020923932720042
ACH-000320,-0.371812030445835
ACH-000322,-0.2470281388473361
ACH-000323,-0.20793976591594004
ACH-000324,-0.26099410402928713
ACH-000329,-0.12220435043289204
ACH-000330,-0.1177406135285316
ACH-000331,-0.302177889687785
ACH-000332,-0.17283360146765514
ACH-000334,-0.47898606938041205
ACH-000335,-0.16780198224555462
ACH-000336,-0.3986628724289215
ACH-000337,-0.2443090308305907
ACH-000338,-0.2433769619199856
ACH-000339,-0.270959118797187
ACH-000341,-0.27810319282970697
ACH-000348,-0.17332419610256966
ACH-000350,-0.0440999811941336
ACH-000352,-0.0282688014438214
ACH-000356,0.08195380750222267
ACH-000361,-0.18920822386066696
ACH-000362,-0.3229025107422084
ACH-000363,-0.06849746778729894
ACH-000364,-0.2799596417265688
ACH-000365,-0.41040645171547935
ACH-000366,-0.16551355716799168
ACH-000368,-0.28181450714938
ACH-000374,-0.3609121803026161
ACH-000375,-0.19348795045782605
ACH-000376,-0.2808157259845714
ACH-000381,-0.2964006509137351
ACH-000383,-0.2816100700716102
ACH-000387,-0.14915190434192693
ACH-000389,-0.3478258478624909
ACH-000390,-0.13726920401818707
ACH-000393,-0.274612692138034
ACH-000395,-0.5413965011752896
ACH-000396,-0.25909628423569425
ACH-000397,-0.2429105444318368
ACH-000401,-0.3494387303576795
ACH-000402,-0.0539093706860742
ACH-000403,-0.15777435834189893
ACH-000404,0.10095757734026456
ACH-000406,-0.25627999982491034
ACH-000407,-0.3454763399202053
ACH-000408,-0.3289509566808313
ACH-000410,-0.15349233150212369
ACH-000411,-0.09882775672239197
ACH-000414,-0.3115140594383618
ACH-000415,-0.5842413545953696
ACH-000416,-0.16053114419024575
ACH-000420,-0.33619983010101445
ACH-000421,-0.15868989502788086
ACH-000424,-0.1312542181080009
ACH-000425,-0.3818635980795519
ACH-000426,-0.08374769910546627
ACH-000427,-0.12170514900725915
ACH-000433,-0.22087721864341547
ACH-000435,-0.342967138611018
ACH-000436,-0.217694654131952
ACH-000444,-0.19434184233011306
ACH-000445,-0.13376448632282062
ACH-000448,-0.10960523318531032
ACH-000450,-0.4801824730341056
ACH-000452,-0.374488877074848
ACH-000454,-0.21531079487196272
ACH-000458,-0.2750528884720588
ACH-000459,-0.23946629924595175
ACH-000460,-0.17589236041186415
ACH-000461,-0.2749884260775437
ACH-000463,-0.20174393622821504
ACH-000464,-0.4919902833611913
ACH-000466,-0.3304820823674073
ACH-000467,-0.1926244187467243
ACH-000468,-0.16044612572559028
ACH-000469,-0.28516205259857064
ACH-000470,-0.24036495112221815
ACH-000471,-0.2033394045731356
ACH-000472,-0.20924597628224972
ACH-000473,-0.033175798499543434
ACH-000475,-0.166381081991784
ACH-000476,-0.16886516490670708
ACH-000477,-0.306625301410186
ACH-000479,-0.1683052982810247
ACH-000480,-0.22456468001357327
ACH-000481,-0.21812188617284453
ACH-000483,-0.14471287774106495
ACH-000484,-0.04740066668747557
ACH-000485,-0.2456817416867812
ACH-000486,-0.10845861000202764
ACH-000487,-0.2223953638673372
ACH-000488,-0.21432767152222865
ACH-000490,-0.2292757917440269
ACH-000491,-0.2732773465431373
ACH-000495,-0.4164900803986253
ACH-000496,-0.13293133283577108
ACH-000499,-0.031654942053242666
ACH-000500,-0.6095529418294453
ACH-000502,-0.17538219786669393
ACH-000503,-0.2247916986665903
ACH-000505,-0.2357808006796113
ACH-000507,-0.2766406934175176
ACH-000510,-0.16138758512634432
ACH-000511,-0.2340448620534581
ACH-000512,-0.13054784014401632
ACH-000516,-0.2262881885882932
ACH-000517,-0.15310151370494576
ACH-000518,-0.18721867715339985
ACH-000520,-0.2674223675234849
ACH-000521,-0.21141112417268126
ACH-000522,-0.2552416789142295
ACH-000524,-0.06834997624650449
ACH-000527,-0.21238424924229501
ACH-000528,-0.11135817444544274
ACH-000537,-0.19788428085182924
ACH-000541,-0.5425831443480782
ACH-000542,-0.289142180676939
ACH-000544,-0.5859224858074301
ACH-000545,-0.36377921863844576
ACH-000547,-0.11425793961547565
ACH-000548,-0.08877470040323734
ACH-000549,-0.330891226795352
ACH-000550,-0.3968901380769087
ACH-000552,-0.1740096963636609
ACH-000556,-0.1747390318298209
ACH-000557,-0.33934344029128155
ACH-000569,-0.2874852797698024
ACH-000570,-0.026490214694755418
ACH-000571,-0.2350832817330392
ACH-000573,-0.12227512924214848
ACH-000576,-0.2576653389944366
ACH-000579,-0.21951372008658915
ACH-000580,-0.22111058094316952
ACH-000584,-0.2312071195169747
ACH-000585,-0.2780568655731901
ACH-000588,-0.2633904172683799
ACH-000589,-0.2236370837747752
ACH-000591,-0.11215055245723424
ACH-000593,-0.08410562956042296
ACH-000600,-0.0961276482867584
ACH-000601,-0.04259512084176044
ACH-000605,-0.06339316110599362
ACH-000606,-0.2015837677001332
ACH-000608,-0.324252954670237
ACH-000614,-0.3724257310072082
ACH-000616,-0.3349074088003461
ACH-000618,-0.2648134669007073
ACH-000619,-0.2714902206351421
ACH-000620,-0.12874727521944682
ACH-000621,-0.2557307909802181
ACH-000622,-0.16439993671170364
ACH-000623,-0.15195425929718162
ACH-000624,-0.19706857387172644
ACH-000627,-0.22089140894796608
ACH-000630,-0.24314134658001446
ACH-000631,-0.251887185026968
ACH-000632,-0.3707259878298616
ACH-000633,-0.08787537485304675
ACH-000637,-0.2053603726196086
ACH-000638,-0.2995203881614797
ACH-000646,-0.12375975403973878
ACH-000647,-0.07093757811870109
ACH-000648,-0.0754227978651657
ACH-000649,-0.35083873757145456
ACH-000651,0.08698106147251042
ACH-000652,-0.2289067282728717
ACH-000653,-0.21755728562647053
ACH-000657,-0.13176448465222787
ACH-000658,-0.4013409571985053
ACH-000661,-0.18145485227778116
ACH-000662,-0.21039639500731974
