,HLA-G (3135)
ACH-000004,-0.3732258797110986
ACH-000005,-0.019964999543356718
ACH-000007,-0.03227012694573615
ACH-000009,-0.17019130175620584
ACH-000011,-0.11384113940394902
ACH-000012,-0.2527562703637286
ACH-000013,-0.14526883403454435
ACH-000014,-0.29532236489349445
ACH-000015,-0.10414614921282812
ACH-000017,-0.2541530218783289
ACH-000018,-0.00878611850424346
ACH-000019,-0.298862281279459
ACH-000021,-0.1898022913778487
ACH-000022,-0.09756024978617388
ACH-000025,-0.17275790807143765
ACH-000028,-0.03408653358358177
ACH-000030,-0.16284213736043301
ACH-000035,-0.07143969776744906
ACH-000036,-0.15290265842806766
ACH-000037,-0.2328367731539209
ACH-000039,-0.4414817800985832
ACH-000040,-0.3616245943768126
ACH-000041,-0.24255104294410745
ACH-000042,-0.07758254544979183
ACH-000045,-0.3033868558802295
ACH-000047,-0.13283821566717724
ACH-000052,-0.02158481752693324
ACH-000053,-0.3135954129351213
ACH-000054,-0.11590013352199635
ACH-000055,-0.2836049803302807
ACH-000060,-0.4285198515668514
ACH-000067,-0.4110767191506604
ACH-000070,-0.16346722875106945
ACH-000075,-0.01850683425406701
ACH-000078,-0.2557655609156234
ACH-000082,-0.15030046787840518
ACH-000085,-0.19562213741521453
ACH-000086,-0.2613575803660021
ACH-000087,-0.3638703252341742
ACH-000092,-0.1201944728295245
ACH-000095,-0.3167337777044596
ACH-000097,-0.2280534914206191
ACH-000098,-0.22257294881840525
ACH-000099,-0.1607437266675345
ACH-000108,-0.13254548567609026
ACH-000113,-0.12838496359444276
ACH-000116,-0.10287825044446124
ACH-000118,-0.09141857425354508
ACH-000120,-0.30243782237543426
ACH-000123,0.023178432670686724
ACH-000127,-0.20788829520610927
ACH-000128,-0.18801431800665802
ACH-000132,0.016112748118494075
ACH-000133,-0.13584785053900705
ACH-000137,-0.2497975762964487
ACH-000138,-0.3206368251522153
ACH-000142,-0.03314453760042256
ACH-000143,-0.09052262138305964
ACH-000146,-0.18214055683619199
ACH-000148,-0.13124548366031122
ACH-000150,-0.02290641298934585
ACH-000152,-0.2656370611587112
ACH-000153,-0.2246765034630082
ACH-000159,-0.25453352517727224
ACH-000160,-0.2541939494246372
ACH-000163,-0.07479996377301917
ACH-000167,-0.4403547385044879
ACH-000168,-0.2656190783290631
ACH-000169,-0.2579907604411551
ACH-000178,-0.1053666058880704
ACH-000183,-0.0862561262305348
ACH-000188,-0.1071932912997501
ACH-000189,-0.1695181849891739
ACH-000190,-0.2370285085692971
ACH-000198,-0.1612810179530759
ACH-000203,-0.08082972392678575
ACH-000204,-0.0012186156600762588
ACH-000206,-0.2540672903200805
ACH-000207,-0.29638172908085225
ACH-000208,-0.4461740330383517
ACH-000210,-0.08046951996952856
ACH-000211,-0.188805328805592
ACH-000215,-0.2253680416059227
ACH-000221,-0.04709953979857905
ACH-000222,-0.2294072250223869
ACH-000223,-0.20197872757929014
ACH-000226,-0.01506245108936519
ACH-000227,-0.17365502137079444
ACH-000228,-0.4303955106543784
ACH-000231,-0.17265463616420454
ACH-000232,-0.1507569641328714
ACH-000233,-0.1808857418094919
ACH-000234,-0.15822859485783042
ACH-000235,-0.20932715177107566
ACH-000237,-0.2567335926841384
ACH-000238,-0.06618137907214618
ACH-000242,0.09497760088767043
ACH-000243,-0.14947802316593276
ACH-000244,-0.19599388163124812
ACH-000246,-0.22016093723262387
ACH-000248,-0.35984933532807284
ACH-000250,-0.2172641678322055
ACH-000251,-0.2436430400612905
