,SRD5A1 (6715)
ACH-000004,-0.12203548608480885
ACH-000005,0.14701228959666118
ACH-000007,0.11929072803731194
ACH-000009,-0.05716856474093057
ACH-000011,-0.06572801908856042
ACH-000012,0.22568522531633825
ACH-000013,-0.02814504584388604
ACH-000014,0.001518971734524269
ACH-000015,-0.02610531069915056
ACH-000017,-0.1396905353705955
ACH-000018,0.026553686114473403
ACH-000019,0.0638946473542462
ACH-000021,-0.0017857554528731372
ACH-000022,-0.05283508942328472
ACH-000025,-0.0800905660802392
ACH-000028,0.01041955297984825
ACH-000030,0.07572852673945417
ACH-000035,0.007694324111190598
ACH-000036,-0.0007975120154614684
ACH-000037,-0.1565757777914025
ACH-000039,-0.3187160593629068
ACH-000040,-0.022208978199193517
ACH-000041,-0.1321374513549965
ACH-000042,-0.0648790066798107
ACH-000045,0.016405473234967532
ACH-000047,-0.024420198552760092
ACH-000052,-0.1644215525761302
ACH-000053,-0.04835961661796242
ACH-000054,-0.05224236078502645
ACH-000055,0.29813489724706305
ACH-000060,-0.1281153353054012
ACH-000067,0.06228646249118545
ACH-000070,-0.06717739711066796
ACH-000075,0.007372424344883994
ACH-000078,-0.054932518223898816
ACH-000082,-0.07408342897035634
ACH-000085,0.22753648301224466
ACH-000086,-0.02833719340437644
ACH-000087,-0.19417371756406948
ACH-000092,0.022262515206552033
ACH-000095,-0.032262634736068885
ACH-000097,-0.05020573334783076
ACH-000098,-0.14361298986456975
ACH-000099,0.00927033290144758
ACH-000108,-0.1193852625628592
ACH-000113,-0.15448642067001828
ACH-000116,-0.04292611771627407
ACH-000118,-0.06186775275415991
ACH-000120,-0.025270077067013376
ACH-000123,-0.14309569946984793
ACH-000127,-0.15059155681618375
ACH-000128,-0.030087085248912224
ACH-000132,-0.1540175821763984
ACH-000133,-0.004849552749977968
ACH-000137,0.08009236059546045
ACH-000138,-0.04675643934235077
ACH-000142,-0.014656393667041143
ACH-000143,0.031835225610061836
ACH-000146,-0.1632371174250277
ACH-000148,-0.09390330182770727
ACH-000150,-0.1969488829527216
ACH-000152,-0.09177951931601136
ACH-000153,-0.013446340104058634
ACH-000159,-0.10414240248614276
ACH-000160,-0.1399621643887089
ACH-000163,-0.061129213650360274
ACH-000167,-0.22706432238840696
ACH-000168,-0.2249394426087834
ACH-000169,-0.10317127103057358
ACH-000178,-0.15777274240072556
ACH-000183,0.027415303600677003
ACH-000188,-0.14752965893987185
ACH-000189,-0.13222884973564328
ACH-000190,-0.04394377975674805
ACH-000198,-0.027519132617212727
ACH-000203,-0.3474805178079916
ACH-000204,-0.03912785901118905
ACH-000206,0.07822031106912873
ACH-000207,0.19398016861463055
ACH-000208,0.10085668907960096
ACH-000210,-0.24438342306697705
ACH-000211,-0.11170253980610106
ACH-000215,-0.07119572873918803
ACH-000221,0.04604483994734876
ACH-000222,-0.02040492547875448
