,MOB3C (148932)
ACH-000004,-0.018875188604408715
ACH-000005,0.07651565083346183
ACH-000007,-0.2192044000888024
ACH-000009,-0.14264635765863468
ACH-000011,-0.037035613870835336
ACH-000012,-0.1702685596459138
ACH-000013,-0.24304218380651346
ACH-000014,-0.1474647373357571
ACH-000015,-0.1479736325805582
ACH-000017,-0.0795297971342702
ACH-000018,-0.09040323417071452
ACH-000019,-0.18362419505751693
ACH-000021,-0.0619703597487559
ACH-000022,0.1395751894146318
ACH-000025,-0.17945348524522456
ACH-000028,-0.1352455330006532
ACH-000030,-0.17383269615303995
ACH-000035,-0.050931353768794985
ACH-000036,-0.2658271135926734
ACH-000037,-0.21851830694082264
ACH-000039,-0.1948988492617363
ACH-000040,-0.1393485807297634
ACH-000041,-0.3371695946048395
ACH-000042,-0.06963034329618599
ACH-000045,-0.1513956759528396
ACH-000047,-0.18178845591690407
ACH-000052,-0.2553398131768067
ACH-000053,-0.18456659981237752
ACH-000054,-0.10927226116706458
ACH-000055,-0.08287381858765973
ACH-000060,-0.25086077002163426
ACH-000067,-0.2860390717126353
ACH-000070,-0.1302026809800986
ACH-000075,-0.1828042137822361
ACH-000078,-0.1905716376954935
ACH-000082,-0.09924108582221468
ACH-000085,-0.30682104572563024
ACH-000086,-0.0923837961788632
ACH-000087,-0.4169706035214691
ACH-000092,-0.2747847619136847
ACH-000095,-0.07420448966095475
ACH-000097,-0.17059514379959853
ACH-000098,-0.21351273159358472
ACH-000099,-0.09494224855105902
ACH-000108,-0.19267690189208225
ACH-000113,-0.003400708379933553
ACH-000116,-0.10557197934462552
ACH-000118,-0.14650200200286229
ACH-000120,-0.01229665790204259
ACH-000123,0.016646887295107344
ACH-000127,-0.20994313108136772
ACH-000128,-0.1925216808113887
ACH-000132,-0.2083327000296432
ACH-000133,-0.032708330416869914
ACH-000137,-0.2282915037080192
ACH-000138,-0.049504399945752314
ACH-000142,-0.0647090892586805
ACH-000143,-0.2114231094314556
ACH-000146,-0.03283590893824466
ACH-000148,-0.1136931579252278
ACH-000150,-0.2388331503023043
ACH-000152,-0.1895033883213612
ACH-000153,-0.12393202667334145
ACH-000159,-0.1617848653094054
ACH-000160,-0.15855516520792884
ACH-000163,-0.14667984619531713
ACH-000167,0.040063174951913465
ACH-000168,-0.2599862822719596
ACH-000169,-0.11752554105469135
ACH-000178,-0.23244650832497105
ACH-000183,-0.14868291892045554
ACH-000188,-0.18078155725131606
ACH-000189,-0.1818211027596828
ACH-000190,-0.2689503698026103
ACH-000198,-0.08683483041422217
ACH-000203,0.1776104881720604
ACH-000204,-0.2714013986178629
ACH-000206,-0.19753369353658407
ACH-000207,0.007255686072904614
ACH-000208,-0.16730484494757406
ACH-000210,-0.21807273351160136
ACH-000211,-0.05925811428651456
ACH-000215,-0.2335505699239941
ACH-000221,-0.12224636310444326
ACH-000222,-0.10111020516270024
ACH-000223,-0.08508347909035427
ACH-000226,-0.13985884430915038
ACH-000227,0.09836546660197096
ACH-000228,-0.06939094382698129
ACH-000231,-0.12052011581220487
ACH-000232,-0.15803135056306894
ACH-000233,-0.1547145535087629
ACH-000234,-0.20448286368457166
ACH-000235,-0.11664751081745413
ACH-000237,-0.16394856121101156
ACH-000238,-0.2325989162917806
ACH-000242,-0.292286126070582
ACH-000243,-0.12206782858751344
ACH-000244,-0.02633279466423145
ACH-000246,-0.191564584527508
ACH-000248,-0.03619040919702606
ACH-000250,-0.09285859737098114
ACH-000251,-0.11364246390402195
ACH-000252,-0.11592045068684953
ACH-000253,-0.17126356875876678
ACH-000255,-0.2060162373704578
ACH-000256,-0.14040175553151335
ACH-000257,-0.06422001188837516
ACH-000258,-0.09406064161516116
ACH-000259,-0.2346585806774263
ACH-000260,-0.17215468599641942
ACH-000261,-0.09700168745258647
ACH-000262,-0.058261801407601566
ACH-000263,-0.1101608494964794
ACH-000264,-0.08001988340728661
ACH-000265,-0.11545724660067495
ACH-000266,-0.06940421717346235
ACH-000272,-0.18260471288633331
ACH-000274,-0.11667531286193565
ACH-000277,-0.037237797642592274
ACH-000278,-0.10532130914871607
ACH-000279,-0.2178689114604724
ACH-000280,-0.051667457868800434
ACH-000281,0.062258441257864686
ACH-000288,-0.2538425976087421
ACH-000291,-0.1022724719968485
ACH-000293,-0.3448311068879212
ACH-000294,0.038472503531963916
ACH-000295,-0.06133329110534984
ACH-000296,-0.1309554510117835
ACH-000302,-0.17785697182965932
ACH-000304,-0.2152389190184056
ACH-000307,-0.11533251599087885
ACH-000308,-0.03338134127319
ACH-000310,-0.07997866751097196
ACH-000311,0.0018305317162186927
