,HLA-DOA (3111)
ACH-000004,-0.04579218593749824
ACH-000005,-0.17933520381978862
ACH-000007,0.09024377694253913
ACH-000009,0.16873251555622173
ACH-000011,-0.012289326278385738
ACH-000012,-0.015608411298428694
ACH-000013,0.060821036662557934
ACH-000014,0.14822133937120827
ACH-000015,0.0988938194871689
ACH-000017,0.0010398056188024756
ACH-000018,-0.0160507401616127
ACH-000019,0.02054238193527676
ACH-000021,0.1124352367559912
ACH-000022,0.0808965513651674
ACH-000025,0.04615128632043988
ACH-000028,0.05551177223689384
ACH-000030,0.10100599966024754
ACH-000035,0.16820833687890602
ACH-000036,0.06271836487368421
ACH-000037,0.1267718873321313
ACH-000039,-0.06087360752492245
ACH-000040,0.02499709398607234
ACH-000041,0.07216035560597532
ACH-000042,0.0970464607261989
ACH-000045,0.2153343724269956
ACH-000047,0.12079668415461856
ACH-000052,-0.10714316428203516
ACH-000053,0.03142176778277527
ACH-000054,0.1114253602529918
ACH-000055,0.20797681181567249
ACH-000060,0.04327971068028979
ACH-000067,0.1515704023078872
ACH-000070,0.21063128420293634
ACH-000075,0.0027070969697701058
ACH-000078,0.15047007172070512
ACH-000082,0.0629038133841701
ACH-000085,0.18505010557281049
ACH-000086,0.010205168362369284
ACH-000087,-0.017481830091232272
ACH-000092,0.006280355509611729
ACH-000095,0.09587737139836132
ACH-000097,0.134333389714088
ACH-000098,0.16797492787159118
ACH-000099,0.09524460256995836
ACH-000108,0.10299923984418924
ACH-000113,0.2382845783901602
ACH-000116,0.11332973117070146
ACH-000118,0.16977779311670574
ACH-000120,0.1092987749773043
ACH-000123,-0.0040884059880418435
ACH-000127,0.13387271567227893
ACH-000128,0.07668623039100549
ACH-000132,0.0915991886492562
ACH-000133,0.08560807874307927
ACH-000137,0.04405024718838756
ACH-000138,0.06267519891726976
ACH-000142,0.04381276452264922
ACH-000143,0.17547069386211933
ACH-000146,0.03308452935286206
ACH-000148,0.14005623453781385
ACH-000150,0.06324525827674789
ACH-000152,0.0242504904718716
ACH-000153,0.03792117148795629
ACH-000159,0.037020348626233435
ACH-000160,0.1674566621592388
ACH-000163,0.031303032727981545
ACH-000167,-0.20967353751148665
