,MALSU1 (115416)
ACH-000004,-0.12163743354908235
ACH-000005,0.03734720527716984
ACH-000007,-0.5051696497582541
ACH-000009,-0.1861809557180948
ACH-000011,0.08692065105358203
ACH-000012,-0.2553368315624188
ACH-000013,-0.26522485560475817
ACH-000014,-0.2408603252823724
ACH-000015,-0.5149189218184437
ACH-000017,-0.09760925011280616
ACH-000018,-0.07154226709655978
ACH-000019,-0.5207397697365371
ACH-000021,-0.2274198354748533
ACH-000022,-0.2601224751574037
ACH-000025,-0.3054559802233388
ACH-000028,-0.519627921760844
ACH-000030,-0.043339105177796315
ACH-000035,-0.1890074791488204
ACH-000036,-0.02216287016131423
ACH-000037,-0.3185140271603761
ACH-000039,-0.3299029343692222
ACH-000040,-0.06593425445405815
ACH-000041,-0.11442971947686995
ACH-000042,-0.18889502258996102
ACH-000045,-0.06423041802794688
ACH-000047,-0.17320505227203178
ACH-000052,-0.08096466634257089
ACH-000053,-0.2063092799442565
ACH-000054,-0.25969456939336033
ACH-000055,-0.03468990789972585
ACH-000060,-0.1464823310036684
ACH-000067,-0.19657568981230128
ACH-000070,-0.10685834904726144
ACH-000075,-0.0066774373662215674
ACH-000078,-0.10676292610788203
ACH-000082,-0.2526238322794208
ACH-000085,-0.276949731850598
ACH-000086,-0.24936953840088386
ACH-000087,-0.15548685477599525
ACH-000092,-0.159893721550207
ACH-000095,-0.0884084874104221
ACH-000097,0.011814279937736429
ACH-000098,-0.2225021313600572
ACH-000099,-0.1996575137190156
ACH-000108,-0.12188413446053507
ACH-000113,-0.3845198256288923
ACH-000116,-0.3124838551209789
ACH-000118,-0.5281733602505626
ACH-000120,-0.07605945769904597
ACH-000123,-0.2589842178455797
ACH-000127,-0.2926078712429707
ACH-000128,-0.4925614471207931
ACH-000132,-0.20117939336564394
ACH-000133,-0.15015173281536115
ACH-000137,-0.19955802250103274
ACH-000138,-0.24584035800305964
ACH-000142,-0.08616554003647547
ACH-000143,-0.16210018009089502
ACH-000146,-0.1172898115744232
ACH-000148,-0.35408612176204457
ACH-000150,-0.3520263865017525
