,TCP10L (140290)
ACH-000004,-0.6040996341163827
ACH-000005,-0.3136766332222808
ACH-000007,-0.2562669327468655
ACH-000009,-0.06303255700556018
ACH-000011,-0.10511178442730104
ACH-000012,0.017997442263779098
ACH-000013,-0.0659389799454659
ACH-000014,0.09770411930895266
ACH-000015,-0.18650951288144
ACH-000017,-0.1483816580209595
ACH-000018,0.14790132120961288
ACH-000019,-0.11744643000177082
ACH-000021,0.03488240994265904
ACH-000022,-0.1814043855377349
ACH-000025,-0.05208912708244538
ACH-000028,-0.10197288809279563
ACH-000030,-0.202624353808824
ACH-000035,-0.06607169884566018
ACH-000036,-0.06575512644122476
ACH-000037,-0.043037456740536086
ACH-000039,-0.1424770530963388
ACH-000040,-0.003663388869802211
ACH-000041,-0.049857843072600855
ACH-000042,-0.024324429718464127
ACH-000045,0.0037083158732504782
ACH-000047,-0.06268875226418552
ACH-000052,-0.06373254345734357
ACH-000053,-0.13462194601158314
ACH-000054,-0.07865138224946
ACH-000055,-0.05518561637862484
ACH-000060,-0.3611437064594636
ACH-000067,-0.15276675183632976
ACH-000070,0.07564682359936371
ACH-000075,-0.030541027578309662
ACH-000078,-0.2322387430943049
ACH-000082,-0.13137865755011566
ACH-000085,-0.20704329396899626
ACH-000086,-0.18317234201967694
ACH-000087,-0.2592518765117261
ACH-000092,-0.26482482691657383
ACH-000095,-0.09731287904998366
ACH-000097,-0.2167416496990481
ACH-000098,-0.12526272266570124
ACH-000099,-0.011644633278754877
ACH-000108,-0.1454752474624513
ACH-000113,0.03192400588656705
ACH-000116,-0.11585762158813412
ACH-000118,0.06849802674956816
ACH-000120,-0.06879241373736511
ACH-000123,-0.0990250823039286
ACH-000127,-0.0837902122608161
ACH-000128,0.027249176090560268
ACH-000132,-0.15138809898463518
ACH-000133,-0.131726567217068
ACH-000137,-0.06889391008712542
ACH-000138,-0.0030377207643611354
ACH-000142,-0.10202655518541444
ACH-000143,-0.12582277752696386
ACH-000146,-0.19120630995655646
ACH-000148,-0.0715445663796282
ACH-000150,0.019527720014515276
ACH-000152,-0.20954871061372252
ACH-000153,0.049751921938657434
ACH-000159,-0.10594876391569018
ACH-000160,-0.059899794381259475
ACH-000163,-0.10340976800544338
ACH-000167,0.12664145145393013
ACH-000168,-0.24188160927709346
ACH-000169,-0.09279954602402216
ACH-000178,-0.09634201874756608
ACH-000183,-0.11683517609467155
ACH-000188,-0.2696125641509299
ACH-000189,-0.227727312204566
ACH-000190,0.0006926097363000018
ACH-000198,-0.036460395183659115
ACH-000203,-0.3096467806210749
ACH-000204,0.007552852266352878
ACH-000206,-0.18871726080989645
ACH-000207,-0.0954710140628095
ACH-000208,-0.12628068560960173
ACH-000210,-0.4061052469804055
ACH-000211,-0.0760971655519583
ACH-000215,-0.16368770675327401
ACH-000221,-0.2338120163978538
ACH-000222,0.009724901014490002
ACH-000223,-0.03011180186365877
ACH-000226,-0.1706191867301044
ACH-000227,-0.02240086602719497
ACH-000228,-0.06506217476407082
ACH-000231,-0.14247521968176746
ACH-000232,-0.11062782426062304
ACH-000233,-0.06033955232543321
ACH-000234,-0.03014588315726374
ACH-000235,-0.1496669445596165
ACH-000237,-0.1178603992640632
ACH-000238,-0.11746840494527185
ACH-000242,0.1606415209171063
ACH-000243,-0.10529526461689488
ACH-000244,-0.3959832091310265
ACH-000246,-0.029343603392142745
ACH-000248,-0.012467825234445928
ACH-000250,-0.10917484302735896
ACH-000251,-0.054132137950883986
ACH-000252,-0.22055551036593601
ACH-000253,-0.1140786158239774
ACH-000255,-0.17854453149228486
ACH-000256,-0.07866983500949312
ACH-000257,-0.14637807139366418
ACH-000258,-0.06840137957843401
ACH-000259,0.056145897900936416
ACH-000260,-0.2047396734475876
ACH-000261,-0.11736873252464808
ACH-000262,0.016894233590989998
ACH-000263,0.008316477485994149
ACH-000264,-0.13878494566328226
ACH-000265,-0.17602460693730118
ACH-000266,-0.09036411859236497
ACH-000272,-0.04708450784646933
ACH-000274,-0.2253486059282015
ACH-000277,-0.07839834413544307
ACH-000278,-0.16189499839371466
ACH-000279,-0.11790543825725855
ACH-000280,-0.016656944562003482
ACH-000281,0.025075284467418062
ACH-000288,-0.12790378034847538
ACH-000291,-0.12454147587273308
ACH-000293,0.04179843858156577
ACH-000294,-0.026731238218017143
ACH-000295,-0.07544011615756367
ACH-000296,-0.07947165498022211
ACH-000302,-0.26685428320917776
ACH-000304,-0.0411473832973267
ACH-000307,-0.1457012807725442
ACH-000308,-0.1665634576859707
ACH-000310,-0.3272940615315643
ACH-000311,-0.05145057859773449
ACH-000312,-0.04908706202886146
ACH-000315,-0.2151243965929952
ACH-000316,0.010201034811615632
ACH-000317,0.008399119419357799
ACH-000318,-0.07484186143173144
ACH-000319,-0.13643736526166744
ACH-000320,0.03582134034039839
ACH-000322,0.004352203515487304
ACH-000323,0.04022611297732006
ACH-000324,-0.18130619246226756
ACH-000329,-0.032753262570124016
ACH-000330,0.08201235146740138
ACH-000331,-0.23470912890295603
ACH-000332,-0.13163532585563964
ACH-000334,-0.04628712803801507
ACH-000335,-0.3053204546903997
ACH-000336,-0.08851707925170484
ACH-000337,0.09298290413388163
ACH-000338,-0.04457903901976218
ACH-000339,-0.2591761393130663
ACH-000341,-0.01218070492456895
ACH-000348,-0.11719391174260015
ACH-000350,-0.1468621009367727
ACH-000352,0.009934432989731136
ACH-000356,-0.2623807504563256
ACH-000361,0.06798128340121279
ACH-000362,-0.21369102471495194
ACH-000363,-0.26956733064236765
ACH-000364,-0.1287198100749654
ACH-000365,-0.0917630180250743
ACH-000366,0.013931285338446715
ACH-000368,0.036226628410771934
ACH-000374,-0.15008292709415955
ACH-000375,0.015336031350777497
ACH-000376,-0.12781466613176268
ACH-000381,-0.27564499579714435
ACH-000383,-0.175283870866706
ACH-000387,-0.30224769861457623
ACH-000389,-0.0687923480829207
ACH-000390,-0.17246827079515278
ACH-000393,-0.10383630714290787
ACH-000395,-0.06610084162086277
ACH-000396,0.13426881777968502
ACH-000397,-0.05888578506604111
ACH-000401,-0.285539528114957
ACH-000402,-0.311056583401611
ACH-000403,-0.0946562034596474
ACH-000404,-0.0366441292308758
ACH-000406,-0.035728616339572035
ACH-000407,0.00435292978154419
ACH-000408,0.032838285893152235
ACH-000410,-0.040699559061400034
ACH-000411,0.0226589956907101
ACH-000414,-0.03488183347079488
ACH-000415,-0.32454471131216706
ACH-000416,-0.14943143415932256
