,PDGFRA (5156)
ACH-000004,-0.19370714404737
ACH-000005,-0.18368143315909205
ACH-000007,-0.09377707275717767
ACH-000009,-0.22859190809229205
ACH-000011,-0.0673110334800306
ACH-000012,-0.17825059992678474
ACH-000013,0.0646568011381697
ACH-000014,-0.10746776264884543
ACH-000015,-0.2566793314475217
ACH-000017,-0.20478528514229244
ACH-000018,-0.3850556153874631
ACH-000019,-0.2290425176323431
ACH-000021,-0.3782455305677804
ACH-000022,-0.24230008790352006
ACH-000025,-0.13289821982628106
ACH-000028,-0.3481769848031005
ACH-000030,-0.17372090952528466
ACH-000035,-0.22261181550918924
ACH-000036,-0.7601989455203809
ACH-000037,-0.3563945599951851
ACH-000039,-0.2196016130350853
ACH-000040,-0.6373560289624399
ACH-000041,-0.217264969122612
ACH-000042,-0.10237666282640773
ACH-000045,-0.16986420958202508
ACH-000047,-0.2917719176080958
ACH-000052,-0.14431061864388148
ACH-000053,-0.17537793054364462
ACH-000054,-0.19420557679043685
ACH-000055,-0.06736993540013682
ACH-000060,-0.3609997843862124
ACH-000067,-0.3472144503779377
ACH-000070,-0.055673311612732375
ACH-000075,-0.1059912979896148
ACH-000078,-0.13814763022192084
ACH-000082,-0.3330653258111369
ACH-000085,-0.012837815847902164
ACH-000086,-0.015597687489027859
ACH-000087,0.13893562695091166
ACH-000092,-0.17258700006451996
ACH-000095,-0.08802039042372266
ACH-000097,-0.151413487583915
ACH-000098,-0.20692844065292845
ACH-000099,-0.1731748512862381
ACH-000108,-0.15138275339792984
ACH-000113,-0.2720374003483999
ACH-000116,-0.200638391350896
ACH-000118,-0.08435290278817757
ACH-000120,-0.03084031256929975
ACH-000123,-0.15648588466484803
ACH-000127,-0.3007587856597033
ACH-000128,-0.2376638149541786
ACH-000132,-0.1577915061917381
ACH-000133,-0.2784281173317896
ACH-000137,-0.16808145019460374
ACH-000138,-0.018532758740172253
ACH-000142,-0.2599013291668661
ACH-000143,-0.2832729987910253
ACH-000146,-0.19724299941093096
ACH-000148,-0.389216636645436
ACH-000150,-0.38446394312435134
ACH-000152,-0.19458095288173627
ACH-000153,-0.2034829977730772
ACH-000159,-0.06634983699846063
ACH-000160,-0.18044231626976828
ACH-000163,-1.0109712044239354
ACH-000167,-0.2355948906023257
ACH-000168,-0.2682211457041879
ACH-000169,-0.04642074364416255
ACH-000178,-0.14303090277205172
ACH-000183,-0.2177590206876084
ACH-000188,-0.3332444302773854
ACH-000189,-0.1708411724051313
ACH-000190,-0.20111553478776625
ACH-000198,-0.2279599886566097
