,PRC1 (9055)
ACH-000004,-1.0209129577218985
ACH-000005,-1.095333841953755
ACH-000007,-1.2207043558020836
ACH-000009,-1.31398241055564
ACH-000011,-0.7153591925634502
ACH-000012,-0.9776644861274564
ACH-000013,-1.1319904282558864
ACH-000014,-1.0375819715764338
ACH-000015,-0.9865987647010366
ACH-000017,-1.038445875437375
ACH-000018,-1.0311919870600978
ACH-000019,-1.004931978087783
ACH-000021,-0.968363673452136
ACH-000022,-1.1068066971821056
ACH-000025,-1.2166243080357428
ACH-000028,-0.9129568613868088
ACH-000030,-1.0883114361848194
ACH-000035,-1.110794117795313
ACH-000036,-1.0626204422898182
ACH-000037,-1.2741853264793337
ACH-000039,-1.1533691337626986
ACH-000040,-0.9028581074257336
ACH-000041,-1.193434958555161
ACH-000042,-1.1874872229587028
ACH-000045,-1.2219330315901131
ACH-000047,-0.7917932603242973
ACH-000052,-0.8796174092183215
ACH-000053,-1.0901968978152277
ACH-000054,-1.0098496750884685
ACH-000055,-1.1856454332747246
ACH-000060,-1.1934604835285478
ACH-000067,-1.2290613596119515
ACH-000070,-1.2224958588618149
ACH-000075,-0.912846911518762
ACH-000078,-1.08369958344572
ACH-000082,-0.9560461823847048
ACH-000085,-1.2024971756714515
ACH-000086,-1.1444232798046927
ACH-000087,-1.3080301175643645
ACH-000092,-1.2121131445914868
ACH-000095,-1.0919859668292746
ACH-000097,-0.945453431045407
ACH-000098,-1.0536519234245516
ACH-000099,-0.9926178243997632
ACH-000108,-0.998434161977672
ACH-000113,-0.955095724011206
ACH-000116,-1.0701272365582972
ACH-000118,-1.1073174346647658
ACH-000120,-1.1373780902979185
ACH-000123,-0.9340646069937826
ACH-000127,-1.1908605067411586
ACH-000128,-0.9201682900114848
ACH-000132,-1.192316620409975
ACH-000133,-1.002659555333686
ACH-000137,-1.1409962090157757
ACH-000138,-1.0989613824914168
ACH-000142,-0.8469775349861524
ACH-000143,-1.225015184859537
ACH-000146,-1.195881125811118
ACH-000148,-1.0897350885446615
ACH-000150,-1.0153506210307612
ACH-000152,-1.0701129654595245
ACH-000153,-1.1484451167518521
ACH-000159,-1.19077657904117
ACH-000160,-1.4139593888001456
ACH-000163,-1.0730974033679457
ACH-000167,-1.1772724386846076
ACH-000168,-1.2949662825949542
ACH-000169,-1.060650175802006
ACH-000178,-1.0143413209937486
ACH-000183,-1.0643534706628774
ACH-000188,-1.0016615522080718
ACH-000189,-1.2605433487863562
ACH-000190,-1.1684954907570164
ACH-000198,-1.1670860781403023
ACH-000203,-1.184499161753575
ACH-000204,-0.9168793099125612
ACH-000206,-0.9760526165158064
ACH-000207,-1.1197112897023944
ACH-000208,-1.2452743138871718
ACH-000210,-1.0681269620156828
ACH-000211,-1.1365198598997257
ACH-000215,-1.1806111202566505
ACH-000221,-0.9962677868912309
ACH-000222,-1.0917857659294583
ACH-000223,-1.1862769928324193
ACH-000226,-1.075720121102428
ACH-000227,-1.3706825335075283
ACH-000228,-1.3269052846439215
ACH-000231,-1.0678973820364308
ACH-000232,-1.277014685458813
ACH-000233,-1.192192099174754
ACH-000234,-1.094862518412402
ACH-000235,-1.0789183320083275
ACH-000237,-1.2312406627772594
ACH-000238,-1.0227962483923672
ACH-000242,-0.7533441274964051
ACH-000243,-1.2121951270798588
ACH-000244,-1.2164265437705841
ACH-000246,-1.0318170673039049
ACH-000248,-1.0366226758115669
ACH-000250,-1.1106271460722985
ACH-000251,-1.1856751325849604
ACH-000252,-0.8660334197731822
ACH-000253,-0.9819769065431038
ACH-000255,-1.1063429958286142
ACH-000256,-1.293535084662445
ACH-000257,-1.1971731009787403
ACH-000258,-1.1054852063696636
ACH-000259,-0.9934188220293838
ACH-000260,-1.1525690526278272
ACH-000261,-1.1892370808573978
ACH-000262,-0.970109990741134
ACH-000263,-1.655688080721066
ACH-000264,-1.1491184616162249
ACH-000265,-1.1988249559885706
ACH-000266,-1.1767707134587284
ACH-000272,-1.1633973562341635
ACH-000274,-0.8091589295577879
ACH-000277,-0.6827659070053872
ACH-000278,-1.007512096926509
ACH-000279,-1.213747646777886
ACH-000280,-1.190411479947333
ACH-000281,-1.0241642450496824
ACH-000288,-1.2749242420002973
ACH-000291,-1.1249508271430677
ACH-000293,-0.9623907586422212
ACH-000294,-0.9481382575859753
ACH-000295,-1.1710601084948633
ACH-000296,-1.0606411337197326
ACH-000302,-0.8617645773722185
ACH-000304,-1.0061445725619638
ACH-000307,-1.2033427230886191
ACH-000308,-1.108495794244902
ACH-000310,-1.0497099248868018
ACH-000311,-0.7965389054670688
ACH-000312,-1.0680783191619412
ACH-000315,-0.8588779980922022
ACH-000316,-1.2330117785580692
ACH-000317,-1.1984977743257634
ACH-000318,-1.1784200287231763
ACH-000319,-1.02646366269981
ACH-000320,-1.3075671556257693
ACH-000322,-1.0497085509142186
ACH-000323,-1.2597045441033188
ACH-000324,-1.1139644873031826
ACH-000329,-1.1737074669315302
ACH-000330,-1.139920988913096
ACH-000331,-1.0422817814908067
ACH-000332,-1.0977472810187163
ACH-000334,-0.7324780499294474
ACH-000335,-0.8532888421591123
ACH-000336,-1.2077803344232116
ACH-000337,-1.3741996805067036
ACH-000338,-1.0412206113329268
ACH-000339,-0.9532155388811441
ACH-000341,-1.0455234403846465
ACH-000348,-0.6747023363477219
ACH-000350,-0.9175602400614912
ACH-000352,-0.6816244853762075
ACH-000356,-1.015999072285067
ACH-000361,-1.0940149962400578
ACH-000362,-1.117718019259495
ACH-000363,-0.8958047153327768
ACH-000364,-1.3017443228905596
ACH-000365,-1.039550504889663
ACH-000366,-1.0101464424808044
ACH-000368,-1.137786980948009
ACH-000374,-1.2807522682722323
ACH-000375,-1.1548315972858256
ACH-000376,-0.9721368561498605
ACH-000381,-1.1322580427997944
ACH-000383,-1.264477580967423
ACH-000387,-1.1393237372823255
ACH-000389,-1.0365331943807492
ACH-000390,-1.1705741030217711
ACH-000393,-1.1947804094350545
ACH-000395,-1.0665957588557229
ACH-000396,-1.0763013278181968
ACH-000397,-1.214847121658286
ACH-000401,-0.9174835144462672
ACH-000402,-0.8985607214160181
ACH-000403,-1.2212959742562974
ACH-000404,-1.3353484971381655
ACH-000406,-1.0110020161431204
ACH-000407,-1.072030364373717
ACH-000408,-1.017740845862782
ACH-000410,-1.1531606797384215
ACH-000411,-1.1031598719300022
ACH-000414,-1.1154252571556198
ACH-000415,-1.0822418911504688
ACH-000416,-1.0457345642941485
ACH-000420,-1.2570728700011151
ACH-000421,-1.0960825519282356
ACH-000424,-1.2790987060047658
ACH-000425,-0.9224788010941241
ACH-000426,-0.9677766838891272
ACH-000427,-1.0256394356432688
ACH-000433,-1.1830023695055778
ACH-000435,-1.333013330834095
ACH-000436,-0.9628071952530924
ACH-000444,-0.9362505761501411
ACH-000445,-1.0611121626265878
ACH-000448,-1.1045850081653112
ACH-000450,-0.8910674733614516
ACH-000452,-1.079320987944478
ACH-000454,-1.1252939289952957
ACH-000458,-1.1185232109969772
ACH-000459,-0.4807295621575007
ACH-000460,-1.1479534398659832
ACH-000461,-1.0338588089371583
ACH-000463,-1.1188975760868825
ACH-000464,-1.0391642621640542
ACH-000466,-1.283575046378988
ACH-000467,-1.3054104588465834
ACH-000468,-1.180131667255505
ACH-000469,-1.1260276985823494
ACH-000470,-1.2866096150428474
ACH-000471,-1.249635543050923
ACH-000472,-1.231774223312887
ACH-000473,-1.0739778042490444
ACH-000475,-1.1280563852172452
ACH-000476,-1.050315736822905
ACH-000477,-0.8329671430987331
ACH-000479,-1.4834995626734178
ACH-000480,-0.8476097411460657
ACH-000481,-1.6028462669150298
ACH-000483,-0.9222996916168557
ACH-000484,-1.2786331659079522
ACH-000485,-1.032879452229993
ACH-000486,-1.0688729649813526
ACH-000487,-1.1532877641074897
ACH-000488,-1.0032529823916505
ACH-000490,-1.0081045111694449
ACH-000491,-1.1922133898627374
ACH-000495,-0.988280277475704
ACH-000496,-1.184140276758776
ACH-000499,-1.0037866289934942
ACH-000500,-1.427391930620887
ACH-000502,-0.9961481511192042
ACH-000503,-1.0612104458089426
ACH-000505,-1.0031533893440217
ACH-000507,-0.8946533655158014
ACH-000510,-1.0546979014632138
ACH-000511,-0.8880800606163375
ACH-000512,-1.0042050856671942
ACH-000516,-1.1469376761421433
ACH-000517,-1.3271075620074249
ACH-000518,-1.0575751047822113
ACH-000520,-1.1638381137034162
ACH-000521,-1.1355965145045002
ACH-000522,-1.1981062632227024
ACH-000524,-0.7199538701311683
ACH-000527,-1.1223142570217517
ACH-000528,-1.1696061302348244
ACH-000537,-1.1183575198247722
ACH-000541,-0.9420955708027596
ACH-000542,-1.2145643308103924
ACH-000544,-1.0984407788657902
ACH-000545,-0.9309152764970418
ACH-000547,-1.0444484121691708
ACH-000548,-1.0565219548577416
ACH-000549,-1.1526864833493824
ACH-000550,-1.1908624329290949
ACH-000552,-1.1268892983971053
ACH-000556,-1.1203090700569365
ACH-000557,-1.4516511304228976
ACH-000569,-1.0289214212497486
ACH-000570,-1.111596104590729
ACH-000571,-1.1746256280307248
ACH-000573,-0.9343941263914322
ACH-000576,-0.94690409128242
ACH-000579,-1.0668932687299104
ACH-000580,-1.0809119269036267
ACH-000584,-1.0492800977475576
ACH-000585,-1.2766025167775177
ACH-000588,-0.7945561111234739
ACH-000589,-1.1172781209357223
ACH-000591,-0.9801011225488546
ACH-000593,-1.184161574651703
ACH-000600,-1.0307101910751764
ACH-000601,-1.0497882091256214
ACH-000605,-0.9756174569276812
ACH-000606,-1.1997652681751834
ACH-000608,-0.8772471657212716
ACH-000614,-1.129714391615041
ACH-000616,-0.9576226276769312
ACH-000618,-0.9327618937168224
ACH-000619,-1.0624797783659836
ACH-000620,-1.20080321195332
ACH-000621,-0.8905607723396908
ACH-000622,-0.8765150138854791
ACH-000623,-0.9574575927917716
ACH-000624,-1.2011391567791951
ACH-000627,-1.0435236349849115
ACH-000630,-1.156036131187504
ACH-000631,-1.096339683080484
ACH-000632,-1.0790284443294431
ACH-000633,-1.0174990279895992
ACH-000637,-1.2322923955015768
ACH-000638,-1.0210554794981856
ACH-000646,-0.935609280874919
ACH-000647,-1.144276756956616
ACH-000648,-1.0748073484692624
