,HARS (3035)
ACH-000004,-1.2259425429912791
ACH-000005,-1.0081473761759223
ACH-000007,-0.7674190754558075
ACH-000009,-1.0222859338562638
ACH-000011,-0.9038100757851024
ACH-000012,-1.2420877508737924
ACH-000013,-0.9960141584625228
ACH-000014,-1.0719454144109548
ACH-000015,-1.079281057694527
ACH-000017,-0.9568140423920578
ACH-000018,-0.9331326263510216
ACH-000019,-1.0116590404107355
ACH-000021,-0.8842380288942153
ACH-000022,-1.0459974969916843
ACH-000025,-1.036984698449673
ACH-000028,-0.9086714284523724
ACH-000030,-0.9058771219739976
ACH-000035,-1.013603433783201
ACH-000036,-1.1530075247086269
ACH-000037,-0.9782670147005612
ACH-000039,-0.9539665684613331
ACH-000040,-0.9932648961929122
ACH-000041,-1.0330243913885535
ACH-000042,-0.9735937248723509
ACH-000045,-0.9618998797104108
ACH-000047,-0.8904919197104362
ACH-000052,-0.9761366876023576
ACH-000053,-1.0095530580620575
ACH-000054,-1.0360991746783663
ACH-000055,-0.8488199885765519
ACH-000060,-0.975897036656138
ACH-000067,-1.0626418823332449
ACH-000070,-0.9533645268849668
ACH-000075,-0.9130003726620991
ACH-000078,-1.0876956677611822
ACH-000082,-1.0363356229768492
ACH-000085,-1.1217354501650252
ACH-000086,-1.1494145517117285
ACH-000087,-1.0068753314239924
ACH-000092,-1.1168085534645391
ACH-000095,-0.9429559328061392
ACH-000097,-0.9935895665724396
ACH-000098,-1.0962875318411407
ACH-000099,-0.9351118352133247
ACH-000108,-0.9508214964965872
ACH-000113,-0.8242985678349138
ACH-000116,-1.0121796798909724
ACH-000118,-0.859550131664953
ACH-000120,-1.1854096519661794
ACH-000123,-0.8347406551414152
ACH-000127,-0.9433650509122116
ACH-000128,-1.1099807503430787
ACH-000132,-1.2604293846647272
ACH-000133,-1.0093599913396811
ACH-000137,-1.0960785880953092
ACH-000138,-0.9038677808252688
ACH-000142,-1.0342560723877223
ACH-000143,-0.5722876196261949
ACH-000146,-1.0801311920989909
ACH-000148,-0.8988591918927145
ACH-000150,-1.132049256496929
ACH-000152,-0.8859311418781508
ACH-000153,-0.8713620721971491
ACH-000159,-0.9480750128637488
ACH-000160,-1.080900974398189
ACH-000163,-1.1513936121983632
ACH-000167,-1.37643338942285
ACH-000168,-0.9839311304889512
ACH-000169,-1.0349600608215002
ACH-000178,-0.8369524132832814
ACH-000183,-0.945899249775634
ACH-000188,-1.0530079467428806
ACH-000189,-0.9071745613506916
ACH-000190,-1.1003376348396854
ACH-000198,-0.9241020509924722
