,DBF4 (10926)
ACH-000004,-0.7932648345318318
ACH-000005,-0.826821251743754
ACH-000007,-0.8778703089308078
ACH-000009,-0.7089067375118502
ACH-000011,-0.7057691757064363
ACH-000012,-0.7156624670133591
ACH-000013,-0.8230840105921592
ACH-000014,-0.7281128850580258
ACH-000015,-0.5782049595917678
ACH-000017,-0.29914381327350376
ACH-000018,-0.3377642279365325
ACH-000019,-0.4409938157738049
ACH-000021,-0.5208633685926839
ACH-000022,-0.9427390528966988
ACH-000025,-0.7827145105126551
ACH-000028,-0.5654680485307872
ACH-000030,-0.6244492365263475
ACH-000035,-0.5798852988869585
ACH-000036,-0.5179694478300589
ACH-000037,-0.4885213254447918
ACH-000039,-0.8087912265732773
ACH-000040,-0.7258685811408637
ACH-000041,-0.5445170139515799
ACH-000042,-0.975876389154544
ACH-000045,-0.4491805458617709
ACH-000047,-0.5879146275487281
ACH-000052,-1.298213726481007
ACH-000053,-0.10382931841970634
ACH-000054,-0.4621681744991678
ACH-000055,-0.9519928378718844
ACH-000060,-0.6300145307091362
ACH-000067,-0.9746211356846214
ACH-000070,-0.6578182538665462
ACH-000075,-0.6964529727319047
ACH-000078,-0.3380317412543848
ACH-000082,-0.5739813731332867
ACH-000085,-0.913490392114812
ACH-000086,-0.6267028088313483
ACH-000087,-0.98084009150053
ACH-000092,-0.6828451295562835
ACH-000095,-0.7663558109017083
ACH-000097,-0.6362137901540836
ACH-000098,-0.4096051147120733
ACH-000099,-0.5157530763545644
ACH-000108,-0.5490535390079688
ACH-000113,-0.4462354992414787
ACH-000116,-0.7094237291027892
ACH-000118,-0.7669823843538374
ACH-000120,-0.4666329618547113
ACH-000123,-0.4293100468442881
ACH-000127,-0.33745817725922833
ACH-000128,-0.5413061580814768
ACH-000132,-0.4923618912619487
ACH-000133,-0.6177308754395573
ACH-000137,-0.5412139415380517
ACH-000138,-0.459539305174636
ACH-000142,-0.4896224711178136
ACH-000143,-0.7200106984276616
ACH-000146,-0.5971843419238849
ACH-000148,-0.38903897084427896
ACH-000150,-0.5659452910248197
ACH-000152,-0.7632213382935511
ACH-000153,-0.85500331998566
ACH-000159,-0.6502456472031152
ACH-000160,-0.910648209108206
ACH-000163,-0.8147975588195905
ACH-000167,-0.9851519400366088
ACH-000168,-0.5571679239957409
ACH-000169,-0.5087865497295785
ACH-000178,-0.8114663842909358
ACH-000183,-0.6870532711483722
ACH-000188,-0.5042277040616949
ACH-000189,-0.7909153014642509
ACH-000190,-0.6213717665516935
ACH-000198,-0.19581248531363127
ACH-000203,-0.5451859159646295
ACH-000204,-0.28790040296228003
ACH-000206,-0.5128003666761769
ACH-000207,-0.7701465685568583
ACH-000208,-0.5510881739397875
ACH-000210,-0.4865983580176141
ACH-000211,-0.97988546760304
ACH-000215,-0.3737660143927724
ACH-000221,-0.6339459834678753
ACH-000222,-0.7404185915947601
ACH-000223,-1.2313136882387092
ACH-000226,-0.6352361851633478
ACH-000227,-0.7352642372376883
ACH-000228,-0.638345634540624
ACH-000231,-0.4472384048908042
ACH-000232,-0.6419766677122145
ACH-000233,-0.2470802098912875
ACH-000234,-0.3567680603508898
ACH-000235,-0.5930854612376723
ACH-000237,-0.4786979509479537
ACH-000238,-0.5747032603699391
ACH-000242,-0.4947400204482775
ACH-000243,-0.3525246202748541
ACH-000244,-0.6431208108085773
ACH-000246,-0.21412795659196507
ACH-000248,-0.2872652906893885
ACH-000250,-0.3280596271260417
ACH-000251,-0.5489759920199979
ACH-000252,-1.0909762828711955
ACH-000253,-0.8410573137212044
ACH-000255,-0.5899813594290683
ACH-000256,-0.8131105132978069
ACH-000257,-0.398584949129376
ACH-000258,-0.18067416183264198
ACH-000259,-0.1093237018437694
ACH-000260,-0.3158759439559329
ACH-000261,-0.5453760569439814
ACH-000262,-1.065693017416593
ACH-000263,-1.019350378862509
ACH-000264,-0.3378951559676616
ACH-000265,-0.5087023582494277
ACH-000266,-0.550572060995838
ACH-000272,-0.5704326845728466
ACH-000274,-0.15484164547790372
ACH-000277,-0.32539234764038233
ACH-000278,-0.5197375071761996
ACH-000279,-1.071483242938553
ACH-000280,-0.6857152675693404
ACH-000281,-0.6668566684579529
ACH-000288,-0.6730296249200862
ACH-000291,-0.4290689283283733
ACH-000293,-0.3018525947166473
ACH-000294,-0.605849878218157
ACH-000295,-0.4764653552631111
ACH-000296,-0.6582185476796889
ACH-000302,-0.4267017661202276
ACH-000304,-0.6199264791122322
ACH-000307,-1.1780386233192
ACH-000308,-0.4382406539798039
ACH-000310,-0.5049963693349624
ACH-000311,-0.5724505441186063
ACH-000312,-0.4441561766122513
ACH-000315,-0.3206494923919367
ACH-000316,-0.6042304579489485
ACH-000317,-1.317385736452384
ACH-000318,-0.3606031811513457
ACH-000319,-0.6304850881977252
ACH-000320,-0.6730024781233163
ACH-000322,-0.8393012391354504
ACH-000323,-0.6077530263729667
ACH-000324,-0.5600319087743715
ACH-000329,-0.5843799215053089
ACH-000330,-0.7131453847570283
ACH-000331,-0.7063560993233403
ACH-000332,-0.5968556568829284
ACH-000334,-0.4495119936876548
ACH-000335,-0.7425844682093661
ACH-000336,-0.5024608856078592
ACH-000337,-0.6516978775835983
ACH-000338,-0.3930193962890404
ACH-000339,-0.7685675906770566
ACH-000341,-0.2897520547486011
ACH-000348,-0.5203165845902071
ACH-000350,-0.8020089244703948
ACH-000352,-0.2811227922442677
ACH-000356,-0.4357106370508372
ACH-000361,-0.3146029423054015
ACH-000362,-0.4485059445655932
ACH-000363,-0.3735465783134767
ACH-000364,-0.6101867781888548
ACH-000365,-0.7673288034591749
ACH-000366,-0.4844535477456545
ACH-000368,-0.6919156860313375
ACH-000374,-0.7106635262276437
ACH-000375,-0.4141183729374223
ACH-000376,-0.522794378686951
ACH-000381,-0.8932314437962275
ACH-000383,-0.5858970716532529
ACH-000387,-1.1614755121016178
ACH-000389,-0.5934276634256321
ACH-000390,-0.9173621940127812
ACH-000393,-0.4432287296801635
ACH-000395,-0.7802371522277335
ACH-000396,-0.22271756960690806
ACH-000397,-0.5120113228639902
ACH-000401,-0.5120339088275271
ACH-000402,-0.5561026625729596
ACH-000403,-1.1075164116647152
ACH-000404,-0.5768031562084043
ACH-000406,-0.7097664261751133
ACH-000407,-0.4164464632357571
ACH-000408,-0.7207737446193773
ACH-000410,-0.4925329065778516
ACH-000411,-0.6213432276542852
ACH-000414,-0.3623160795995479
ACH-000415,-0.5242747318247084
ACH-000416,-0.4473791615877142
ACH-000420,-0.7687469716356303
ACH-000421,-1.1067845944712864
