,TBK1 (29110)
ACH-000004,-0.03439264042903408
ACH-000005,0.11116794994274994
ACH-000007,0.28914986492784506
ACH-000009,0.07265808832804259
ACH-000011,0.11641092697312973
ACH-000012,-0.1624222838264527
ACH-000013,0.13205160414674874
ACH-000014,0.04443150845545989
ACH-000015,0.03119536426755084
ACH-000017,0.015308381897115484
ACH-000018,0.09496572730186223
ACH-000019,0.0468858003202385
ACH-000021,-0.007605544118769691
ACH-000022,0.0578093975113548
ACH-000025,0.0654481173626409
ACH-000028,-0.1298830110164866
ACH-000030,0.044890671261561765
ACH-000035,0.10504388429281784
ACH-000036,0.04650040252880038
ACH-000037,0.06679555243359875
ACH-000039,0.07236040686463606
ACH-000040,0.1436020586077094
ACH-000041,0.03781262243087128
ACH-000042,0.1825598860510364
ACH-000045,0.015743882974177018
ACH-000047,0.12330949346632082
ACH-000052,0.02065720736961337
ACH-000053,-0.02135596577727574
ACH-000054,0.14403481864158207
ACH-000055,-0.010162443512489705
ACH-000060,0.2925954270704186
ACH-000067,0.0021503125577649147
ACH-000070,-0.06663276206603723
ACH-000075,0.10410602856622042
ACH-000078,0.15798140100042732
ACH-000082,0.1618212156488774
ACH-000085,0.21275988593964426
ACH-000086,-0.06352198079466279
ACH-000087,0.219607723490004
ACH-000092,0.13861684687776404
ACH-000095,0.11383577839820658
ACH-000097,0.024010376730436243
ACH-000098,0.06842272161326668
ACH-000099,0.06648451612411645
ACH-000108,0.22922589000538665
ACH-000113,0.0805004464166718
ACH-000116,0.05783904746125707
ACH-000118,0.04515472742511162
ACH-000120,0.07864238352629847
ACH-000123,0.06289426383951606
ACH-000127,0.3698107260900766
ACH-000128,0.1270979739214299
ACH-000132,0.1575532671967278
ACH-000133,0.2158344111420756
ACH-000137,0.02956637971418032
ACH-000138,0.0621674259234411
ACH-000142,0.10370132441427356
ACH-000143,0.3998730852622432
ACH-000146,0.10754799410890356
ACH-000148,0.09345021325786873
ACH-000150,0.06903308170538232
ACH-000152,-0.037683287152826116
ACH-000153,-0.0833223841743764
ACH-000159,0.07676202699331673
ACH-000160,-0.027881923350176318
ACH-000163,0.0003793504184799369
ACH-000167,0.10070917106247994
ACH-000168,0.012238261798544326
ACH-000169,0.620664797599202
ACH-000178,0.2802944993862205
