,EAPP (55837)
ACH-000004,-0.7664796041303296
ACH-000005,-0.4265505139215783
ACH-000007,-0.3478301187114698
ACH-000009,-0.3901197710889317
ACH-000011,-0.4237080371066556
ACH-000012,-0.6188216606950229
ACH-000013,-0.4328405407079776
ACH-000014,-0.4005843299651475
ACH-000015,-0.3691510811583655
ACH-000017,-0.3693789392930965
ACH-000018,-0.3612354872249652
ACH-000019,-0.28027877838615833
ACH-000021,-0.21583083283390067
ACH-000022,-0.28558313009816794
ACH-000025,-0.16738565423284274
ACH-000028,-0.19613716255271987
ACH-000030,-0.3568219344051387
ACH-000035,-0.5057760755496067
ACH-000036,-0.550639763922884
ACH-000037,-0.31834542379347835
ACH-000039,-0.18209039094997145
ACH-000040,-0.17006518538124368
ACH-000041,-0.5891621836369599
ACH-000042,-0.28020716492442505
ACH-000045,-0.3399485000050119
ACH-000047,-0.6360753600217512
ACH-000052,-0.298665204834323
ACH-000053,-0.5128115058414654
ACH-000054,-0.3990259115859693
ACH-000055,-0.44609942269498
ACH-000060,-0.32220402141388804
ACH-000067,-0.40809872082579385
ACH-000070,-0.13614156823231155
ACH-000075,-0.3937357667384632
ACH-000078,-0.20195654841915456
ACH-000082,-0.67027734969313
ACH-000085,-0.20708052741156632
ACH-000086,-0.36956923352548654
ACH-000087,-0.5000512477266646
ACH-000092,-0.22826520791009666
ACH-000095,-0.3769206151827161
ACH-000097,-0.3146945034992432
ACH-000098,-0.4346581860706346
ACH-000099,-0.09297715065819744
ACH-000108,-0.368823247612974
ACH-000113,-0.29993567316325376
ACH-000116,-0.2635495250209883
ACH-000118,-0.35081133131411346
ACH-000120,-0.2990282357173966
ACH-000123,-0.2194546844369984
ACH-000127,-0.3323385946813659
ACH-000128,-0.2897657263486172
ACH-000132,-0.24345589242122656
ACH-000133,-0.4278579981095041
ACH-000137,-0.2230923091471384
ACH-000138,-0.19992195480959668
ACH-000142,-0.17684217694052365
ACH-000143,-0.29420989748458104
ACH-000146,-0.348612667212862
ACH-000148,-0.4445259244669508
ACH-000150,-0.12680888733753948
ACH-000152,-0.2551749293021233
ACH-000153,-0.5457663757913365
ACH-000159,-0.3624329234339063
ACH-000160,-0.3000748825707234
ACH-000163,-0.4183988539711133
ACH-000167,-0.8121221500750648
ACH-000168,-0.3005883818412598
ACH-000169,-0.2356524715578047
ACH-000178,-0.2832235745413155
ACH-000183,-0.4409348180941106
ACH-000188,-0.28533507680125475
ACH-000189,-0.3446372574079346
ACH-000190,-0.397691380416335
ACH-000198,-0.5174328680660464
ACH-000203,0.3892071977149217
ACH-000204,-0.2114657496292329
ACH-000206,-0.3468019631160083
ACH-000207,-0.2467036278285184
ACH-000208,-0.11263421074964908
ACH-000210,-0.08453940558172725
ACH-000211,-0.2258065290952142
ACH-000215,-0.30491082769540984
ACH-000221,-0.0997582333115316
ACH-000222,-0.573104052327328
ACH-000223,-0.5177488200413635
ACH-000226,-0.4397611505532901
ACH-000227,-0.5407139369426831
ACH-000228,-0.4440308226356722
ACH-000231,-0.5168079006985549
ACH-000232,-0.3926285488516695
ACH-000233,-0.624611953710211
ACH-000234,-0.3739101373541013
ACH-000235,-0.3070683054984857
ACH-000237,-0.08039893856949637
ACH-000238,-0.192184685279094
ACH-000242,-0.5677189081626217
ACH-000243,-0.3504646127715969
ACH-000244,-0.4388410561141342
ACH-000246,-0.5711558903333136
ACH-000248,-0.3326284261798872
ACH-000250,-0.6053078272535339
ACH-000251,-0.14900999644353624
ACH-000252,-0.30107298547613204
ACH-000253,-0.4442109408422613
ACH-000255,-0.2741279350412005
ACH-000256,-0.2427044450394768
ACH-000257,-0.4020147726299688
ACH-000258,-0.4923890192489853
ACH-000259,-0.2149356177813216
ACH-000260,-0.4693174740688077
ACH-000261,-0.32434639541471555
ACH-000262,-0.4391422651105323
ACH-000263,-0.5751683897311846
ACH-000264,-0.5254306231760713
ACH-000265,-0.2490258299845464
ACH-000266,-0.3226545571107724
ACH-000272,-0.3981494515436239
ACH-000274,-0.4019605381454107
ACH-000277,-0.2687941449042723
ACH-000278,-0.3802474921752377
ACH-000279,-0.2964488003681657
ACH-000280,-0.21506070908752606
ACH-000281,-0.09651110346687247
ACH-000288,-0.3785573072481397
ACH-000291,-0.44436166402380667
ACH-000293,-0.3917947476648634
ACH-000294,-0.392486181439969
ACH-000295,-0.3048006906368531
ACH-000296,-0.2019155931320288
ACH-000302,-0.2784963228750737
ACH-000304,-0.260444328130992
ACH-000307,-0.31018348905540344
ACH-000308,-0.1845998163629721
ACH-000310,-0.44421511548769743
ACH-000311,-0.31161582576161034
ACH-000312,-0.2796376105107113
ACH-000315,-0.2819734915113998
ACH-000316,-0.3698249515218905
ACH-000317,-0.5485140677248934
ACH-000318,-0.2736038803147179
ACH-000319,-0.15858012893868548
ACH-000320,-0.3223236209227922
ACH-000322,-0.1313460860537165
ACH-000323,-0.40257389908432745
ACH-000324,-0.3290077061346117
ACH-000329,-0.2676855874131713
ACH-000330,-0.3417282591967454
ACH-000331,-0.17315690936820766
ACH-000332,-0.2435014328754254
ACH-000334,-0.5781237491858624
ACH-000335,-0.4977324720742998
ACH-000336,-0.027998728448182686
ACH-000337,-0.6071185983963977
ACH-000338,-0.2628518265693242
ACH-000339,-0.3694182273435911
ACH-000341,-0.5697184520283773
ACH-000348,-0.456269362443448
ACH-000350,-0.14807891139086082
ACH-000352,-0.3068155019082843
ACH-000356,-0.22136414415654504
ACH-000361,-0.3473360669489627
ACH-000362,-0.341066956954492
ACH-000363,-0.2658816689125092
ACH-000364,-0.2894022146428417
ACH-000365,-0.41748275798880174
ACH-000366,-0.5348352611313095
ACH-000368,-0.3825332714956907
ACH-000374,-0.3495581822641852
ACH-000375,-0.2473367655710061
ACH-000376,-0.3731171688414969
ACH-000381,-0.1853688417398754
ACH-000383,-0.29335340703564694
ACH-000387,-0.32428323126193226
ACH-000389,-0.3639291842316264
ACH-000390,-0.3722840213811437
ACH-000393,-0.5136003218523042
ACH-000395,-0.3460084742229255
ACH-000396,-0.6070980883361317
ACH-000397,-0.3317071819981521
ACH-000401,-0.2916376652193977
ACH-000402,-0.1528351509033709
ACH-000403,-0.4484301367305124
ACH-000404,-0.062329311258371885
ACH-000406,-0.34596439666237866
ACH-000407,-0.3794240112063941
ACH-000408,-0.5082176919512789
ACH-000410,-0.18467203310916785
ACH-000411,-0.25518163810437405
ACH-000414,-0.30049034481394304
ACH-000415,-0.152807765717691
ACH-000416,-0.3061040642942598
ACH-000420,-0.4968747953414398
ACH-000421,-0.2545581670006681
ACH-000424,-0.2767589526947411
ACH-000425,-0.2540968729222889
ACH-000426,-0.3133860894853804
ACH-000427,-0.5503450639685661
ACH-000433,-0.492242657099251
ACH-000435,0.09704024969456007
ACH-000436,-0.37917468572617136
ACH-000444,-0.3278092219518912
ACH-000445,-0.543208155149835
ACH-000448,-0.4667706860715474
ACH-000450,-0.2577823332563189
ACH-000452,-0.37493818797871065
ACH-000454,-0.1570820351448008
ACH-000458,-0.2345767574638988
ACH-000459,-0.4945931374557333
ACH-000460,-0.2171515458128292
ACH-000461,-0.3698679871333113
ACH-000463,-0.2371125252855622
ACH-000464,-0.3512771308072235
ACH-000466,-0.4301698260199924
ACH-000467,-0.2398530734664685
ACH-000468,-0.16921721706792067
ACH-000469,-0.44637414369769735
ACH-000470,-0.5074236819702516
ACH-000471,-0.43207129967601227
ACH-000472,-0.2900967296414533
ACH-000473,-0.2957138674608992
ACH-000475,-0.3486615241113077
ACH-000476,-0.5222562668814219
ACH-000477,-0.3460872214266935
ACH-000479,-0.3387260152450513
ACH-000480,-0.188163357388324
ACH-000481,-0.708918352798782
ACH-000483,-0.38086410064705656
ACH-000484,-0.4432014639440211
ACH-000485,-0.451694677554636
ACH-000486,-0.24236878256179994
ACH-000487,-0.3820536912456128
ACH-000488,-0.2795211413098208
ACH-000490,-0.35165413696415776
ACH-000491,-0.18896214757953989
ACH-000495,-0.3838085675869236
ACH-000496,-0.2670021251039657
ACH-000499,-0.2293582955081619
ACH-000500,-0.3953283005705152
ACH-000502,-0.5170374065931455
ACH-000503,-0.5873362761719032
ACH-000505,-0.4085611888766322
ACH-000507,-0.1525341139416881
ACH-000510,-0.25280761859643824
ACH-000511,-0.4429801523191625
ACH-000512,-0.4619021053062698
ACH-000516,-0.36739070961271264
ACH-000517,-0.4317140803082953
ACH-000518,-0.33448700510881074
ACH-000520,-0.16394089587413482
ACH-000521,-0.4652581969085952
ACH-000522,-0.3921827907508293
ACH-000524,-0.2961476475661031
ACH-000527,-0.2943193279157488
ACH-000528,-0.2789765599279859
ACH-000537,-0.9061866521580788
ACH-000541,-0.27432381657046523
ACH-000542,-0.3730202445961074
ACH-000544,-0.26403553885104397
ACH-000545,-0.4663479088992274
ACH-000547,-0.11685435971598225
ACH-000548,-0.2385007538498164
ACH-000549,-0.107645425228783
ACH-000550,-0.3944209507497348
ACH-000552,-0.2467391712993909
ACH-000556,-0.1908215340694462
ACH-000557,-0.450611000476961
ACH-000569,-0.2542994515948463
ACH-000570,-0.4779383080942237
ACH-000571,-0.3137444042314508
ACH-000573,-0.3627562586193737
ACH-000576,-0.26632598434691995
ACH-000579,-0.15731563338965324
ACH-000580,-0.4501017655051319
ACH-000584,-0.30908566252642483
ACH-000585,-0.23103147029940166
ACH-000588,-0.4971327125690293
ACH-000589,-0.430598264201255
ACH-000591,-0.4603527114347503
ACH-000593,-0.20888856787094345
ACH-000600,-0.2537416932700305
ACH-000601,-0.1893875340219658
ACH-000605,-0.16466264852607435
ACH-000606,-0.4580824595535132
ACH-000608,-0.4661965174361019
ACH-000614,-0.4957779438347946
ACH-000616,-0.3656108608957535
ACH-000618,-0.2255658006103125
ACH-000619,-0.3956022368089418
ACH-000620,-0.18335657612812725
ACH-000621,-0.3836766029165502
ACH-000622,-0.16313953356922156
ACH-000623,-0.4834873313203696
ACH-000624,-0.336986632096658
ACH-000627,-0.40328363819283786
ACH-000630,-0.4495302736577431
ACH-000631,-0.5450193899014768
ACH-000632,-0.3966511798888392
ACH-000633,-0.30949888736683545
ACH-000637,-0.12971035226116714
ACH-000638,-0.3020558496056861
ACH-000646,-0.15450338213601528
ACH-000647,-0.3074557334743993
ACH-000648,-0.42794755423451697
ACH-000649,-0.5079867274038784
ACH-000651,-0.1321231255872771
ACH-000652,-0.18061435497624526
ACH-000653,-0.4096695295580636
ACH-000657,-0.2404649876929288
ACH-000658,-0.2265072697516891
ACH-000661,-0.3079015493429121
ACH-000662,-0.3965278881996975
ACH-000663,-0.21603650558578846
ACH-000665,-0.35821875798751185
ACH-000671,-0.2714619152058784
ACH-000672,-0.5268655045509562
ACH-000673,-0.4090643191537204
ACH-000676,-0.22541244558999754
ACH-000677,-0.2600292344909361
ACH-000681,-0.29355496361613165
ACH-000683,-0.2149398454143249
ACH-000684,-0.6352031132062238
ACH-000688,-0.3289225487074557
ACH-000693,-0.2469824450251825
ACH-000694,-0.2330694078181884
ACH-000695,-0.2128023773818892
ACH-000696,-0.4864406509829733
ACH-000697,-0.2429929140522208
ACH-000699,-0.4362190140578423
