,TBC1D22B (55633)
ACH-000004,-0.19508189636564333
ACH-000005,0.085100126805322
ACH-000007,-0.2129153415488528
ACH-000009,0.05215484168849194
ACH-000011,-0.34069119740958226
ACH-000012,-0.31758020168292744
ACH-000013,-0.3877745053026449
ACH-000014,-0.1800178494177078
ACH-000015,-0.14012647137891027
ACH-000017,-0.5483145610353896
ACH-000018,-0.09321404742439776
ACH-000019,-0.05348109972936258
ACH-000021,-0.08589147371322765
ACH-000022,-0.19503338448288546
ACH-000025,-0.2921426525838686
ACH-000028,-0.3307356024792109
ACH-000030,-0.21070987523011767
ACH-000035,-0.24031822251656865
ACH-000036,-0.3968953755093341
ACH-000037,-0.2508284645572973
ACH-000039,-0.2570497391692801
ACH-000040,-0.1975350981806566
ACH-000041,-0.2440092915263601
ACH-000042,-0.24116683122822555
ACH-000045,-0.27466643884628894
ACH-000047,-0.2859970257313161
ACH-000052,-0.1830932453107954
ACH-000053,-0.14417386481027206
ACH-000054,-0.2896836151742231
ACH-000055,-0.19513891257519628
ACH-000060,-0.2695928143627389
ACH-000067,-0.11462218830932044
ACH-000070,-0.09094184302602606
ACH-000075,-0.1658541690422574
ACH-000078,-0.3047186323652682
ACH-000082,-0.29474584813893
ACH-000085,-0.6572062959160544
ACH-000086,-0.106887222208861
ACH-000087,-0.20141461326571103
ACH-000092,-0.20109684930614907
ACH-000095,-0.13786541069244249
ACH-000097,-0.17176895820481833
ACH-000098,-0.18275559239879788
ACH-000099,-0.3291196557747603
ACH-000108,-0.19021831168841727
ACH-000113,-0.2294325440685239
ACH-000116,-0.20410626060042875
ACH-000118,-0.2711566322441525
ACH-000120,-0.30704072890875
ACH-000123,-0.2203878878837308
ACH-000127,-0.3180394518283641
ACH-000128,-0.20118945397190052
ACH-000132,-0.2474436151139129
ACH-000133,-0.2605138748616838
ACH-000137,-0.11650507898642933
ACH-000138,-0.2773627174674805
ACH-000142,-0.16928083552428627
ACH-000143,-0.14525100941310268
ACH-000146,-0.24730382380540503
ACH-000148,-0.1179867391743986
ACH-000150,-0.22827776516467724
ACH-000152,-0.2293881002750221
ACH-000153,-0.1581083283373167
ACH-000159,-0.2649926090333909
ACH-000160,-0.10995182691807713
ACH-000163,-0.15419397661459802
ACH-000167,-0.4286515048247572
ACH-000168,-0.09716333045696182
ACH-000169,-0.2508731434274566
ACH-000178,-0.2748459135746269
ACH-000183,-0.20333574686986933
ACH-000188,-0.2383288109404232
ACH-000189,-0.0711955620310206
ACH-000190,-0.3263917880589683
ACH-000198,-0.308133457285008
ACH-000203,-0.3642828239412157
ACH-000204,-0.3251060012636256
ACH-000206,-0.06608257901522986
ACH-000207,-0.3333836116701713
ACH-000208,-0.15203325533620346
ACH-000210,-0.2328121591806017
ACH-000211,-0.2652623084357937
ACH-000215,-0.30338919170318546
ACH-000221,-0.18789147796743386
ACH-000222,-0.1567478072930273
ACH-000223,-0.2809264886709833
ACH-000226,-0.29062609791976085
ACH-000227,-0.2702336361617095
ACH-000228,-0.26484867642825266
ACH-000231,-0.21160529554376384
ACH-000232,-0.14445809396183604
ACH-000233,-0.3609709106433739
ACH-000234,-0.20499020337709092
ACH-000235,-0.27917160614986225
ACH-000237,-0.3197874672994095
ACH-000238,-0.3793075174892131
ACH-000242,0.14616501123888387
ACH-000243,-0.2085061474597848
ACH-000244,-0.5206024945613495
ACH-000246,-0.14117653183639994
ACH-000248,-0.4248155856587381
ACH-000250,-0.310531812613011
ACH-000251,-0.1483254936994431
ACH-000252,-0.22623248319809355
ACH-000253,-0.260135438568369
ACH-000255,-0.4190937030986941
ACH-000256,-0.36685483178979705
ACH-000257,-0.10367618179865723
ACH-000258,-0.18662140031160107
ACH-000259,-0.20564317075381167
ACH-000260,-0.26425802308449065
ACH-000261,-0.18129726854600167
ACH-000262,-0.14094403315826745
ACH-000263,-0.22157713301993734
ACH-000264,-0.2671187923254881
ACH-000265,-0.20326753255291208
ACH-000266,-0.18900557043145094
ACH-000272,-0.20316512641925133
ACH-000274,-0.11574249404175055
ACH-000277,-0.0884777979969193
ACH-000278,-0.19365842352863524
ACH-000279,-0.2065176637146798
ACH-000280,-0.27550804892028424
ACH-000281,-0.1734758311796156
ACH-000288,-0.23636501328901705
ACH-000291,-0.26234365541630883
ACH-000293,-0.20292133401723106
ACH-000294,-0.08217351748500523
ACH-000295,-0.27324845556027194
ACH-000296,-0.20544225864528828
ACH-000302,-0.21989914822450746
ACH-000304,-0.07027151929614422
ACH-000307,-0.23011036419991704
ACH-000308,-0.1670406858508745
