,OR4F4 (26682)
ACH-000004,-0.8312348425203675
ACH-000005,-0.936056636599144
ACH-000007,-0.922428119054853
ACH-000009,-0.9990769889396764
ACH-000011,-0.8654421689424524
ACH-000012,-0.9084485812180636
ACH-000013,-0.7672302316373057
ACH-000014,-0.7916050852032436
ACH-000015,-0.7425589346474172
ACH-000017,-0.8796676408414935
ACH-000018,-0.8014673788361343
ACH-000019,-0.7191265144346365
ACH-000021,-0.7563952615602082
ACH-000022,-0.9397455149515822
ACH-000025,-0.8620614152877615
ACH-000028,-0.8441786482634512
ACH-000030,-0.940927480231135
ACH-000035,-0.7033060657215996
ACH-000036,-0.7969728944265111
ACH-000037,-0.9691238899103668
ACH-000039,-1.011450573168475
ACH-000040,-0.9390674940871488
ACH-000041,-0.7715437726439888
ACH-000042,-1.0956348446109658
ACH-000045,-0.8620359681638341
ACH-000047,-0.9012734714408872
ACH-000052,-0.8562586706566601
ACH-000053,-0.8206199480485203
ACH-000054,-1.0632356392330886
ACH-000055,-1.000861615076247
ACH-000060,-0.9515132848425476
ACH-000067,-0.9441845530835644
ACH-000070,-0.8412416754455972
ACH-000075,-0.8993878108120498
ACH-000078,-0.8441627908626189
ACH-000082,-0.8620243715325667
ACH-000085,-0.7632562561746741
ACH-000086,-0.7583614878515281
ACH-000087,-1.001460981637352
ACH-000092,-0.906749489240502
ACH-000095,-0.8143907137643123
ACH-000097,-0.8536873445684288
ACH-000098,-0.8310601211059324
ACH-000099,-0.8296506958995157
ACH-000108,-1.009199814058816
ACH-000113,-0.7708987083925251
ACH-000116,-0.7903285989689102
ACH-000118,-0.8041487678721976
ACH-000120,-0.9168363866458166
ACH-000123,-0.8311700447381534
ACH-000127,-0.6646482197151637
ACH-000128,-0.8087127761089934
ACH-000132,-0.9594181677860948
ACH-000133,-0.7248458784756414
ACH-000137,-0.9490668681865958
ACH-000138,-1.0243701352497965
ACH-000142,-0.9286835029210564
ACH-000143,-0.9764436087694274
ACH-000146,-0.8341873802773058
ACH-000148,-0.8318158084479007
ACH-000150,-0.9542217852363678
ACH-000152,-0.6149817628516588
ACH-000153,-0.8749043533173124
ACH-000159,-0.8014766721493809
