,RXRA (6256)
ACH-000004,-0.1343885675824427
ACH-000005,-0.055602808226607216
ACH-000007,-0.3710928221328207
ACH-000009,-0.3721681625147345
ACH-000011,-0.4068226238168533
ACH-000012,-0.26245396525843045
ACH-000013,-0.2230110281256084
ACH-000014,0.018809875170575814
ACH-000015,-0.1488062009804538
ACH-000017,-0.4072381909130994
ACH-000018,-0.4959869603999987
ACH-000019,-0.14268858349135718
ACH-000021,-0.09833990022515034
ACH-000022,-0.36486790203517305
ACH-000025,-0.2143662830064864
ACH-000028,-0.12435591543664752
ACH-000030,-0.2071425088632848
ACH-000035,-0.0796029059118816
ACH-000036,-0.3677527229282138
ACH-000037,-0.19151147491330225
ACH-000039,-0.02116673743516584
ACH-000040,-0.11204394938502617
ACH-000041,-0.1132989067100178
ACH-000042,-0.6341568901400949
ACH-000045,-0.4309200989415815
ACH-000047,-0.2781606466775757
ACH-000052,-0.3883467277257636
ACH-000053,-0.1794586322456767
ACH-000054,-0.2505183951573269
ACH-000055,-0.1273355066780224
ACH-000060,-0.22453291427793304
ACH-000067,-0.16729481498984916
ACH-000070,0.0038744824543365344
ACH-000075,-0.14275425502690586
ACH-000078,-0.06705221031925587
ACH-000082,-0.09180442714292958
ACH-000085,-0.4566751293089616
ACH-000086,-0.2666499869952048
ACH-000087,-0.11165591364483987
ACH-000092,-0.06279237470500826
ACH-000095,-0.10261009739971697
ACH-000097,-0.37732146313836296
ACH-000098,-0.4118900379456423
ACH-000099,-0.0214911329782098
ACH-000108,-0.3679556541893674
ACH-000113,-0.1351565469449957
ACH-000116,-0.0970742622602646
ACH-000118,-0.5405784140133226
ACH-000120,-0.17830451755520488
ACH-000123,-0.10156247623935108
ACH-000127,-0.2380146979407833
ACH-000128,-0.24539647457045305
ACH-000132,-0.3216110626825488
ACH-000133,-0.15324827368557584
ACH-000137,-0.22862764554484946
ACH-000138,-0.27282351482737205
ACH-000142,-0.5454000716059577
ACH-000143,-0.18564495907153186
ACH-000146,-0.34120816484454997
ACH-000148,-0.13777516213061544
ACH-000150,-0.2487838745727297
ACH-000152,-0.042716282709159836
ACH-000153,-0.588885951084154
ACH-000159,-0.2474850378464984
ACH-000160,-0.4563821092291808
ACH-000163,-0.2330815642030912
ACH-000167,-0.2900280244281878
ACH-000168,-0.12474830498319828
ACH-000169,-0.162075960246125
ACH-000178,-0.40041255641875867
ACH-000183,-0.12522432361668442
ACH-000188,-0.23107541174867197
ACH-000189,-0.1690475461733275
ACH-000190,-0.14668782157795165
ACH-000198,-0.3605113773250745
ACH-000203,-0.10232192474164044
ACH-000204,-0.07311354594084242
ACH-000206,-0.2803841848851739
ACH-000207,-0.27850468807852136
ACH-000208,-0.4066887702338794
ACH-000210,-0.1859063000344514
ACH-000211,-0.18298437160735956
ACH-000215,-0.15655319022171515
ACH-000221,-0.19065517425398787
ACH-000222,-0.15227707983446048
ACH-000223,-0.296607535136028
ACH-000226,-0.19504791590907253
ACH-000227,-0.09466831431706617
ACH-000228,-0.2016000250150865
ACH-000231,-0.29386728459653466
ACH-000232,-0.19423499385329365
ACH-000233,-0.2390265616237288
ACH-000234,-0.31914486009387205
ACH-000235,-0.03017580973883127
ACH-000237,-0.2803547505740588
ACH-000238,-0.3526431834553063
ACH-000242,-0.4769636298169827
ACH-000243,-0.2882622965792065
ACH-000244,-0.03539203559392567
ACH-000246,-0.2503999580264121
ACH-000248,-0.3385974440937968
ACH-000250,-0.1772072659139752
ACH-000251,-0.20617921196393876
ACH-000252,-0.4888164778678389
ACH-000253,-0.1999149890874512
ACH-000255,-0.2478533625840046
ACH-000256,-0.1511674931707083
ACH-000257,-0.10923557388986116
ACH-000258,-0.2183814115204906
ACH-000259,-0.1491023705289919
ACH-000260,-0.1252741575280721
ACH-000261,-0.08712570689220732
ACH-000262,-0.528358772740016
ACH-000263,-0.2406933825316304
ACH-000264,-0.4570342407503573
ACH-000265,-0.14924897805413234
ACH-000266,-0.07301277972754447
ACH-000272,-0.2066501853736918
ACH-000274,-0.11289608749929066
ACH-000277,-0.1843093043584352
ACH-000278,-0.16189279758621744
ACH-000279,-0.11867664999862634
ACH-000280,-0.5268691800047303
ACH-000281,-0.5184171457689268
ACH-000288,-0.1073123534713376
ACH-000291,-0.1813910268108176
ACH-000293,-0.1343496319686076
ACH-000294,-0.6459287301611638
ACH-000295,-0.0007204728068249776
ACH-000296,0.02952543265012472
ACH-000302,-0.08042996405110611
ACH-000304,0.04098371632633742
ACH-000307,-0.2034972295803707
ACH-000308,-0.13814557085590293
ACH-000310,-0.07326672854690629
ACH-000311,-0.4585585398004033
ACH-000312,-0.13683142076312912
ACH-000315,-0.2433062153916589
ACH-000316,-0.2674203444466246
ACH-000317,-0.08633771522716828
ACH-000318,-0.2478610704195544
ACH-000319,-0.023300770009183864
ACH-000320,-0.5133817813031812
ACH-000322,-0.1752112916055073
ACH-000323,-0.26092912552291925
ACH-000324,-0.26235378577994944
ACH-000329,-0.12005800712360555
ACH-000330,-0.18162110110062946
ACH-000331,-0.2247000337598702
ACH-000332,-0.5792456538050351
ACH-000334,-0.031728856608670045
ACH-000335,-0.31025097663046264
ACH-000336,-0.13897625431294935
ACH-000337,-0.2348732140863745
ACH-000338,-0.2600657620039034
