,DZIP3 (9666)
ACH-000004,-0.03387544067416708
ACH-000005,0.06561110282841304
ACH-000007,-0.21630809624104586
ACH-000009,-0.020240334994247683
ACH-000011,-0.09343549561983336
ACH-000012,-0.044422695389687454
ACH-000013,0.03258759611311478
ACH-000014,-0.16345829030378534
ACH-000015,0.1728412743116028
ACH-000017,-0.018510425613745718
ACH-000018,-0.02217562255905171
ACH-000019,-0.06618988201135217
ACH-000021,-0.05072264451976267
ACH-000022,-0.02327748306140393
ACH-000025,-0.0829961077061102
ACH-000028,-0.12368456950371574
ACH-000030,-0.05485662055587658
ACH-000035,-0.0730132012369032
ACH-000036,0.15922208713205369
ACH-000037,0.16064115765027806
ACH-000039,0.07537994250072469
ACH-000040,0.0429897656917109
ACH-000041,0.04076601966563847
ACH-000042,0.031968071430633016
ACH-000045,0.049757812478722636
ACH-000047,-0.010756913068624556
ACH-000052,0.17712159599790336
ACH-000053,-0.08414201551611528
ACH-000054,0.01834402897772849
ACH-000055,0.08322406147830058
ACH-000060,-0.11365154759572138
ACH-000067,-0.04841764569517815
ACH-000070,-0.08601152970187435
ACH-000075,-0.098535015734623
ACH-000078,0.06003148677210445
ACH-000082,-0.05680079140058392
ACH-000085,0.028580958090470537
ACH-000086,-0.019935648391017843
ACH-000087,0.12909213030171604
ACH-000092,0.020575432169476642
ACH-000095,0.028904672079858987
ACH-000097,0.021787022993280614
ACH-000098,0.12324166209700485
ACH-000099,0.04358284603694503
ACH-000108,-0.06738676998654503
ACH-000113,0.033026830900975954
ACH-000116,0.08442731077474641
ACH-000118,-0.0016564892094426324
ACH-000120,0.018143218251616883
ACH-000123,-0.03620789647696974
ACH-000127,0.004638103594123971
ACH-000128,-0.04170183038438897
ACH-000132,-0.01872840683400416
ACH-000133,0.0399281339855523
ACH-000137,-0.1492512474815391
ACH-000138,-0.05429153781558454
ACH-000142,0.029756951940838376
ACH-000143,-0.03227062721619167
ACH-000146,0.06131065714603216
ACH-000148,0.14856769639094536
ACH-000150,0.0859431048363074
ACH-000152,0.017364135968069332
ACH-000153,-0.0363732233835074
ACH-000159,-0.030295259989153382
ACH-000160,-0.04395775729154513
ACH-000163,-0.0626405218213304
ACH-000167,-0.2669448972718003
ACH-000168,-0.04559285841093075
ACH-000169,-0.0620791554011521
ACH-000178,-0.0010060065571233909
ACH-000183,0.01037352441529381
ACH-000188,0.025606268480968617
ACH-000189,-0.07625211124593094
ACH-000190,0.021883204907780715
ACH-000198,0.05677743200209935
ACH-000203,0.15619920094225742
ACH-000204,0.10366640322810547
ACH-000206,0.01689278247363129
ACH-000207,0.1278506293533391
ACH-000208,-0.06587607979154489
ACH-000210,0.009138808719899584
ACH-000211,-0.03706606943159283
ACH-000215,0.020077532450242984
ACH-000221,-0.0819240639111059
ACH-000222,-0.10687975789176288
ACH-000223,0.0018826999595205828
ACH-000226,-0.06212341413653751
ACH-000227,-0.060472849207842676
ACH-000228,-0.04192247431923833
ACH-000231,-0.016192434818374332
ACH-000232,-0.021294994983378626
ACH-000233,-0.1048649467660824
ACH-000234,-0.026233232008179244
ACH-000235,0.01315847506510401
ACH-000237,0.037707972629663175
ACH-000238,0.07869613517442282
ACH-000242,0.00892223757548327
ACH-000243,0.00854218618386677
ACH-000244,-0.004491162812220715
ACH-000246,0.040844316999647474
ACH-000248,0.0893239974300468
ACH-000250,-0.017896859772924587
ACH-000251,0.0360825541994343
ACH-000252,0.10519635696330264
ACH-000253,0.00019442794789887016
ACH-000255,0.14432392837857136
