,EPPIN (57119)
ACH-000004,-0.2921228990325145
ACH-000005,-0.12958097196472848
ACH-000007,-0.18837118321095586
ACH-000009,-0.09874677062058823
ACH-000011,-0.052130869227533086
ACH-000012,-0.007555475906303773
ACH-000013,-0.08719048302291614
ACH-000014,-0.08044711898432605
ACH-000015,-0.12075308965118307
ACH-000017,-0.20389649234706694
ACH-000018,-0.11351951394665452
ACH-000019,-0.15984665416353225
ACH-000021,-0.07773795896625701
ACH-000022,-0.16988927300895304
ACH-000025,-0.19989869989981848
ACH-000028,-0.1182253651388332
ACH-000030,-0.16714909371136974
ACH-000035,-0.13445542228337565
ACH-000036,-0.03105655200683216
ACH-000037,-0.10289820695751042
ACH-000039,-0.15105978719973095
ACH-000040,-0.09043870939255888
ACH-000041,-0.11019367291569464
ACH-000042,-0.2555540859831743
ACH-000045,-0.12208558870386015
ACH-000047,-0.18500879388097188
ACH-000052,-0.1604886495106711
ACH-000053,-0.13276478595394228
ACH-000054,-0.14349825852828305
ACH-000055,-0.18555166404909085
ACH-000060,-0.1873084923190416
ACH-000067,-0.1292065893017408
ACH-000070,-0.16419874195491416
ACH-000075,-0.2302415713318301
ACH-000078,-0.1138460318351349
ACH-000082,-0.3031967290600893
ACH-000085,-0.3170014789482209
ACH-000086,-0.18843115346154152
ACH-000087,0.01040190428990982
ACH-000092,-0.19055049795158094
ACH-000095,-0.1466424832360691
ACH-000097,-0.1840371861057605
ACH-000098,-0.09703318981850333
ACH-000099,-0.05183110630204129
ACH-000108,-0.15244216723868154
ACH-000113,-0.059048131487494625
ACH-000116,-0.0992934915818462
ACH-000118,-0.13038736102052068
ACH-000120,-0.06226571276745771
ACH-000123,-0.13624436998176656
ACH-000127,-0.08594499152548819
ACH-000128,-0.04113696307641676
ACH-000132,-0.06463456225117105
ACH-000133,-0.13776295302046696
ACH-000137,-0.05473962040210107
ACH-000138,-0.18075015338893075
ACH-000142,-0.063077418972968
ACH-000143,-0.1827146045243208
ACH-000146,-0.20745243678277853
ACH-000148,-0.1424554159797347
ACH-000150,-0.1026806919466331
ACH-000152,-0.1450025404300569
ACH-000153,-0.09354000774630723
ACH-000159,-0.11864854510404076
ACH-000160,-0.14314620037527764
ACH-000163,-0.1146760786829126
ACH-000167,-0.30590711537286924
ACH-000168,-0.1798184914007282
ACH-000169,-0.2785975380240485
ACH-000178,-0.13861972198663647
ACH-000183,-0.17470903391830606
ACH-000188,-0.1436717754138875
ACH-000189,-0.10123311684005057
ACH-000190,-0.08940492221179333
ACH-000198,-0.17168089116613894
ACH-000203,-0.08527679196677485
ACH-000204,-0.0565537249633899
ACH-000206,-0.0787713442894079
ACH-000207,-0.0500702016126734
ACH-000208,0.031328552436367084
ACH-000210,0.19194547664480213
ACH-000211,-0.16066819238310834
ACH-000215,-0.12359546037212098
ACH-000221,-0.2756622223786596
ACH-000222,-0.2134727429190691
ACH-000223,-0.0039807222222512095
ACH-000226,-0.07344032031940624
ACH-000227,-0.062303974503322576
ACH-000228,-0.15050805216871682
ACH-000231,-0.1446213880803895
ACH-000232,-0.1262261379936364
ACH-000233,-0.09846346648276942
ACH-000234,-0.1502392099319122
ACH-000235,-0.11865213250155288
ACH-000237,-0.17767131832001687
ACH-000238,-0.2016757864546736
ACH-000242,0.1038921494751534
ACH-000243,-0.07683914166253918
ACH-000244,-0.1526826226303405
ACH-000246,-0.1255711255685955
ACH-000248,-0.13821684249754962
ACH-000250,-0.15765950794797368
ACH-000251,-0.16821603538945645
ACH-000252,-0.13335460114227007
ACH-000253,-0.2893237966407311
ACH-000255,-0.2354844541721305
ACH-000256,-0.08502725832098698
ACH-000257,0.04153199959197733
ACH-000258,-0.2741313500438584
ACH-000259,-0.15210138678652424
ACH-000260,-0.2416500029910753
ACH-000261,-0.1970004979304273
ACH-000262,-0.1426736516114995
ACH-000263,-0.0583825181907197
ACH-000264,-0.18947730246102132
ACH-000265,-0.08020265574847682
ACH-000266,-0.12554515359932758
ACH-000272,-0.11180118448336022
ACH-000274,-0.2261055277802165
ACH-000277,-0.26938385822658245
ACH-000278,-0.12340371805538225
ACH-000279,-0.0553971828285651
ACH-000280,-0.2013946621749328
ACH-000281,-0.2677900264266668
ACH-000288,-0.13068975259864854
ACH-000291,-0.2752172662123238
ACH-000293,-0.2130336334151812
ACH-000294,-0.26410654161645203
ACH-000295,-0.0006756774378086882
ACH-000296,-0.19636036076399768
ACH-000302,-0.11508024469125143
ACH-000304,-0.15983533044941142
ACH-000307,-0.12208411372318673
ACH-000308,-0.12634707486297653
ACH-000310,-0.10418493367199418
ACH-000311,-0.075699451647617
ACH-000312,-0.11696358278629206
ACH-000315,-0.105012314621985
ACH-000316,-0.2468145298175519
ACH-000317,-0.08043837711511476
ACH-000318,-0.29396439648776834
ACH-000319,-0.13503269678501947
ACH-000320,-0.21074312572788306
ACH-000322,-0.2271303690229821
ACH-000323,-0.1864599736274203
ACH-000324,-0.1256369814577244
ACH-000329,-0.18110443676114124
ACH-000330,-0.3532746042902979
ACH-000331,-0.07551047530214029
ACH-000332,-0.15058347075054626
ACH-000334,-0.04886519639663802
ACH-000335,-0.021315230894159938
ACH-000336,-0.3030354799134755
ACH-000337,-0.15111241473741974
ACH-000338,-0.026099715212854053
ACH-000339,-0.07378679252327021
ACH-000341,-0.05879464163212105
ACH-000348,-0.1571651904489433
ACH-000350,-0.28751634956177224
ACH-000352,-0.06884628596010914
ACH-000356,-0.3861790036903336
ACH-000361,-0.16824289716915575
ACH-000362,-0.10876186054720556
ACH-000363,-0.15372804917585825
ACH-000364,-0.04105146934931372
ACH-000365,-0.18741647098984285
ACH-000366,-0.16537536284357005
ACH-000368,-0.2655293417375786
ACH-000374,-0.032649042740013484
ACH-000375,-0.08892325919122335
ACH-000376,-0.1717250795125157
ACH-000381,-0.1315732419124001
ACH-000383,-0.1418620407646195
ACH-000387,-0.1061394595380258
ACH-000389,-0.1456998941834664
ACH-000390,-0.1436376417832517
ACH-000393,-0.1023146666166442
ACH-000395,-0.3404333530599272
ACH-000396,-0.23917802505862235
ACH-000397,-0.07464742961285582
ACH-000401,-0.2597823249418056
ACH-000402,0.01589124254261642
ACH-000403,-0.19826377940943285
ACH-000404,-0.3765825164907569
ACH-000406,-0.15958891487321175
ACH-000407,-0.18208992703169916
ACH-000408,-0.26876132961320803
ACH-000410,-0.11430529674654208
ACH-000411,-0.1459099476608211
ACH-000414,-0.22365242799730672
ACH-000415,-0.11057235822003504
ACH-000416,-0.09563027364288176
ACH-000420,-0.2381656369769735
ACH-000421,-0.15692325785751055
ACH-000424,-0.2502394914724699
ACH-000425,-0.1690555016887708
ACH-000426,-0.1284666773503376
ACH-000427,-0.2164001160323481
ACH-000433,-0.15309339779223455
ACH-000435,-0.2474547477617165
ACH-000436,-0.21053547369202247
ACH-000444,-0.1415496236227766
ACH-000445,-0.1857824152323859
ACH-000448,-0.10837953218041636
ACH-000450,-0.13838895822144828
ACH-000452,-0.2086440657122325
ACH-000454,0.06099047527016972
ACH-000458,-0.2026917611449108
ACH-000459,-0.16007055044203933
ACH-000460,-0.0631019736559884
ACH-000461,-0.16721794622109304
ACH-000463,-0.20516716899243415
ACH-000464,-0.05840173899335632
ACH-000466,-0.32002636605557894
ACH-000467,-0.2903101856630321
ACH-000468,-0.1919299851960607
ACH-000469,-0.22293374587877804
ACH-000470,-0.18575649445446712
ACH-000471,-0.15505994060397746
ACH-000472,-0.14054790454251287
ACH-000473,-0.2919280718118385
ACH-000475,-0.12150004919906132
ACH-000476,-0.16012604603127498
ACH-000477,-0.016297953749073942
ACH-000479,-0.19364041638958865
ACH-000480,-0.06534421054982542
ACH-000481,-0.150634551253548
ACH-000483,-0.16296988741959087
ACH-000484,-0.10302665410600023
ACH-000485,-0.19765277656957247
ACH-000486,-0.12353431021692547
ACH-000487,-0.1676265572734024
ACH-000488,-0.19256820795896493
ACH-000490,-0.08998881931470128
ACH-000491,-0.07973672132234631
ACH-000495,0.0018178863433642293
ACH-000496,-0.13325013318220102
ACH-000499,-0.09602029727789203
ACH-000500,0.02085961159193508
ACH-000502,-0.20768629038529435
ACH-000503,-0.15943525928732127
ACH-000505,-0.0058175295202095075
ACH-000507,-0.2150716820653399
ACH-000510,-0.2350733284584779
ACH-000511,-0.183977747436734
ACH-000512,0.05696793543779535
ACH-000516,-0.06618244225109884
ACH-000517,-0.12871995625984015
ACH-000518,-0.20793408828794527
ACH-000520,-0.0816225408489034
ACH-000521,-0.16040940044554727
ACH-000522,-0.11908087153287568
ACH-000524,-0.15504883145065568
ACH-000527,-0.17759852601766948
ACH-000528,-0.2551434234776324
ACH-000537,-0.3702011090065313
ACH-000541,-0.2319435892623989
ACH-000542,-0.16564072243261266
ACH-000544,-0.13022659991053712
ACH-000545,-0.15692961770869376
ACH-000547,-0.1696423735299729
ACH-000548,-0.15808578969757545
ACH-000549,-0.17767606877269684
ACH-000550,-0.1759490714719988
ACH-000552,-0.14991184597819726
ACH-000556,-0.1877558716176557
ACH-000557,-0.3625585789421316
ACH-000569,-0.12154439639439354
ACH-000570,-0.15116852912365705
ACH-000571,-0.12877014368795126
ACH-000573,-0.1385864230770764
ACH-000576,-0.10644083553625036
ACH-000579,-0.15848195329569087
ACH-000580,-0.07569956280906097
ACH-000584,-0.012669932569310108
ACH-000585,-0.07743072057855567
ACH-000588,-0.21754138556460856
ACH-000589,-0.2545266855059572
ACH-000591,-0.19154331889188853
ACH-000593,-0.20465378199346795
ACH-000600,-0.1540870093486882
ACH-000601,-0.16161688467904406
ACH-000605,-0.3734964831730999
ACH-000606,-0.1693431659696149
ACH-000608,-0.17227918029338735
ACH-000614,-0.22724184285649895
ACH-000616,-0.15353625136829005
ACH-000618,-0.1123702443335535
ACH-000619,-0.11550253940019024
ACH-000620,-0.13357639201373953
ACH-000621,-0.06185118718710308
ACH-000622,-0.16548229779634185
ACH-000623,-0.17525466215067834
ACH-000624,-0.17059959704920274
ACH-000627,-0.2444492420645829
ACH-000630,-0.0030948250043781305
ACH-000631,-0.3416675807499538
ACH-000632,-0.10909280591645472
ACH-000633,-0.14263887551611784
ACH-000637,-0.07034673621508973
ACH-000638,-0.08509322967813585
ACH-000646,-0.2196573104926589
ACH-000647,-0.10327835268195204
