,POMGNT2 (84892)
ACH-000004,-0.07204389178051883
ACH-000005,-0.19759550801406256
ACH-000007,-0.00396619699385469
ACH-000009,-0.09558711225069086
ACH-000011,-0.020597672875369042
ACH-000012,0.04496444353626474
ACH-000013,-0.08655133467590598
ACH-000014,-0.13979100813859358
ACH-000015,-0.1166179851540394
ACH-000017,0.0007111143721585296
ACH-000018,-0.003118417059388986
ACH-000019,-0.10353953820836123
ACH-000021,-0.09878943769879037
ACH-000022,-0.1644167417341172
ACH-000025,-0.07010757438194194
ACH-000028,-0.07048876845761486
ACH-000030,-0.031973821577591516
ACH-000035,-0.08510621502744042
ACH-000036,-0.0019108549630336559
ACH-000037,0.11635489397960512
ACH-000039,-0.18042753925299976
ACH-000040,0.08559600415201622
ACH-000041,-0.2067986828238364
ACH-000042,-0.09497931656488152
ACH-000045,-0.04536996403377256
ACH-000047,0.04171413669275003
ACH-000052,0.002408967446629179
ACH-000053,-0.05607340298579315
ACH-000054,-0.11795165082920273
ACH-000055,-0.08930899009689729
ACH-000060,-0.004825679773115836
ACH-000067,-0.09257881716458434
ACH-000070,-0.0207531074535387
ACH-000075,0.14778439594292905
ACH-000078,0.05921415813576567
ACH-000082,-0.03457465777541762
ACH-000085,-0.21241107985032576
ACH-000086,-0.02102932690367254
ACH-000087,-0.15158801315542547
ACH-000092,-0.004113072876458642
ACH-000095,-0.09964204247043124
ACH-000097,0.010959041869202196
ACH-000098,-0.17647306705616767
ACH-000099,-0.02593151983554377
ACH-000108,-0.13123338452339064
ACH-000113,-0.15352717405780614
ACH-000116,-0.028293828635361763
ACH-000118,0.01598037524931781
ACH-000120,0.05655299644803845
ACH-000123,-0.05661789197167965
ACH-000127,-0.09846290964816982
ACH-000128,-0.1240374577530436
ACH-000132,-0.011228088264386942
ACH-000133,-0.02156080656121816
ACH-000137,0.0008657109251430168
ACH-000138,-0.11062870417106302
ACH-000142,-0.037830788327741297
ACH-000143,-0.098554464984465
ACH-000146,-0.06705910259731318
ACH-000148,-0.08318198492334722
ACH-000150,-0.2448745498721351
ACH-000152,-0.06635586322991496
ACH-000153,-0.08289260333963643
ACH-000159,-0.01034057238962817
ACH-000160,0.008524983826894766
ACH-000163,-0.043607472064546036
ACH-000167,0.01990820237326089
ACH-000168,-0.10406065736016083
ACH-000169,0.02483544151183644
ACH-000178,-0.09076824679476278
ACH-000183,-0.004306458086685629
ACH-000188,-0.22510892862667475
ACH-000189,-0.08514952819267634
ACH-000190,-0.08243142604306293
ACH-000198,-0.02666047847227134
ACH-000203,0.08173552410401602
ACH-000204,-0.1352647214169499
ACH-000206,0.05980892755905608
ACH-000207,-0.03175462706355195
ACH-000208,-0.30463308893522023
ACH-000210,0.013588714691643465
ACH-000211,-0.08516676035533363
ACH-000215,-0.003250120496666539
ACH-000221,-0.08570346118146394
ACH-000222,0.1399290694651524
ACH-000223,-0.07096612529254724
ACH-000226,-0.0461822335665632
ACH-000227,-0.10766307699843404
ACH-000228,-0.11358080901263475
ACH-000231,-0.06526072768251596
ACH-000232,-0.023263294167859272
ACH-000233,-0.08783166824237243
ACH-000234,-0.0646007328929144
ACH-000235,-0.15665979451119966
ACH-000237,0.006478472809470261
ACH-000238,-0.1818851099095672
ACH-000242,-0.011638061324706085
ACH-000243,-0.0564139936842928
ACH-000244,0.011448418283504135
ACH-000246,-0.10308921658748084
ACH-000248,0.032173643725033535
ACH-000250,-0.0415953840941875
ACH-000251,-0.18286395650621773
ACH-000252,-0.04412709713142377
ACH-000253,0.027989827145422863
ACH-000255,-0.0905866730341828
ACH-000256,0.05071543075191107
ACH-000257,0.07546997355511767
ACH-000258,0.010174555068767223
ACH-000259,0.02302652240791865
ACH-000260,0.04308499786002008
ACH-000261,-0.1157930713952608
ACH-000262,-0.034262955923370864
ACH-000263,-0.16911912045628832
ACH-000264,-0.12256927205647156
ACH-000265,-0.10335034701103107
ACH-000266,-0.034372542825543285
ACH-000272,-0.02822850498844548
ACH-000274,-0.02615686459581178
ACH-000277,-0.016679202695710594
ACH-000278,-0.0044531301027792465
ACH-000279,-0.11742663060869997
ACH-000280,-0.0806526482563762
ACH-000281,-0.08876074218309547
ACH-000288,-0.07235894579872093
ACH-000291,-0.07292279463549428
ACH-000293,0.05895356810466335
ACH-000294,-0.0680377729110137
ACH-000295,-0.13899849664146574
ACH-000296,-0.07820763491283228
ACH-000302,-0.060554324528835635
ACH-000304,-0.2258924204573197
ACH-000307,-0.1226833698886158
ACH-000308,-0.08663156433074605
ACH-000310,0.009502356164785994
ACH-000311,-0.008207784770503431
ACH-000312,0.015713984142668492
ACH-000315,0.02681557187188692
ACH-000316,-0.020020061023318905
ACH-000317,-0.08234528838597409
ACH-000318,-0.1242451237671396
ACH-000319,-0.17960304016114284
ACH-000320,-0.2510667144250483
ACH-000322,-0.18244703088715425
ACH-000323,-0.10436709298267717
ACH-000324,-0.0007716297736155041
ACH-000329,-0.054460294390496385
ACH-000330,0.0447175318649761
ACH-000331,0.004892243085666086
ACH-000332,-0.031452143970824305
ACH-000334,0.029039894326471093
ACH-000335,0.15669708536688215
ACH-000336,-0.14580744406138027
ACH-000337,-0.1277367812984397
ACH-000338,0.2242313786974014
ACH-000339,0.052519866650257666
ACH-000341,-0.0194722316337172
ACH-000348,-0.08516727763726224
ACH-000350,-0.011340644815836371
ACH-000352,-0.1088549799358336
ACH-000356,-0.023201304046701832
ACH-000361,-0.2952310688076765
ACH-000362,-0.019594963820671902
ACH-000363,-0.10231835023144398
ACH-000364,0.05498244644835901
ACH-000365,-0.15919845304475294
ACH-000366,-0.07993019349310526
ACH-000368,0.08177273554164965
ACH-000374,0.006810709834053605
ACH-000375,-0.09480588195719802
ACH-000376,-0.00018797095953422086
ACH-000381,0.11821122889508705
ACH-000383,-0.035233577896758767
ACH-000387,-0.06634412510237972
ACH-000389,-0.19360390838469008
ACH-000390,-0.14705576832529646
ACH-000393,-0.11384510490834708
ACH-000395,0.004245013286918625
ACH-000396,-0.049283254671711914
ACH-000397,-0.030348633310595605
ACH-000401,-0.021375448585911845
ACH-000402,-0.1178556487478926
ACH-000403,-0.02720805912847035
ACH-000404,-0.1012668497143274
ACH-000406,-0.025535964430537773
ACH-000407,-0.08843289815149494
ACH-000408,-0.11122399891006617
ACH-000410,-0.10083292349761104
ACH-000411,0.1408754109631276
ACH-000414,0.011234807784530731
