,RBM15 (64783)
ACH-000004,-0.4716210019321524
ACH-000005,-0.09433855627218722
ACH-000007,-0.1380197319425655
ACH-000009,-0.38179055643535903
ACH-000011,0.09501449270796973
ACH-000012,-0.3760629965740235
ACH-000013,-0.2423215603068681
ACH-000014,-0.5275626292007045
ACH-000015,-0.29259559894172976
ACH-000017,-0.1944462623148296
ACH-000018,-0.1655785338337025
ACH-000019,-0.6180984645779409
ACH-000021,-0.4731724507683615
ACH-000022,-0.46454382688590706
ACH-000025,-0.16019571210691155
ACH-000028,-0.5646983276702056
ACH-000030,-0.04154917941944543
ACH-000035,-0.2414278494802493
ACH-000036,-0.10476862567045699
ACH-000037,-0.32387262619333634
ACH-000039,-0.4493665989208501
ACH-000040,-0.3601227029808714
ACH-000041,-0.07189272453478884
ACH-000042,-0.32092848947826946
ACH-000045,-0.312575493161178
ACH-000047,-0.23626768267680026
ACH-000052,-0.3709314728659383
ACH-000053,-0.21515821122256132
ACH-000054,0.09824475284355937
ACH-000055,-0.6562932883624061
ACH-000060,-0.5606087622092805
ACH-000067,-0.22443260580329602
ACH-000070,-0.31892942386305856
ACH-000075,-0.08785034191984345
ACH-000078,-0.14536513875524645
ACH-000082,-0.08532287897731893
ACH-000085,-0.22180202249308167
ACH-000086,-0.3110997183646924
ACH-000087,0.17382957394147722
ACH-000092,-0.3327040465342812
ACH-000095,-0.06003818484528654
ACH-000097,-0.24514779149003385
ACH-000098,-0.14007933775005016
ACH-000099,-0.17564040224297348
ACH-000108,-0.707981898496553
ACH-000113,-0.329101302931907
ACH-000116,-0.31065405287204545
ACH-000118,-0.4925527796632708
ACH-000120,-0.08433624240433557
ACH-000123,-0.19288486176355865
ACH-000127,-0.212635677931368
ACH-000128,-0.3468580584734901
ACH-000132,-0.28169194569504746
ACH-000133,-0.02694492639853935
ACH-000137,-0.576397693492574
ACH-000138,-0.5923543038788261
ACH-000142,-0.4761528182282432
ACH-000143,-0.7847095813099942
ACH-000146,-0.5272502946487979
ACH-000148,-0.03061047151548123
ACH-000150,-0.40132421094904863
ACH-000152,-0.2800523077549698
ACH-000153,-0.15072334322370912
ACH-000159,-0.3134234002011546
ACH-000160,-0.3584960822750968
ACH-000163,-0.2721437359152432
ACH-000167,-0.8799907656101152
ACH-000168,0.05645735169293903
ACH-000169,-0.2505128549793779
ACH-000178,-0.38293329742213145
ACH-000183,-0.4720036614360766
ACH-000188,-0.32099595446265544
ACH-000189,0.28882206754178136
ACH-000190,-0.2667984715903671
ACH-000198,-0.5071459084230223
ACH-000203,-0.6535799795540178
ACH-000204,-0.4194641486707104
ACH-000206,-0.2372682704769495
ACH-000207,-0.672566719845577
ACH-000208,-0.5405572486346245
ACH-000210,-0.3245914196386066
ACH-000211,-0.3546016938062722
ACH-000215,-0.29594745392293953
ACH-000221,-0.4440794208264928
ACH-000222,-0.2616869017184573
ACH-000223,-0.44263671778263614
ACH-000226,-0.2589771518707881
ACH-000227,-0.22265873069308287
ACH-000228,-0.5086435703942254
