,DAZAP1 (26528)
ACH-000004,-0.0021565747603790545
ACH-000005,-0.3373875900280786
ACH-000007,-0.4544232892494753
ACH-000009,-0.1856477191141844
ACH-000011,-0.17749969869550813
ACH-000012,-0.2856657657033355
ACH-000013,-0.3158762001881767
ACH-000014,-0.1090075309120018
ACH-000015,-0.38994929255246535
ACH-000017,-0.1471768124868648
ACH-000018,-0.09153436037777313
ACH-000019,-0.5011136940569879
ACH-000021,-0.37011368578623854
ACH-000022,-0.30223927839176584
ACH-000025,-0.06135130357121307
ACH-000028,-0.6284717563588345
ACH-000030,-0.224900379555562
ACH-000035,-0.1019492604565938
ACH-000036,-0.4655370546657889
ACH-000037,-0.33524640769505354
ACH-000039,-0.1289173298257375
ACH-000040,-0.12870052418836622
ACH-000041,-0.4456567287660356
ACH-000042,-0.3903256144108556
ACH-000045,-0.30771243607454124
ACH-000047,-0.22253300253265967
ACH-000052,-0.3847668367776139
ACH-000053,-0.2898736389059145
ACH-000054,-0.16065028216393135
ACH-000055,-0.2415503492170341
ACH-000060,-0.25731998967391523
ACH-000067,-0.2063548574373073
ACH-000070,-0.2753502525432813
ACH-000075,-0.20490817657767466
ACH-000078,0.0037880661151101776
ACH-000082,-0.06345723624725058
ACH-000085,-0.14191175628893965
ACH-000086,-0.2571321350439561
ACH-000087,-0.08255804536228531
ACH-000092,-0.278799634761806
ACH-000095,-0.2973601152099897
ACH-000097,-0.3640158395777722
ACH-000098,-0.4108825048671946
ACH-000099,-0.254471764690637
ACH-000108,-0.3930952886668189
ACH-000113,-0.5181707067536422
ACH-000116,-0.38363025826152186
ACH-000118,-0.3551514356236798
ACH-000120,-0.19214170963522464
ACH-000123,-0.07063727316979576
ACH-000127,-0.3553132326392765
ACH-000128,-0.0880506515703235
ACH-000132,-0.18679961227273967
ACH-000133,-0.13836835476262685
ACH-000137,-0.3570316647360193
ACH-000138,-0.2590157957043849
ACH-000142,-0.35982754816231105
ACH-000143,-0.5311024985701893
ACH-000146,-0.2599485857784805
ACH-000148,-0.11415367065186985
ACH-000150,-0.5208197751139098
ACH-000152,-0.10294123841198496
ACH-000153,-0.2977003933715279
ACH-000159,-0.38997052953571504
ACH-000160,-0.09507266018869297
ACH-000163,-0.32449853578730264
ACH-000167,-0.17679270663289715
ACH-000168,-0.12562204786724182
ACH-000169,-0.12081199961588415
ACH-000178,-0.3021255233451153
ACH-000183,-0.4751963190201846
ACH-000188,-0.17861695040842904
ACH-000189,-0.4748865996218656
ACH-000190,-0.20544229430320146
ACH-000198,-0.3301006188309128
ACH-000203,-0.4490024997620932
ACH-000204,-0.3119989823905929
ACH-000206,-0.4768589711283936
ACH-000207,-0.17936212597919735
ACH-000208,-0.5306552893868551
ACH-000210,-0.033465667221689435
ACH-000211,-0.3289334209366652
ACH-000215,-0.2594516873898978
ACH-000221,-0.23499117335763606
ACH-000222,-0.20550496494828674
ACH-000223,-0.1742568913844394
ACH-000226,-0.3807361030450386
ACH-000227,-0.12508200000357494
ACH-000228,-0.2588502034101347
ACH-000231,-0.3107139162671417
ACH-000232,0.2598931408311817
ACH-000233,-0.4817190982537048
ACH-000234,-0.5440628259921625
ACH-000235,-0.2960173163425813
ACH-000237,-0.30759918429455274
ACH-000238,-0.26092246833713817
ACH-000242,-0.415659538182222
ACH-000243,-0.018653981604738638
ACH-000244,-0.2958145014496304
ACH-000246,-0.5837939586447349
ACH-000248,-0.4779463722357168
ACH-000250,-0.3498542753444375
ACH-000251,-0.29029148491855017
ACH-000252,-0.5192894387030227
ACH-000253,-0.12458504971706055
ACH-000255,0.07696196039930606
ACH-000256,-0.11332496980920398
ACH-000257,-0.14724808158248692
ACH-000258,0.2990942093834865
ACH-000259,-0.4527940240382056
ACH-000260,-0.290007118962225
ACH-000261,-0.20731100145179046
ACH-000262,-0.224547443825435
ACH-000263,-0.4201025846376801
ACH-000264,-0.21008103488451732
ACH-000265,-0.2370986859102464
ACH-000266,-0.4262905775044967
ACH-000272,-0.24419085593130746
ACH-000274,-0.25945197348501153
ACH-000277,-0.2606842758583035
ACH-000278,-0.3492452991077021
ACH-000279,-0.7986060254497187
ACH-000280,-0.3124217619306872
ACH-000281,-0.3769398895088196
ACH-000288,-0.3289725683949189
ACH-000291,-0.27086970078743394
ACH-000293,-0.28074527771726104
ACH-000294,-0.1035128532598184
ACH-000295,-0.4209101355702763
ACH-000296,-0.2282830603723697
ACH-000302,-0.27392430863984274
ACH-000304,-0.3785372229553238
ACH-000307,-0.19502826364421424
ACH-000308,-0.06441866169406812
ACH-000310,-0.14935795051657885
ACH-000311,-0.2567195170711587
ACH-000312,-0.4477779022320906
ACH-000315,-0.5351879036378661
ACH-000316,-0.19964148187806832
ACH-000317,-0.3132201074179675
ACH-000318,-0.19066853985802887
ACH-000319,-0.36211546097828
ACH-000320,-0.2337630539018761
ACH-000322,-0.18621525812342687
ACH-000323,-0.2680093666304028
ACH-000324,-0.33014855185103825
