,GSDMD (79792)
ACH-000004,-0.3312087245329473
ACH-000005,-0.27442995699095235
ACH-000007,-0.1463803604397074
ACH-000009,-0.11849238892746004
ACH-000011,-0.17971004096540144
ACH-000012,-0.10426588077187532
ACH-000013,-0.04384379107434446
ACH-000014,-0.11126967794597324
ACH-000015,-0.1337124237857811
ACH-000017,-0.3670743597644871
ACH-000018,0.14528849635195304
ACH-000019,-0.06334607817889139
ACH-000021,-0.2601597074494185
ACH-000022,-0.2804100609972217
ACH-000025,-0.011362115256896343
ACH-000028,-0.07066797973043103
ACH-000030,-0.08231769870715193
ACH-000035,0.08940202690665952
ACH-000036,-0.2927665728812577
ACH-000037,-0.11260999356924795
ACH-000039,-0.4338310018622906
ACH-000040,-0.3973294094169468
ACH-000041,-0.1151588990120066
ACH-000042,-0.22672227862027855
ACH-000045,-0.18394809704929485
ACH-000047,-0.2386495566552202
ACH-000052,-0.04200859930617644
ACH-000053,-0.2090873265699143
ACH-000054,-0.26093752757587874
ACH-000055,-0.3796717178673601
ACH-000060,-0.2623419205921371
ACH-000067,-0.17011750200045686
ACH-000070,-0.17545067020743604
ACH-000075,-0.10822503456398758
ACH-000078,-0.4577867055493005
ACH-000082,-0.1151218988905091
ACH-000085,-0.2796833573169076
ACH-000086,-0.1116090886158069
ACH-000087,-0.16136538019439
ACH-000092,-0.311382309080852
ACH-000095,-0.1045624162553381
ACH-000097,-0.20941671756448105
ACH-000098,-0.12597475765286828
ACH-000099,-0.15322558389203192
ACH-000108,-0.3632024921173407
ACH-000113,-0.1727966468657492
ACH-000116,-0.022731805094464638
ACH-000118,-0.18709424159948426
ACH-000120,0.020778538921116297
ACH-000123,-0.3116061480423072
ACH-000127,-0.033122293728927575
ACH-000128,-0.06888934402171859
ACH-000132,-0.08795541609982879
ACH-000133,-0.21258902624331988
ACH-000137,0.03258502292608775
ACH-000138,-0.2864981127246679
ACH-000142,-0.20144503560598956
ACH-000143,-0.32149178390035144
ACH-000146,-0.17119100906218274
ACH-000148,-0.19561498924427004
ACH-000150,-0.5977806899063934
ACH-000152,-0.31527716463496874
ACH-000153,-0.38231315302052543
ACH-000159,-0.0901665482347624
ACH-000160,-0.2908338656528528
ACH-000163,-0.2234749420428426
ACH-000167,-0.00919572952655745
ACH-000168,-0.08180919621234185
ACH-000169,-0.2331628336670737
ACH-000178,-0.34469961463667403
ACH-000183,-0.22677392095082285
ACH-000188,-0.11307685973096175
ACH-000189,-0.3045977098003714
ACH-000190,-0.14848080311355966
ACH-000198,-0.13056802713291868
ACH-000203,-0.22626380804691354
ACH-000204,0.15254249582305338
ACH-000206,-0.183460288619529
ACH-000207,-0.22205089027621
ACH-000208,-0.0784697038938568
ACH-000210,-0.16171841345525145
ACH-000211,-0.20106510500223265
ACH-000215,-0.2136061134183048
ACH-000221,-0.19917897276227653
ACH-000222,-0.3436580029908409
ACH-000223,-0.26660964200348725
ACH-000226,-0.3764775844211721
ACH-000227,-0.2670818908858705
ACH-000228,-0.19907139013058686
ACH-000231,-0.168546044641903
ACH-000232,-0.2766170294205965
ACH-000233,-0.10927834842084842
ACH-000234,-0.5471261642158106
ACH-000235,-0.22874805765602846
ACH-000237,-0.28852068924265023
ACH-000238,-0.2298965148063216
ACH-000242,-0.3249733345830985
ACH-000243,-0.08503617692915738
ACH-000244,-0.2540819195440863
ACH-000246,-0.2939765412441733
ACH-000248,-0.11472387297848845
ACH-000250,-0.31109532946010915
ACH-000251,0.0020362577663189494
ACH-000252,-0.18403500956364705
ACH-000253,-0.0993547146784916
ACH-000255,-0.10941189385854863
ACH-000256,-0.2786492217234943
ACH-000257,-0.10451376809071368
ACH-000258,-0.1276437449014031
ACH-000259,-0.20313555005729775
ACH-000260,-0.20578872916104665
ACH-000261,-0.16216450000472046
ACH-000262,-0.3135607387211956
ACH-000263,-0.2809840458760129
ACH-000264,-0.21849665927272235
ACH-000265,-0.1590128903357827
ACH-000266,-0.2651718320967221
ACH-000272,-0.0769092207578173
ACH-000274,-0.2642164709600312
ACH-000277,-0.3880697247412356
ACH-000278,-0.05279189627843296
ACH-000279,-0.2574829128563189
ACH-000280,-0.3874962015542466
ACH-000281,-0.2585688631715617
ACH-000288,-0.06779292815744829
ACH-000291,-0.18309129508685276
ACH-000293,-0.04370089350061127
ACH-000294,-0.31763661447992064
ACH-000295,-0.5229339504231716
ACH-000296,-0.37402989603762393
ACH-000302,-0.13276039332143802
ACH-000304,-0.0964691545939682
ACH-000307,-0.1833030724578298
ACH-000308,-0.214354036434582
ACH-000310,-0.20515107660820764
ACH-000311,-0.1480765861521336
ACH-000312,-0.13459967633778624
ACH-000315,-0.06395422512551277
ACH-000316,-0.11318190631140936
ACH-000317,-0.19856845832577116
ACH-000318,-0.3278049961998109
ACH-000319,-0.13169525315974168
ACH-000320,-0.05082688029328498
ACH-000322,-0.3997387941132506
ACH-000323,-0.10070464616724344
ACH-000324,-0.14670721599428127
ACH-000329,-0.19493488680353005
ACH-000330,-0.3546549212873011
ACH-000331,-0.1366062878765767
ACH-000332,-0.16315520457538232
ACH-000334,-0.142969841744866
ACH-000335,-0.211545597690748
ACH-000336,-0.30385841038651273
ACH-000337,-0.12923194133167742
ACH-000338,-0.905197212973468
ACH-000339,-0.15843087830349356
ACH-000341,-0.277807433615634
ACH-000348,-0.24890103582694775
ACH-000350,-0.2007624017967576
ACH-000352,-0.22505392413933395
ACH-000356,-0.199709581628863
ACH-000361,-0.21546127586646813
ACH-000362,-0.2961275045427672
ACH-000363,-0.2392448414466
ACH-000364,-0.15390500185515785
