,TAMM41 (132001)
ACH-000004,-1.1356156246978808
ACH-000005,-1.0186645314079377
ACH-000007,-1.274480933224001
ACH-000009,-1.2426543139520083
ACH-000011,-1.0986458926958973
ACH-000012,-0.948599990254497
ACH-000013,-1.068723307991152
ACH-000014,-1.158065501024902
ACH-000015,-1.1528045045604736
ACH-000017,-1.0106624846081758
ACH-000018,-1.296848895576079
ACH-000019,-0.5524189011899389
ACH-000021,-0.7265893388322363
ACH-000022,-1.1741371836586492
ACH-000025,-0.8724046370761669
ACH-000028,-0.9902201831554408
ACH-000030,-1.1636958795560592
ACH-000035,-1.421087396364452
ACH-000036,-0.8109139555117015
ACH-000037,-0.92903764028673
ACH-000039,-0.6293696351282533
ACH-000040,-1.0824524448914556
ACH-000041,-1.187263774512039
ACH-000042,-1.1408743962621812
ACH-000045,-0.8758933114402908
ACH-000047,-0.6832028503864794
ACH-000052,-1.0065870272183104
ACH-000053,-1.0558604865585923
ACH-000054,-0.5744070717659654
ACH-000055,-0.9947380320075072
ACH-000060,-1.1599685245575582
ACH-000067,-1.074088139033665
ACH-000070,-1.0271578509324553
ACH-000075,-0.7416272771807023
ACH-000078,-0.5732166288139678
ACH-000082,-0.42767104770271264
ACH-000085,-1.2439618423165395
ACH-000086,-0.9536301622931179
ACH-000087,-1.172309780597152
ACH-000092,-0.7255596675489392
ACH-000095,-0.5774792325845509
ACH-000097,-0.972346113091884
ACH-000098,-1.125526291054029
ACH-000099,-0.7843018173707464
ACH-000108,-0.9591118972097256
ACH-000113,-0.8832458373631833
ACH-000116,-1.2782739306952169
ACH-000118,-1.1270399212036548
ACH-000120,-0.7403603539841279
ACH-000123,-0.9731311967975971
ACH-000127,-1.126264339931606
ACH-000128,-1.3824938799685198
ACH-000132,-0.8493569810979977
ACH-000133,-1.0101922067731903
ACH-000137,-0.6496915836137198
ACH-000138,-1.3672813538774415
ACH-000142,-0.8657137581676386
ACH-000143,-1.2253422983224893
ACH-000146,-1.227483341393966
ACH-000148,-1.1006106284582218
ACH-000150,-1.2251347567482482
ACH-000152,-1.076253723297662
ACH-000153,-0.9183897303418979
ACH-000159,-0.8450509399809919
ACH-000160,-1.0448762649655396
ACH-000163,-1.3469351863084176
ACH-000167,-1.1508890569795212
ACH-000168,-1.4882936279311758
ACH-000169,-1.030362440584624
ACH-000178,-1.0842140574196897
ACH-000183,-0.9811681379315912
ACH-000188,-1.0580296103354776
ACH-000189,-1.0195565581791717
ACH-000190,-1.1653171169619725
ACH-000198,-0.7901837815909499
ACH-000203,-1.0075451388634298
ACH-000204,-0.7830521252092403
ACH-000206,-1.0198343390699474
ACH-000207,-0.9614904060515596
ACH-000208,-0.8677308914963283
ACH-000210,-1.2044420703549084
ACH-000211,-0.9444968390936646
ACH-000215,-1.1595124134193942
ACH-000221,-1.447337927798395
ACH-000222,-0.9721486566508653
ACH-000223,-0.6846664547951808
ACH-000226,-1.0451174778727483
ACH-000227,-0.9414358275642404
ACH-000228,-1.0587599917563408
ACH-000231,-0.9617833755064036
ACH-000232,-1.0413011220851462
ACH-000233,-1.2566477083760992
ACH-000234,-0.7686675786697998
ACH-000235,-0.9285045069081532
ACH-000237,-0.9112508629501124
ACH-000238,-0.9891431768613704
ACH-000242,-0.5818437081701664
ACH-000243,-1.1864706892647554
ACH-000244,-1.1584302974643037
ACH-000246,-0.8270268374286167
ACH-000248,-1.3650290302402346
ACH-000250,-1.0110031938924555
ACH-000251,-1.0715394921532349
ACH-000252,-0.7932531293294918
ACH-000253,-0.9132120199616937
ACH-000255,-1.121090717223734
ACH-000256,-0.8745512070455294
ACH-000257,-1.3147833505521984
ACH-000258,-0.6499893644477909
ACH-000259,-0.8519911924133218
ACH-000260,-1.0411822830207609
ACH-000261,-0.6600331393674519
ACH-000262,-1.3613623423324022
ACH-000263,-0.6946881309116794
ACH-000264,-0.4858857563917785
ACH-000265,-1.162031389955579
ACH-000266,-0.6960581360139572
ACH-000272,-1.2988708463091074
ACH-000274,-0.7870062206178151
ACH-000277,-0.8401922919576607
ACH-000278,-1.0342905576383101
ACH-000279,-1.161223807547515
ACH-000280,-0.7573772036746954
ACH-000281,-1.1440222042315369
ACH-000288,-0.9645816204573624
ACH-000291,-1.080027969534069
ACH-000293,-0.9319327666899948
ACH-000294,-1.3034357704799704
ACH-000295,-1.0989008036110186
ACH-000296,-1.3344593269129321
ACH-000302,-0.7545686396895126
ACH-000304,-0.9112843259587556
ACH-000307,-1.2263683878948302
ACH-000308,-0.8384783097179922
ACH-000310,-0.4742927852706945
ACH-000311,-0.8053089168068691
ACH-000312,-0.8541975798415792
ACH-000315,-1.3319109039008512
ACH-000316,-1.4764417516424877
ACH-000317,-1.5481987757854854
ACH-000318,-1.5247716809560081
ACH-000319,-0.9168819005198724
ACH-000320,-1.2168069798761627
ACH-000322,-1.1239097357874213
ACH-000323,-1.0067457346017994
ACH-000324,-0.9798956785057972
ACH-000329,-0.9403114812542636
ACH-000330,-0.9077332557032088
ACH-000331,-0.9353531167549984
ACH-000332,-1.3271590810451748
