,NUBPL (80224)
ACH-000004,-0.2132372279911686
ACH-000005,0.060596549956971016
ACH-000007,-0.29802237167498835
ACH-000009,-0.288351713846509
ACH-000011,0.0330780405156577
ACH-000012,-0.3951870282757605
ACH-000013,-0.5056117202812381
ACH-000014,-0.19043705676072667
ACH-000015,-0.16134855402558065
ACH-000017,-0.1644435760259476
ACH-000018,-0.09945473230336303
ACH-000019,-0.0995189099914964
ACH-000021,-0.251072069513478
ACH-000022,-0.17883025946893866
ACH-000025,-0.2570022428121824
ACH-000028,-0.32858351529504315
ACH-000030,-0.17361595136495636
ACH-000035,-0.15409953617044664
ACH-000036,-0.03902404074511978
ACH-000037,-0.3493435469879313
ACH-000039,-0.1084127566658347
ACH-000040,-0.3490274600719536
ACH-000041,-0.21065337510721274
ACH-000042,-0.16273564949279545
ACH-000045,-0.4021871296146167
ACH-000047,-0.3657020314323159
ACH-000052,-0.31008235656645466
ACH-000053,-0.2640837555060777
ACH-000054,-0.1355377591772642
ACH-000055,-0.12219945205726675
ACH-000060,-0.2765927223754125
ACH-000067,-0.2045657769469138
ACH-000070,-0.2334691822011205
ACH-000075,-0.2690014515321935
ACH-000078,-0.11183047445204937
ACH-000082,-0.23904479869918016
ACH-000085,-0.3810516001490196
ACH-000086,-0.42311793936977865
ACH-000087,-0.3495514634861926
ACH-000092,-0.2700056449193258
ACH-000095,-0.08868118527346464
ACH-000097,-0.14900087848129606
ACH-000098,-0.31448371256275875
ACH-000099,-0.23762463960206184
ACH-000108,-0.1823873339943604
ACH-000113,-0.04898982789235213
ACH-000116,-0.27015523507348466
ACH-000118,-0.6197501697776886
ACH-000120,-0.3661562146508743
ACH-000123,-0.2380056746271112
ACH-000127,-0.22193863703385794
ACH-000128,-0.29991444417693386
ACH-000132,-0.1195348031052405
ACH-000133,-0.1555405191460668
ACH-000137,-0.16178192484583334
ACH-000138,-0.3290571608245695
ACH-000142,-0.2208649040009397
ACH-000143,-0.28997239961594995
ACH-000146,-0.10039062483149712
ACH-000148,-0.3692148609587158
ACH-000150,-0.07911714846698713
ACH-000152,-0.33739636744896595
ACH-000153,-0.4991931235371386
ACH-000159,-0.34961437248689475
ACH-000160,-0.4856896359400064
ACH-000163,-0.284353839541264
ACH-000167,-0.015941726964309174
ACH-000168,-0.2455348216626113
ACH-000169,-0.4494469936498207
ACH-000178,-0.08013763128655836
ACH-000183,-0.15514703390181275
ACH-000188,-0.03629953407408485
ACH-000189,-0.5447194033726598
ACH-000190,-0.4455830992465066
ACH-000198,-0.5454351294748989
ACH-000203,-0.07823503223435284
ACH-000204,-0.33679333353743984
ACH-000206,0.015124926347341024
ACH-000207,-0.5359626196711752
