,LTV1 (84946)
ACH-000004,-0.6402488393742422
ACH-000005,-0.5307776868628137
ACH-000007,-0.6013178208997653
ACH-000009,-0.5326665533554433
ACH-000011,-0.8537215809072816
ACH-000012,-0.5986412540167654
ACH-000013,-0.5964863841942993
ACH-000014,-0.7193622407112394
ACH-000015,-0.5219898948865423
ACH-000017,-0.6283035541135009
ACH-000018,-0.6313539415707868
ACH-000019,-0.6133585462905979
ACH-000021,-0.7803466507212828
ACH-000022,-0.6157224640922828
ACH-000025,-0.5235731009441438
ACH-000028,-0.6382528295641938
ACH-000030,-0.5947505876191437
ACH-000035,-0.4853861126206804
ACH-000036,-0.7843390107058814
ACH-000037,-0.6853768519568038
ACH-000039,-0.5294855496720021
ACH-000040,-0.7273796837660458
ACH-000041,-0.5493696748272398
ACH-000042,-0.5962259362430145
ACH-000045,-0.6951615073963214
ACH-000047,-0.7869862520730787
ACH-000052,-0.4506063883329169
ACH-000053,-0.7889953252010146
ACH-000054,-0.8701954694552759
ACH-000055,-0.6038066931886041
ACH-000060,-0.6930800384760429
ACH-000067,-0.4918251550065456
ACH-000070,-0.7668619291967236
ACH-000075,-0.8501023378548083
ACH-000078,-0.6866609864080272
ACH-000082,-0.978176470144417
ACH-000085,-0.7935775054803128
ACH-000086,-0.5323780979296745
ACH-000087,-0.7890610870607085
ACH-000092,-0.6708989720998033
ACH-000095,-0.6680647198769397
ACH-000097,-0.7787033834855907
ACH-000098,-0.6823610670892014
ACH-000099,-0.4911642351249509
ACH-000108,-0.8028662107894453
ACH-000113,-0.6001399803416241
ACH-000116,-0.6116122830010724
ACH-000118,-0.6911127490181136
ACH-000120,-0.7186700913765949
ACH-000123,-0.6180867963083555
ACH-000127,-0.8239414218277447
ACH-000128,-0.5628010233223809
ACH-000132,-0.8079745323494392
ACH-000133,-0.5151108055141981
ACH-000137,-0.7441373405006134
ACH-000138,-0.6995930385594986
ACH-000142,-0.6182193680864063
ACH-000143,-0.8042795471309847
ACH-000146,-0.620356652033979
ACH-000148,-0.7468779375239956
ACH-000150,-0.5404299086191741
ACH-000152,-0.5111672031981699
ACH-000153,-0.749375682071342
ACH-000159,-0.5569404974537177
ACH-000160,-0.8155850816814731
ACH-000163,-0.6070874193040985
ACH-000167,-1.2483653226562277
ACH-000168,-0.6393102633253303
ACH-000169,-0.6325122398387101
ACH-000178,-0.5895092481961489
ACH-000183,-0.7752271616537773
ACH-000188,-0.7007166209429528
ACH-000189,-0.456701371096199
ACH-000190,-0.7751038266707835
ACH-000198,-0.7178630938873103
ACH-000203,-0.5277953048173035
ACH-000204,-0.6540672819133808
ACH-000206,-0.5629213109347755
ACH-000207,-0.6183613972967031
ACH-000208,-0.7340545043508625
ACH-000210,-0.3928090528191576
ACH-000211,-0.5605364698752197
ACH-000215,-0.7347026575527222
ACH-000221,-0.6214626162149928
ACH-000222,-0.7249208104616862
ACH-000223,-0.7523049900501654
ACH-000226,-0.7984616270140802
ACH-000227,-0.6662513085284751
ACH-000228,-0.6061389999071767
ACH-000231,-0.8226688497612836
ACH-000232,-0.6738266524543273
ACH-000233,-0.7057249919033749
ACH-000234,-0.6483966299658819
ACH-000235,-0.7777984230352906
ACH-000237,-0.648402837877376
ACH-000238,-0.7121962548513988
ACH-000242,-0.9478341382260176
ACH-000243,-0.7067181361725029
ACH-000244,-0.9182044912432192
ACH-000246,-0.6894546658483376
ACH-000248,-0.6430848636556298
ACH-000250,-0.6767462100186398
ACH-000251,-0.7165613858954126
ACH-000252,-0.6093120519525199
ACH-000253,-0.7922167351808111
ACH-000255,-0.7012982215049121
ACH-000256,-0.7475566058168873
ACH-000257,-0.575679984912728
ACH-000258,-0.9391440962529948
ACH-000259,-0.6160462880084515
ACH-000260,-0.8218208796481923
ACH-000261,-0.7322488082193596
ACH-000262,-0.6224289829928196
ACH-000263,-0.5961825819215367
ACH-000264,-0.8053823069287628
ACH-000265,-0.4987300708438944
ACH-000266,-0.6544057483804695
ACH-000272,-0.6447630097940644
ACH-000274,-0.7242233278670327
ACH-000277,-0.776741250199352
ACH-000278,-0.7187046470163735
ACH-000279,-0.7768408733157798
ACH-000280,-0.6940508570932694
ACH-000281,-0.8482075636193137
ACH-000288,-0.7214450590722686
ACH-000291,-0.6939246826856683
ACH-000293,-0.7359816235579308
ACH-000294,-0.5374329821314547
ACH-000295,-0.7758249670562588
ACH-000296,-0.6688642539857912
ACH-000302,-0.4882374309118709
ACH-000304,-0.3978206791965619
ACH-000307,-0.8115449598436094
ACH-000308,-0.7604311370934378
ACH-000310,-0.7529082850591663
ACH-000311,-0.6907650887390323
ACH-000312,-0.6933277124328447
ACH-000315,-0.7785337140253057
ACH-000316,-0.5759846738314183
ACH-000317,-1.0348342946108482
ACH-000318,-0.7197254538364549
ACH-000319,-0.5512611101399006
ACH-000320,-0.7642437103300563
ACH-000322,-0.5580463462279073
ACH-000323,-0.7620340536247885
ACH-000324,-0.5571381286570504
ACH-000329,-0.746031235235172
ACH-000330,-0.642854204502462
ACH-000331,-0.8427974769609046
ACH-000332,-0.7236128830054143
ACH-000334,-1.0269502201758154
ACH-000335,-0.7092435674831227
ACH-000336,-0.6847304019973187
ACH-000337,-0.6344773944808897
ACH-000338,-0.8424393062884104
ACH-000339,-0.7157207325843451
ACH-000341,-0.7000272447715115
ACH-000348,-0.5321740833045914
ACH-000350,-0.7463071384335891
ACH-000352,-0.6807008543657285
ACH-000356,-0.4842019023228437
ACH-000361,-0.7707448600681511
ACH-000362,-0.5068938824949776
ACH-000363,-0.8965127124303457
ACH-000364,-0.7205391919833878
ACH-000365,-0.6400575399492743
ACH-000366,-0.620326170499326
ACH-000368,-0.6351329796284714
ACH-000374,-0.5067146074725173
ACH-000375,-0.6800385314295789
ACH-000376,-0.7355687149103906
ACH-000381,-0.503579986592874
ACH-000383,-0.5359784473027872
ACH-000387,-0.6917681460893647
ACH-000389,-0.9804064678306924
ACH-000390,-0.8029975587234041
ACH-000393,-0.7966076383004751
ACH-000395,-0.4724472941856882
ACH-000396,-0.7129077112892788
ACH-000397,-0.739261219085617
ACH-000401,-0.8065025422252613
ACH-000402,-0.5552740921235874
ACH-000403,-0.6144696351080092
ACH-000404,-0.5607080149590405
ACH-000406,-0.6689608925965927
ACH-000407,-0.7586051809422403
ACH-000408,-0.6440153468843194
ACH-000410,-0.7880244327738283
ACH-000411,-0.6017821480211125
ACH-000414,-0.7465414875815521
ACH-000415,-0.7193308956601075
ACH-000416,-0.7001668698246432
ACH-000420,-0.6002292243964956
ACH-000421,-0.6170846920269487
ACH-000424,-0.8342098982024466
ACH-000425,-0.7239285380253325
ACH-000426,-0.6302085219527005
ACH-000427,-0.7942770467298473
ACH-000433,-0.7090615211910273
ACH-000435,-0.5199346159398247
ACH-000436,-0.6567084752842056
ACH-000444,-0.5923152058220585
ACH-000445,-1.023992912918286
ACH-000448,-0.7255921148862619
ACH-000450,-0.592878781911612
ACH-000452,-0.6260513160969371
ACH-000454,-0.4536824401639107
ACH-000458,-0.6740285088106801
ACH-000459,-0.15095003906757984
ACH-000460,-0.5906590357732723
ACH-000461,-0.8884904164259684
ACH-000463,-0.7190544925940554
ACH-000464,-0.7557654627626678
ACH-000466,-0.922066026905028
ACH-000467,-0.53563600708895
ACH-000468,-0.5888235340834647
ACH-000469,-0.5602878598543695
ACH-000470,-0.5291620200555273
ACH-000471,-0.6982384454407715
ACH-000472,-0.6219691422491561
ACH-000473,-0.7243520111372502
ACH-000475,-0.7258654669663251
ACH-000476,-0.730014334486965
ACH-000477,-0.5792764182301711
ACH-000479,-0.6089704865649129
ACH-000480,-0.5710772513825837
ACH-000481,-0.6233894549956106
ACH-000483,-0.32173052006855796
ACH-000484,-0.6559456993123148
ACH-000485,-0.7199995290436331
ACH-000486,-0.6388011945926845
ACH-000487,-0.4921024001376759
ACH-000488,-0.5241178599733433
ACH-000490,-0.6343553724692539
ACH-000491,-0.5983829122016847
ACH-000495,-0.7057801141897388
ACH-000496,-0.7816258308401838
ACH-000499,-0.4362044183293778
ACH-000500,-0.8255517411316758
ACH-000502,-0.6473122074945773
ACH-000503,-0.6936924176305339
ACH-000505,-0.6494558540699964
ACH-000507,-0.6396977045046446
ACH-000510,-0.4896246056629676
ACH-000511,-0.5649765585662889
ACH-000512,-0.6842923685094495
ACH-000516,-0.8411934017567522
ACH-000517,-0.6970264626360682
ACH-000518,-0.7307067055847803
ACH-000520,-0.7071520452655966
ACH-000521,-0.643564497541974
ACH-000522,-0.6609224969450501
ACH-000524,-0.6595391702164964
ACH-000527,-0.7232812386132649
ACH-000528,-0.6449447959327987
ACH-000537,-0.6708205296470501
ACH-000541,-0.4625685084407556
ACH-000542,-0.5689490133613657
ACH-000544,-0.590578299694573
ACH-000545,-0.7074509045443602
ACH-000547,-0.825115051523604
ACH-000548,-0.5787234152901259
ACH-000549,-0.6705391494466371
ACH-000550,-0.8214153612272003
ACH-000552,-0.5481408069429545
ACH-000556,-0.5063923121603121
ACH-000557,-0.7677229495414385
ACH-000569,-0.7168702845248528
ACH-000570,-0.6623615382416366
ACH-000571,-0.7627964508749759
ACH-000573,-0.7251318875750855
ACH-000576,-0.7132056452144909
ACH-000579,-0.8768457827270258
ACH-000580,-0.6686793214630175
ACH-000584,-0.6187751851755748
ACH-000585,-0.7609745142828456
ACH-000588,-0.7379585726957075
ACH-000589,-0.6008968449388548
ACH-000591,-0.7068438109710871
ACH-000593,-0.7326161838185142
ACH-000600,-0.7172808084419223
ACH-000601,-0.5676712554376748
ACH-000605,-0.8938453415122085
ACH-000606,-0.5402046395966894
ACH-000608,-0.5912143534047294
ACH-000614,-0.6637984114943544
ACH-000616,-0.5321312514853268
ACH-000618,-0.7201384077044751
ACH-000619,-0.7656308441801285
ACH-000620,-0.5642364713429936
ACH-000621,-0.6344569660546301
ACH-000622,-0.7445633240308362
ACH-000623,-0.77525121385465
ACH-000624,-0.6583804319140579
ACH-000627,-0.6231150627360884
ACH-000630,-0.5559744284115159
ACH-000631,-0.6929356917750759
