,MGAT4C (25834)
ACH-000004,0.16776539701681922
ACH-000005,-0.1787289631268682
ACH-000007,0.08044444173801893
ACH-000009,0.05851748175756929
ACH-000011,0.012474083617637157
ACH-000012,0.043858962818009085
ACH-000013,0.012585673085090772
ACH-000014,0.058279867093277926
ACH-000015,-0.016272498626418254
ACH-000017,-0.050105335215318285
ACH-000018,-0.12010195544446475
ACH-000019,0.03397005391425746
ACH-000021,-0.012540550693031605
ACH-000022,0.014796980948011318
ACH-000025,-0.1972484483841124
ACH-000028,0.05204068649777115
ACH-000030,0.08293050635243555
ACH-000035,-0.07305368031749856
ACH-000036,-0.0864070303154419
ACH-000037,-0.06836690431277759
ACH-000039,0.0033765663289264786
ACH-000040,0.10313577986305206
ACH-000041,0.05145601708019716
ACH-000042,-0.118011927719764
ACH-000045,0.04941419564328204
ACH-000047,-0.024257779948519444
ACH-000052,0.04105512390075475
ACH-000053,0.07534772931136527
ACH-000054,-0.08442486721039401
ACH-000055,0.19817557377917971
ACH-000060,-0.059371796697970325
ACH-000067,0.027463537280302482
ACH-000070,0.10656460090387776
ACH-000075,0.04574561902131777
ACH-000078,-0.11290918003356575
ACH-000082,-0.01617010112588478
ACH-000085,-0.08723293987443645
ACH-000086,0.030332425830550687
ACH-000087,-0.07635586586161625
ACH-000092,0.032582507485599536
ACH-000095,0.004813506112156276
ACH-000097,-0.0004320357171183328
ACH-000098,0.06121824528710254
ACH-000099,0.08824458928699783
ACH-000108,0.10340923673100064
ACH-000113,-0.09660778682147587
ACH-000116,-0.031600846290220835
ACH-000118,0.05307808437957754
ACH-000120,0.2094200489788533
ACH-000123,0.0887928947823859
ACH-000127,0.049854878012640116
ACH-000128,0.13131683219710774
ACH-000132,0.1642491370356469
ACH-000133,0.04456769669379133
ACH-000137,0.10668581223063316
ACH-000138,0.16173066995631566
ACH-000142,0.006876430224620675
ACH-000143,-0.16970760155939335
ACH-000146,0.07199437921399207
ACH-000148,0.015364481276724212
ACH-000150,0.0586867142518178
ACH-000152,-0.08122510374278642
ACH-000153,0.2778359104785699
ACH-000159,0.11697367344848525
ACH-000160,-0.020704832423245268
ACH-000163,0.09951283653569608
ACH-000167,0.04239123111968384
ACH-000168,0.11884731921066495
ACH-000169,-0.03259169822039465
ACH-000178,0.07385810049530081
ACH-000183,0.017274714586997968
ACH-000188,0.004508019179682882
ACH-000189,-0.01710912089141708
ACH-000190,0.05685134198467946
ACH-000198,-0.009819944277989904
ACH-000203,0.11209699346009376
ACH-000204,-0.12984944609966936
ACH-000206,-0.03498210675289001
ACH-000207,0.06406102705050372
ACH-000208,0.10836277432082253
ACH-000210,0.0030491546545422786
