,POLR2K (5440)
ACH-000004,-1.1302307051689515
ACH-000005,-0.8985316338200665
ACH-000007,-1.1286018944106713
ACH-000009,-0.894671446543269
ACH-000011,-0.8458013515513363
ACH-000012,-0.9855468167115059
ACH-000013,-1.0914279164656109
ACH-000014,-0.9961285586508468
ACH-000015,-0.7893426826084972
ACH-000017,-1.0673624338416363
ACH-000018,-0.7368235361034959
ACH-000019,-0.7496369849168694
ACH-000021,-0.902372525129722
ACH-000022,-0.9966475194549812
ACH-000025,-0.7349142419309613
ACH-000028,-0.7639322374434049
ACH-000030,-0.9044781188130092
ACH-000035,-0.8733896148979726
ACH-000036,-0.9795092972447283
ACH-000037,-0.43133205790287343
ACH-000039,-0.7006105006471258
ACH-000040,-0.8651941525480038
ACH-000041,-0.9273353775964572
ACH-000042,-0.7849981290562282
ACH-000045,-0.8280952274900955
ACH-000047,-0.8429560039349323
ACH-000052,-1.103246363370666
ACH-000053,-1.0090328026021662
ACH-000054,-0.9694385023654803
ACH-000055,-0.9202955184041464
ACH-000060,-0.8832582947106752
ACH-000067,-0.8694948040740792
ACH-000070,-0.921618638378408
ACH-000075,-1.058866020283706
ACH-000078,-0.9673652581432534
ACH-000082,-0.9771948176464708
ACH-000085,-0.9289440829390886
ACH-000086,-0.9733216657028946
ACH-000087,-1.0020446386450836
ACH-000092,-1.0017533867247772
ACH-000095,-0.8635898810512844
ACH-000097,-1.0101520334367748
ACH-000098,-0.8353781034049433
ACH-000099,-1.005881165911012
ACH-000108,-1.046822360478919
ACH-000113,-0.8656314839880835
ACH-000116,-0.9559854130369724
ACH-000118,-0.8712410678249605
ACH-000120,-1.0816739541055274
ACH-000123,-0.8489666767355855
ACH-000127,-0.9693034729642585
ACH-000128,-0.8086274862073253
ACH-000132,-1.082569622802458
ACH-000133,-0.9641236591035762
ACH-000137,-0.8584213309103726
ACH-000138,-0.8251539379503862
ACH-000142,-0.7807747241525888
ACH-000143,-1.0392359703277958
ACH-000146,-1.0937629955838406
ACH-000148,-0.8179562324215717
ACH-000150,-1.0317306653934508
ACH-000152,-0.6755061644262268
ACH-000153,-1.1580672684566709
ACH-000159,-0.9840382785108841
ACH-000160,-0.6031601699623719
ACH-000163,-0.8871423975862714
ACH-000167,-0.6659154457351402
ACH-000168,-0.8390696978508914
ACH-000169,-0.9415058763690641
ACH-000178,-0.9648110828035646
ACH-000183,-0.8774057649504537
ACH-000188,-0.7570221520918439
ACH-000189,-1.0009199936867266
ACH-000190,-0.4402222769218532
ACH-000198,-0.8809115338087693
ACH-000203,-1.238857750336013
ACH-000204,-0.8836994107899148
ACH-000206,-0.8655214601144472
ACH-000207,-0.8481366149170539
ACH-000208,-0.9711895020566009
ACH-000210,-1.1470799899117463
ACH-000211,-0.9340956306959342
ACH-000215,-0.7756592025949935
ACH-000221,-1.2370705038230632
ACH-000222,-1.0264687366777343
ACH-000223,-1.0787574376200688
ACH-000226,-1.0278617062737214
ACH-000227,-1.0696216785540311
ACH-000228,-0.7081753492135183
ACH-000231,-1.042216341297734
ACH-000232,-1.040074405837519
ACH-000233,-0.9047588903896064
ACH-000234,-1.0740672253964658
ACH-000235,-0.9166694603745356
ACH-000237,-0.7512943731249618
ACH-000238,-0.7989700418305045
ACH-000242,-0.9898689263119798
ACH-000243,-1.0143112164516668
ACH-000244,-0.9021992052750224
ACH-000246,-0.9381964176417152
ACH-000248,-1.0370010202893265
ACH-000250,-0.9152442539071448
ACH-000251,-1.0508444145769749
ACH-000252,-0.6919118436856729
ACH-000253,-0.8972360810758503
ACH-000255,-0.9078432468972958
ACH-000256,-1.0529317247135077
ACH-000257,-1.04568776685858
ACH-000258,-0.8642518106931959
ACH-000259,-0.9535606156176436
ACH-000260,-0.980982474708326
ACH-000261,-0.8247374949718373
ACH-000262,-0.8436131792092307
