,SMARCE1 (6605)
ACH-000004,-0.7656357021629481
ACH-000005,-0.4998982763384534
ACH-000007,-0.9268539031813252
ACH-000009,-0.29110971456887835
ACH-000011,-0.6425629990059771
ACH-000012,-0.549637527446785
ACH-000013,-0.9989394291085996
ACH-000014,-0.3717403441587469
ACH-000015,-0.13859786267952806
ACH-000017,-0.907670310856486
ACH-000018,-0.5155588408086528
ACH-000019,-0.5230945828557021
ACH-000021,-0.43399384788141415
ACH-000022,-0.5965734098005109
ACH-000025,-0.5336812081279351
ACH-000028,-0.7504218589723167
ACH-000030,-0.5830288075042527
ACH-000035,-0.8207000482565581
ACH-000036,-0.6307292535869982
ACH-000037,-0.5470788630581189
ACH-000039,-0.569114693602068
ACH-000040,-0.3767899000225095
ACH-000041,-0.28744602325687163
ACH-000042,-0.30847269689405793
ACH-000045,-0.6379175888615791
ACH-000047,-0.08646735708014804
ACH-000052,-0.413229370343808
ACH-000053,-0.7507946491017913
ACH-000054,-0.5523575734383075
ACH-000055,-0.4007639567124474
ACH-000060,-0.5236723693745793
ACH-000067,-0.5772832231808317
ACH-000070,-0.6019329566802978
ACH-000075,-0.5580859146343221
ACH-000078,-0.6383639670554601
ACH-000082,-0.2331764799890261
ACH-000085,-0.8596751000753751
ACH-000086,-0.7111932032204518
ACH-000087,-0.8610396287275308
ACH-000092,-0.5465599131651535
ACH-000095,-0.4928000252135611
ACH-000097,-0.7890541192818802
ACH-000098,-0.5102445968437068
ACH-000099,-0.5199230454822368
ACH-000108,-0.8483322153865167
ACH-000113,-0.4765322966855182
ACH-000116,-0.780054641422448
ACH-000118,-0.3633009595788957
ACH-000120,-0.5806491931791085
ACH-000123,-0.12537629431279407
ACH-000127,-0.5329876077324354
ACH-000128,-0.2743761049568296
ACH-000132,-0.4391307119881998
ACH-000133,-0.6674835473989034
ACH-000137,-0.2535288838675209
ACH-000138,-0.5102521987277976
ACH-000142,-0.6364950262616301
ACH-000143,-0.7807696745884037
ACH-000146,-0.7553460615228141
ACH-000148,-0.18433816959333466
ACH-000150,-0.7670891774099938
ACH-000152,-0.012766547853542065
ACH-000153,-0.7510365861540486
ACH-000159,-0.7286367716243813
ACH-000160,-0.21161967833638345
ACH-000163,-0.501667358797382
ACH-000167,-0.07487109276593991
ACH-000168,-0.6603960736479509
ACH-000169,-0.8007482277616674
ACH-000178,-0.6226218637981221
ACH-000183,-0.9063617401628734
ACH-000188,-0.7774210912332952
ACH-000189,-0.6715607662356915
ACH-000190,0.09276865359284152
ACH-000198,-0.7608317139613602
ACH-000203,-1.2154136126178368
ACH-000204,-0.7020967626961014
ACH-000206,-0.6489051305312723
ACH-000207,-0.8168026393417349
ACH-000208,-0.6962541674467083
ACH-000210,-0.6687041698096232
ACH-000211,-0.2987579761320757
ACH-000215,-0.1843342637147606
ACH-000221,-0.3489492759272237
ACH-000222,-0.5965894624050552
ACH-000223,-0.5923399349519111
ACH-000226,-0.6565958618213454
ACH-000227,-0.7970108985452549
ACH-000228,-0.2900895035353271
ACH-000231,-0.1828959537988723
ACH-000232,-0.4911584086349503
ACH-000233,-0.479598935457221
ACH-000234,-0.16852478517009667
ACH-000235,-0.2719534309739259
ACH-000237,-0.4174999049134808
ACH-000238,-0.6954798696419899
ACH-000242,-0.5752065658172991
ACH-000243,-0.7446693043793902
ACH-000244,-0.6828476760639745
ACH-000246,-0.6430875197290593
ACH-000248,-0.4601066292658192
ACH-000250,-0.4666057837689332
ACH-000251,-0.4371379024865856
ACH-000252,-0.3544724174252349
ACH-000253,-0.3598057365740454
ACH-000255,-0.6847546099014091
ACH-000256,-0.3443515268575443
ACH-000257,-0.7215763007097655
ACH-000258,-0.9964562351553612
ACH-000259,-0.6767031774570439
ACH-000260,-0.6169495110781222
ACH-000261,-0.4180007978930004
ACH-000262,-0.3662876884579881
ACH-000263,-0.6071047624935723
ACH-000264,-0.7511902871631823
ACH-000265,-0.4918969299621608
ACH-000266,-0.6416542238434748
ACH-000272,-0.0038319593701554295
ACH-000274,-0.5505347541690907
ACH-000277,-0.7908391135651786
ACH-000278,-0.8515757387895875
ACH-000279,-0.5385659443206201
ACH-000280,-0.06698450455092922
ACH-000281,-0.4086985718567912
ACH-000288,-0.15881528777451806
ACH-000291,-0.5260951397949583
ACH-000293,-0.7565948432976983
ACH-000294,-1.0815563701059143
ACH-000295,-0.2818855007445161
ACH-000296,-0.5902253222581499
ACH-000302,-0.4838277026604313
ACH-000304,-0.6705528350103335
ACH-000307,-0.4057282536595595
ACH-000308,0.024494392428189998
ACH-000310,-0.6211334993842935
ACH-000311,-0.34025847817933197
ACH-000312,-0.6250547960391498
ACH-000315,-1.0830820838358557
ACH-000316,-0.5232878292544371
ACH-000317,-0.7425599352692572
ACH-000318,-0.1488606781799606
ACH-000319,-0.5318816948406455
ACH-000320,-0.4658455284907782
ACH-000322,-0.6999462219542251
ACH-000323,-0.6674248189755371
ACH-000324,-0.5271244649093347
ACH-000329,-0.6609823348040079
ACH-000330,-1.0623831525526974
ACH-000331,-0.7120985910570178
ACH-000332,-0.3737670011869609
ACH-000334,-0.5712601767258801
ACH-000335,-0.3501916346221394
ACH-000336,-0.6978179366982955
ACH-000337,-0.8388024492718028
ACH-000338,-0.495161514310568
ACH-000339,-0.7107143465810427
ACH-000341,-0.3638517801938596
ACH-000348,-0.5879589257102773
ACH-000350,-0.5215657615038619
ACH-000352,-0.7977787939262939
ACH-000356,-0.4727924293594264
ACH-000361,-0.5173910366359672
ACH-000362,-0.6524653811167089
ACH-000363,-0.6590486615301681
ACH-000364,-0.42289825988672
ACH-000365,-0.6772059075060023
ACH-000366,-0.599555533479528
ACH-000368,-0.7351782280375616
ACH-000374,-0.7588912434567292
ACH-000375,-0.04450008415657559
ACH-000376,-0.5524389789904027
ACH-000381,-0.664198778963819
ACH-000383,-0.6594541643842563
ACH-000387,-0.8982105589631862
ACH-000389,-0.5497742736220229
ACH-000390,-0.4734785464669684
ACH-000393,-0.5842950959355259
ACH-000395,-0.5662140892773574
ACH-000396,-0.4163143827150935
ACH-000397,-0.4787638187587176
ACH-000401,-0.7711517335845864
ACH-000402,-0.3710349335619871
ACH-000403,-0.324723027880245
ACH-000404,-0.5472753629732932
ACH-000406,-0.919397655105383
ACH-000407,-0.4715229585881892
ACH-000408,-0.5150300653539744
ACH-000410,-0.5325429505473215
ACH-000411,-0.7156596071747825
ACH-000414,-0.459234889146571
ACH-000415,-0.8586542320594301
ACH-000416,-0.4266101084025326
ACH-000420,-0.2753661053054498
ACH-000421,-0.5761445679641767
ACH-000424,-0.3608882036643132
ACH-000425,-0.5460968404546118
ACH-000426,-0.5248170716107213
ACH-000427,-0.3312430124179461
ACH-000433,-0.02933435992560275
ACH-000435,-0.7826618580017792
ACH-000436,-0.520661712682154
ACH-000444,-0.7204179729185719
ACH-000445,-0.4570958312034693
ACH-000448,-0.5594146627859643
ACH-000450,-0.7116838799612261
ACH-000452,-0.6450314990145738
ACH-000454,-0.5788230104222318
ACH-000458,-0.8181261949852078
ACH-000459,-0.4589920194789047
ACH-000460,-0.5928590833924063
ACH-000461,-0.4005422030934065
ACH-000463,-0.3239190464459017
ACH-000464,-0.2925359350926712
ACH-000466,-0.7438053044536204
ACH-000467,-0.7511312943939752
ACH-000468,-0.5090833308758536
