,PTRHD1 (391356)
ACH-000004,-0.01242767155119342
ACH-000005,0.1395732293755063
ACH-000007,-0.14589267139374976
ACH-000009,-0.2251448455640488
ACH-000011,-0.03447451940584995
ACH-000012,-0.18348545269234712
ACH-000013,-0.07533874403002168
ACH-000014,-0.06550321983320333
ACH-000015,-0.050807688591496786
ACH-000017,-0.08364793513111722
ACH-000018,-0.19189169755781274
ACH-000019,-0.21266246505247735
ACH-000021,-0.19339898952230591
ACH-000022,-0.2501881356486021
ACH-000025,-0.05167264193586157
ACH-000028,-0.07178467051987401
ACH-000030,-0.013982464646390262
ACH-000035,-0.09443550413065907
ACH-000036,-0.07346946586718081
ACH-000037,-0.11218467649136354
ACH-000039,-0.10871943418723523
ACH-000040,-0.1435204159881815
ACH-000041,-0.19016422985626766
ACH-000042,-0.05081562391927963
ACH-000045,0.09795169931443844
ACH-000047,-0.14240325766515105
ACH-000052,-0.14984521701136605
ACH-000053,-0.05142383944270509
ACH-000054,-0.2033213062167804
ACH-000055,-0.0131609976364545
ACH-000060,-0.09079402055433168
ACH-000067,-0.09904993339848052
ACH-000070,-0.12714126610632284
ACH-000075,-0.21070547704287035
ACH-000078,-0.19819287213219086
ACH-000082,-0.1491330778184109
ACH-000085,-0.2126562018795917
ACH-000086,-0.19422930471581856
ACH-000087,-0.19668685063698485
ACH-000092,-0.15671723959644815
ACH-000095,-0.0508149542232371
ACH-000097,0.00813345502759483
ACH-000098,-0.14739064123356282
ACH-000099,-0.037445869669311384
ACH-000108,-0.2388153907218579
ACH-000113,-0.06078917466882131
ACH-000116,-0.14256070608474206
ACH-000118,-0.11814050000889187
ACH-000120,-0.12526044737255726
ACH-000123,0.028165485039918708
ACH-000127,-0.18309098882135125
ACH-000128,-0.015286182572882697
ACH-000132,-0.055309340791861616
ACH-000133,-0.19785796081682566
ACH-000137,-0.08735307199336502
ACH-000138,-0.10810904446830964
ACH-000142,-0.0008779346435615282
ACH-000143,-0.1511258422386369
ACH-000146,0.011297829236911116
ACH-000148,-0.12300686055622367
ACH-000150,0.021680386162006075
ACH-000152,-0.16768424680598495
ACH-000153,-0.002440658126631881
ACH-000159,-0.22503588866741145
ACH-000160,-0.09851406187503016
ACH-000163,-0.19621864940416367
ACH-000167,0.07439487626961258
ACH-000168,-0.09652587802551724
ACH-000169,-0.1733043814374911
ACH-000178,-0.15025959436010827
ACH-000183,0.0016792270600948984
ACH-000188,-0.027033389738028837
ACH-000189,0.12243253056724912
ACH-000190,0.018980398275288968
ACH-000198,-0.07802723370903991
ACH-000203,-0.4141602241365685
ACH-000204,-0.1930966699377396
ACH-000206,0.2506606677037125
ACH-000207,-0.08687553502128602
ACH-000208,-0.18484231998862088
ACH-000210,0.1968025147177491
ACH-000211,-0.07373691259572697
ACH-000215,-0.1677577252312975
ACH-000221,0.18207643254235656
ACH-000222,-0.07375370746671113
ACH-000223,-0.024211643315665284
ACH-000226,-0.01285616173086143
ACH-000227,-0.20673288082806385
ACH-000228,-0.015926962970017028
ACH-000231,-0.21163235628917312
ACH-000232,-0.014515271777500869
ACH-000233,-0.1185526368730464
ACH-000234,-0.08684909093731913
ACH-000235,-0.07773061828145034
ACH-000237,-0.1369354621966526
ACH-000238,-0.31997717771043505
ACH-000242,-0.2348664139455436
ACH-000243,-0.3271977516440853
ACH-000244,-0.4439588299877416
ACH-000246,-0.08842285106152435
ACH-000248,0.1045517445364956
ACH-000250,-0.11795061153552992
ACH-000251,-0.048238282617887436
ACH-000252,-0.2611014660572047
ACH-000253,-0.1577217558958086
ACH-000255,-0.06749346372657017
ACH-000256,-0.08240601728820411
ACH-000257,0.0708941585519674
ACH-000258,-0.07872433283621944
ACH-000259,-0.08431362980944428
ACH-000260,-0.09459934024687533
ACH-000261,-0.01809185102660604
ACH-000262,-0.12427046934648515
