,JMY (133746)
ACH-000004,-0.2402490339514914
ACH-000005,-0.3379408140491157
ACH-000007,-0.0993464950972716
ACH-000009,-0.2003398880227228
ACH-000011,-0.2990205424936329
ACH-000012,-0.19201655787082506
ACH-000013,-0.19455217501730046
ACH-000014,-0.27408504373967385
ACH-000015,-0.2500629597799445
ACH-000017,-0.16225608817374426
ACH-000018,-0.17470888975522486
ACH-000019,-0.21552760573548627
ACH-000021,-0.2829868246831403
ACH-000022,-0.12034408531115255
ACH-000025,-0.2764706345658862
ACH-000028,-0.042872044714839935
ACH-000030,-0.1810453516544008
ACH-000035,-0.04629852759963393
ACH-000036,-0.3276657493239237
ACH-000037,-0.26574276349180603
ACH-000039,-0.2916107827595064
ACH-000040,-0.3025592432145741
ACH-000041,-0.43236566149413
ACH-000042,-0.2498784547627847
ACH-000045,-0.20087481822709324
ACH-000047,-0.2023672589781104
ACH-000052,-0.3260056588952789
ACH-000053,-0.07506365611631395
ACH-000054,-0.2591648056475793
ACH-000055,-0.2143300698030014
ACH-000060,-0.2816631127965554
ACH-000067,-0.1924298519282497
ACH-000070,-0.14046719175036007
ACH-000075,-0.15990340271713838
ACH-000078,-0.18485100087547196
ACH-000082,-0.20038367825731174
ACH-000085,-0.09311231695793527
ACH-000086,-0.3439412180666665
ACH-000087,-0.08680346750225312
ACH-000092,-0.2132816468726716
ACH-000095,-0.3248570890798136
ACH-000097,-0.2960737429442731
ACH-000098,-0.21900820519554826
ACH-000099,-0.2749865129081067
ACH-000108,-0.34681463112965794
ACH-000113,-0.3306709286351142
ACH-000116,-0.13869630022257615
ACH-000118,-0.27487443602428363
ACH-000120,-0.15141790398898333
ACH-000123,-0.17779659319869884
ACH-000127,-0.1972737629739784
ACH-000128,-0.15557858280703382
ACH-000132,-0.2512993480908197
ACH-000133,-0.17039751150462715
ACH-000137,-0.39506335777906826
ACH-000138,-0.16563632902144204
ACH-000142,-0.12753907680396095
ACH-000143,-0.3716550347564129
ACH-000146,-0.1564021351060722
ACH-000148,-0.2781081562876679
ACH-000150,0.010030607547960564
ACH-000152,-0.2742429590988585
ACH-000153,-0.20249954728574532
ACH-000159,-0.25635990576039275
ACH-000160,0.04358697990446008
ACH-000163,-0.3984604277437968
ACH-000167,0.16391691383722434
ACH-000168,-0.24915232109893026
ACH-000169,-0.2646131936633793
ACH-000178,-0.3204951987755674
ACH-000183,-0.2116024546267629
ACH-000188,-0.2326887847139921
ACH-000189,-0.4236695851265788
ACH-000190,0.06573267177911454
ACH-000198,-0.4104165194149523
ACH-000203,-0.1867581325216334
ACH-000204,-0.3340972801702337
ACH-000206,-0.40580162715843376
ACH-000207,-0.12647817650111445
ACH-000208,-0.3497456105159459
ACH-000210,-0.3069486626714087
ACH-000211,-0.27208714908936554
ACH-000215,-0.2817832900391741
ACH-000221,-0.015564408060417497
ACH-000222,-0.2797394592466401
ACH-000223,-0.2120897939388915
ACH-000226,-0.4045694153638834
ACH-000227,-0.20246532412862744
ACH-000228,-0.4156683179188019
ACH-000231,-0.20172931991676915
ACH-000232,-0.34164658629993555
ACH-000233,0.0131364609170791
ACH-000234,-0.2851622411232632
ACH-000235,-0.18581409713332545
ACH-000237,-0.10470697212682953
ACH-000238,-0.2638619323865553
ACH-000242,-0.6192804141930585
ACH-000243,-0.14175612610275026
ACH-000244,-0.15569209462661104
ACH-000246,-0.14722202747044266
ACH-000248,-0.2946773424070324
ACH-000250,-0.2726248433085126
ACH-000251,-0.08857392337844301
ACH-000252,-0.10241154555241508
ACH-000253,-0.3472746075279216
ACH-000255,-0.32365294728396765
ACH-000256,-0.28750905662767884
ACH-000257,-0.3535563211780567
ACH-000258,-0.5183550990833717
ACH-000259,-0.15528656822139947
ACH-000260,-0.13572323746961076
ACH-000261,-0.18144290507035035
ACH-000262,-0.24334731313850544
ACH-000263,-0.07727492085514473
ACH-000264,-0.2929662523330133
ACH-000265,-0.24756036606122964
ACH-000266,-0.25121779078154205
ACH-000272,-0.21531071603172688
ACH-000274,-0.2766721121538677
ACH-000277,-0.0020996741688352524
ACH-000278,-0.1632123704678276
ACH-000279,-0.25409059039818216
ACH-000280,-0.269032226783909
ACH-000281,-0.17035668525671796
ACH-000288,-0.13531115328282647
ACH-000291,-0.31159767482356
