,DAPK2 (23604)
ACH-000004,-0.17682572596419774
ACH-000005,-0.25095899046083586
ACH-000007,-0.1546010438925905
ACH-000009,-0.2262215546598019
ACH-000011,-0.1938152826672274
ACH-000012,-0.14273457108081966
ACH-000013,-0.1224891817583382
ACH-000014,-0.08920114079497686
ACH-000015,0.00015288132196142554
ACH-000017,-0.18079259098485606
ACH-000018,-0.1734635573326431
ACH-000019,-0.1036929865594276
ACH-000021,0.04245483675563773
ACH-000022,-0.2229649936432751
ACH-000025,-0.15068280903793213
ACH-000028,-0.19201164932352893
ACH-000030,-0.1531072197511161
ACH-000035,-0.08182227873143101
ACH-000036,-0.10607611532202688
ACH-000037,-0.08863066567893489
ACH-000039,-0.07351628678525482
ACH-000040,0.01803299512816895
ACH-000041,-0.19472110792112066
ACH-000042,-0.10978298291730618
ACH-000045,-0.082021398759818
ACH-000047,-0.12255531235770745
ACH-000052,-0.17115299694404487
ACH-000053,-0.11309939449898546
ACH-000054,-0.10034699881038256
ACH-000055,0.009291543293323127
ACH-000060,-0.018311379729569484
ACH-000067,-0.14930958257191615
ACH-000070,-0.1500100510784671
ACH-000075,-0.07041866759331296
ACH-000078,-0.11190590240584897
ACH-000082,-0.10534179092682903
ACH-000085,0.07088391915235756
ACH-000086,-0.08691029555323042
ACH-000087,-0.192866065466718
ACH-000092,-0.04430563165409583
ACH-000095,-0.16509904135513828
ACH-000097,-0.1726440631559155
ACH-000098,-0.0724563792846877
ACH-000099,-0.1731641025882782
ACH-000108,0.001359380927859953
ACH-000113,-0.026678812139742443
ACH-000116,-0.15108159117032774
ACH-000118,-0.044112319384439935
ACH-000120,-0.2339381766211591
ACH-000123,-0.20852992314121974
ACH-000127,-0.10130145871522946
ACH-000128,-0.05074286814797006
ACH-000132,-0.15354512446869226
ACH-000133,-0.017800221280569992
ACH-000137,-0.17569179766554371
ACH-000138,0.01937481835502232
ACH-000142,-0.2071827466200544
ACH-000143,0.022757448928847943
ACH-000146,-0.10074479778393117
ACH-000148,-0.1838973975511701
ACH-000150,-0.08674952606145843
ACH-000152,-0.042247038665974165
ACH-000153,-0.14862717136042067
ACH-000159,-0.08811150671981599
ACH-000160,-0.10563528962940932
ACH-000163,-0.15790177050009085
ACH-000167,0.7419027391031393
ACH-000168,-0.2814040687275838
ACH-000169,-0.07271159142112764
ACH-000178,-0.09367734797012184
ACH-000183,0.05867391253773351
ACH-000188,-0.13770522721755213
ACH-000189,-0.04739749784063451
ACH-000190,-0.0475770353957676
ACH-000198,-0.2140220697149554
ACH-000203,-0.5165371367931156
ACH-000204,-0.2039253451084017
ACH-000206,0.008218838499394006
ACH-000207,-0.07948770156269641
ACH-000208,-0.14568655520853696
ACH-000210,-0.004390004871910138
ACH-000211,-0.046477651254734326
ACH-000215,-0.11537800605691527
ACH-000221,-0.08952964736927277
ACH-000222,-0.16638311449987295
ACH-000223,-0.09609140391175623
ACH-000226,-0.2826901323493233
ACH-000227,-0.2409546572229007
ACH-000228,-0.1598816366087111
ACH-000231,-0.1455745782752385
ACH-000232,-0.10879855260502032
ACH-000233,-0.12115989202137856
ACH-000234,-0.11456271487078815
ACH-000235,-0.0695704778510573
ACH-000237,-0.047671316367229016
ACH-000238,-0.12496837277297912
ACH-000242,-0.19208519205374636
ACH-000243,-0.0822541645950138
ACH-000244,-0.17038835967550173
ACH-000246,-0.054582322253520096
ACH-000248,-0.1686777226063532
ACH-000250,-0.14621516630064588
ACH-000251,0.0169258086262011
ACH-000252,-0.16591244529420246
ACH-000253,-0.1408416262062937
ACH-000255,-0.3026714656725528
ACH-000256,-0.14578874002395112
ACH-000257,-0.13131872555494745
ACH-000258,-0.258761805603697
ACH-000259,-0.058380927292897976
ACH-000260,-0.08650016904469689
ACH-000261,-0.05995913272390965
ACH-000262,-0.14280653755247147
ACH-000263,-0.10364053665738923
ACH-000264,-0.1942999583659876
ACH-000265,-0.285604260375314
ACH-000266,-0.14501580283037602
ACH-000272,-0.16391385240443238
ACH-000274,-0.1394638418955874
ACH-000277,-0.1522370001384316
ACH-000278,-0.07991971954441293
ACH-000279,-0.19883078552740494
ACH-000280,-0.2295382185266845
ACH-000281,-0.2598088062874759
ACH-000288,-0.20495523457659556
ACH-000291,-0.10127625711370708
ACH-000293,-0.236113517983576
ACH-000294,-0.1802720011677945
ACH-000295,-0.1778687535834801
ACH-000296,-0.02515888269471846
ACH-000302,-0.22211721854889693
ACH-000304,0.016296270688118727
ACH-000307,-0.2312868434347104
ACH-000308,-0.09557636677291373
ACH-000310,-0.12954148036170587
ACH-000311,-0.27098192193104514
ACH-000312,-0.08806799991937328
ACH-000315,-0.05399389407956677
ACH-000316,-0.1343074084914244
ACH-000317,-0.11268900609482922
ACH-000318,-0.037865953396658734
ACH-000319,-0.1399976224997834
ACH-000320,-0.040433924715393664
ACH-000322,-0.1366906348298407
