,RFFL (117584)
ACH-000004,-0.4854953153380239
ACH-000005,-0.16725397266562486
ACH-000007,-0.5370468286349454
ACH-000009,-0.5298238189215377
ACH-000011,-0.5461994871169703
ACH-000012,-0.2081566039824357
ACH-000013,-0.4012951462217454
ACH-000014,-0.327806031405417
ACH-000015,-0.2738312852675985
ACH-000017,-0.3179029045285589
ACH-000018,-0.665293957577625
ACH-000019,-0.2739436577876965
ACH-000021,-0.3338069118360665
ACH-000022,-0.4075203485402925
ACH-000025,-0.41047984477586336
ACH-000028,-0.594063953469309
ACH-000030,-0.5564513500119929
ACH-000035,-0.3261819480530298
ACH-000036,-0.4185492457328843
ACH-000037,-0.4899807249702178
ACH-000039,-0.3180810095404346
ACH-000040,-0.4285706621415882
ACH-000041,-0.5828040105174938
ACH-000042,-0.4008791616718107
ACH-000045,-0.1899828099201342
ACH-000047,-0.2630792610809418
ACH-000052,-0.3897879883637053
ACH-000053,-0.3610005175321015
ACH-000054,-0.4209936587124645
ACH-000055,-0.3674069613031531
ACH-000060,-0.5646680330920315
ACH-000067,-0.5455097682078066
ACH-000070,-0.3596980816309316
ACH-000075,-0.3755601572476145
ACH-000078,-0.3912246891682837
ACH-000082,-0.4254513846711709
ACH-000085,-0.3461036802265603
ACH-000086,-0.3143186700695926
ACH-000087,-0.5231491643473525
ACH-000092,-0.3655181524456022
ACH-000095,-0.344132912922653
ACH-000097,-0.5935739834947766
ACH-000098,-0.3232796992942092
ACH-000099,-0.3854658020374319
ACH-000108,-0.2587216355559339
ACH-000113,-0.4266467692517571
ACH-000116,-0.4272327912301897
ACH-000118,-0.3680776463895604
ACH-000120,-0.2706124972053217
ACH-000123,-0.3113160339873309
ACH-000127,-0.2178966278577668
ACH-000128,-0.2975742053597337
ACH-000132,-0.33248151293055184
ACH-000133,-0.4363701965301952
ACH-000137,-0.3026629805041752
ACH-000138,-0.38553301016774394
ACH-000142,-0.3544870515523454
ACH-000143,-0.07172190844995056
ACH-000146,-0.29432090573340475
ACH-000148,-0.4626646595855774
ACH-000150,-0.4160226275259535
ACH-000152,-0.6121488427194486
ACH-000153,-0.3882576351930135
ACH-000159,-0.35563314765004184
ACH-000160,-0.2963639913751664
ACH-000163,-0.2669009486048711
ACH-000167,0.15342174441632273
ACH-000168,-0.3978070954379093
ACH-000169,-0.4320386508688252
ACH-000178,-0.3391931919505882
ACH-000183,-0.4597889280108413
ACH-000188,-0.5042622906852174
ACH-000189,-0.25775320210023284
ACH-000190,-0.2615693929985621
ACH-000198,-0.4449574518650992
ACH-000203,-0.1593564396602806
ACH-000204,-0.4827854301423302
ACH-000206,-0.3313337170904436
ACH-000207,-0.4032900599958291
ACH-000208,-0.3634156805977001
ACH-000210,-0.4631637836687834
ACH-000211,-0.4276021803990283
ACH-000215,-0.3856213299332608
ACH-000221,-0.20577472769322536
ACH-000222,-0.2755311425053408
ACH-000223,-0.512476049569365
ACH-000226,-0.4779710046217792
ACH-000227,-0.651600369738756
ACH-000228,-0.4719567910595323
ACH-000231,-0.4750291208305542
ACH-000232,-0.3761816028414823
ACH-000233,-0.15274632906242194
ACH-000234,-0.4447834072259901
ACH-000235,-0.4498251502655011
ACH-000237,-0.3553458332808785
ACH-000238,-0.4856533422705824
ACH-000242,-0.5956723323253648
ACH-000243,-0.4553513531386414
ACH-000244,-0.5132170768466119
ACH-000246,-0.4142170175784627
ACH-000248,-0.1992869688053196
ACH-000250,-0.3938456057539394
ACH-000251,-0.4184451726647155
ACH-000252,-0.3801542127209853
ACH-000253,-0.22528123394921695
ACH-000255,-0.4454055699728478
