,SELV (348303)
ACH-000004,0.15247797888734424
ACH-000005,0.15330619519238126
ACH-000007,0.17665685068076567
ACH-000009,0.06714846402218329
ACH-000011,-0.020328079363350317
ACH-000012,-0.011733957413998042
ACH-000013,-0.42862196929375856
ACH-000014,0.05620322090986858
ACH-000015,-0.15573917334049622
ACH-000017,-0.06462102755858101
ACH-000018,-0.18212830835035504
ACH-000019,-0.011121637373955086
ACH-000021,-0.09136172567872937
ACH-000022,0.10241511690280987
ACH-000025,0.08659241937466435
ACH-000028,-0.038810702654089715
ACH-000030,-0.11804673678205417
ACH-000035,0.014704579905205725
ACH-000036,0.0016470509275680859
ACH-000037,-0.003982681778448102
ACH-000039,-0.028770812548246406
ACH-000040,0.03961719175475704
ACH-000041,-0.1111706175649574
ACH-000042,0.008797529063496809
ACH-000045,-0.09545490204268836
ACH-000047,0.14880089524086398
ACH-000052,-0.20330436583058334
ACH-000053,-0.008645872447552131
ACH-000054,-0.017603781165493874
ACH-000055,-0.014831488140532988
ACH-000060,0.13006692930302366
ACH-000067,0.004555268623481352
ACH-000070,-0.1629495859618026
ACH-000075,-0.046893971273873285
ACH-000078,0.01837242461901186
ACH-000082,0.009024567909821512
ACH-000085,0.06646265061475233
ACH-000086,-0.03936745707900205
ACH-000087,0.1420060162971954
ACH-000092,-0.0913788123729076
ACH-000095,-0.02212085234438758
ACH-000097,-0.15463072688248847
ACH-000098,-0.049321098951505465
ACH-000099,-0.03815580911670078
ACH-000108,0.0078491776214698
ACH-000113,-0.10788599086485556
ACH-000116,-0.04913512628698044
ACH-000118,-0.004504839710972289
ACH-000120,-0.12741105687089418
ACH-000123,0.032325228729037016
ACH-000127,0.07418305989989264
ACH-000128,-0.015576438964337387
ACH-000132,-0.07215666846229178
ACH-000133,-0.01946434370355025
ACH-000137,-0.16514925223663796
ACH-000138,-0.001708407985355859
ACH-000142,-0.06999982018160976
ACH-000143,0.2145079548466827
ACH-000146,0.0041674376385447505
ACH-000148,0.12915969692675636
ACH-000150,-0.06295036627736184
ACH-000152,0.04389014535859582
ACH-000153,-0.20038489189360156
ACH-000159,0.039379508532956777
ACH-000160,-0.06945357824437279
ACH-000163,-0.023806104178629675
ACH-000167,0.17761390606905528
ACH-000168,-0.008522734200743377
ACH-000169,0.06823445638179085
ACH-000178,-0.011485707815872766
ACH-000183,-0.012097203475388035
ACH-000188,-0.09619472361638504
ACH-000189,-0.17825543620081732
ACH-000190,-0.2358155863621756
ACH-000198,-0.07452012951271303
ACH-000203,0.05505708445893704
ACH-000204,-0.1298347734969625
ACH-000206,-0.031093642174771043
ACH-000207,-0.13254445441022347
ACH-000208,0.07368328403382918
ACH-000210,0.12176183689829938
ACH-000211,-0.03456628046164368
ACH-000215,0.04109992067143558
ACH-000221,0.013866323550063307
ACH-000222,0.006066469143380973
ACH-000223,0.10241387555157633
