,VWA5B2 (90113)
ACH-000004,-0.08132018968691014
ACH-000005,-0.4252563906979879
ACH-000007,-0.13004569566201882
ACH-000009,-0.10351404142535553
ACH-000011,0.12775424687006684
ACH-000012,-0.08358989708013048
ACH-000013,-0.07552367298400957
ACH-000014,-0.21085665723692604
ACH-000015,-0.17609506478371373
ACH-000017,0.031679306677481416
ACH-000018,-0.10319242624924342
ACH-000019,-0.1935391577810716
ACH-000021,-0.05694637702068319
ACH-000022,0.036778961099154586
ACH-000025,-0.16917186290295624
ACH-000028,-0.06433652696585689
ACH-000030,0.02725153469644279
ACH-000035,-0.07734899982673857
ACH-000036,-0.10806656924229777
ACH-000037,0.027413612075115647
ACH-000039,-0.2621555087315212
ACH-000040,-0.003003836138153038
ACH-000041,-0.18955893894780254
ACH-000042,-0.038640274238592016
ACH-000045,-0.15137319941412114
ACH-000047,0.06752349137663402
ACH-000052,0.17467750699700954
ACH-000053,-0.059840780473410016
ACH-000054,-0.09016809188090752
ACH-000055,0.05220821515165488
ACH-000060,-0.1568586108954709
ACH-000067,-0.17190934503404395
ACH-000070,0.15354485521360228
ACH-000075,0.1609867406352331
ACH-000078,-0.09976168741458227
ACH-000082,0.039666540555727166
ACH-000085,-0.06829622060400879
ACH-000086,-0.005022090049933214
ACH-000087,0.09401786634194023
ACH-000092,-0.1946647140647134
ACH-000095,-0.08810321977357277
ACH-000097,-0.08637350676003726
ACH-000098,-0.01882112457142552
ACH-000099,-0.05950144334469613
ACH-000108,0.006731334569165812
ACH-000113,-0.14928445229201634
ACH-000116,-0.053959099816188745
ACH-000118,-0.04550803384434704
ACH-000120,0.07773543451076005
ACH-000123,0.012533224735304712
ACH-000127,-0.05098341691720365
ACH-000128,-0.19759816843005612
ACH-000132,-0.07511663791484832
ACH-000133,-0.023776213485703697
ACH-000137,0.04668774627512392
ACH-000138,-0.11177011775419254
ACH-000142,-0.025474474062049092
ACH-000143,-0.09441160683003427
ACH-000146,-0.019013092605016647
ACH-000148,0.045674516265513936
ACH-000150,-0.06433568114716275
ACH-000152,0.06727763898572155
ACH-000153,0.08729529943620604
ACH-000159,-0.055072011362150564
ACH-000160,-0.02196202126098129
ACH-000163,-0.11144318938958996
ACH-000167,-0.06022780339535225
ACH-000168,-0.052068313694595636
ACH-000169,0.015042365091826132
ACH-000178,0.0053579146342104715
ACH-000183,-0.16228176018958276
ACH-000188,-0.029892471074954432
ACH-000189,-0.09133624906598263
ACH-000190,-0.10294749740054256
ACH-000198,-0.06527433449589956
ACH-000203,-0.28290260588359195
ACH-000204,-0.1510152157596038
ACH-000206,-0.1582548821886287
ACH-000207,-0.032703078810090734
ACH-000208,-0.012197540212939395
ACH-000210,-0.4700139374093377
ACH-000211,-0.028041080461208647
ACH-000215,-0.11653941042849955
ACH-000221,-0.16237162778426206
ACH-000222,-0.1345852251733645
ACH-000223,-0.058693904086695
ACH-000226,-0.052068332376544485
ACH-000227,-0.030244481646748433
ACH-000228,0.09523210893923888
ACH-000231,-0.007906794967992403
ACH-000232,-0.12341215375311156
ACH-000233,-0.019079421188863133
ACH-000234,-0.1918772020731878
ACH-000235,-0.10908262392807322
ACH-000237,-0.05371009384897755
ACH-000238,-0.11510976037470935
ACH-000242,0.10054669396908804
ACH-000243,-0.08107062977703856
