,PPM1K (152926)
ACH-000004,0.006100397551837625
ACH-000005,-0.01899947258220876
ACH-000007,-0.022055684161999663
ACH-000009,0.14264396530283582
ACH-000011,0.05651842586722222
ACH-000012,0.0606509406544611
ACH-000013,0.06064468964189228
ACH-000014,0.09892782767091617
ACH-000015,-0.07216409185345582
ACH-000017,0.02754434770762551
ACH-000018,0.004231764362355218
ACH-000019,-0.016459157572083258
ACH-000021,0.006131424573364665
ACH-000022,-0.01978993362670364
ACH-000025,0.08895219505668013
ACH-000028,-0.07434364937636971
ACH-000030,0.08339634386771001
ACH-000035,-0.04073276498587011
ACH-000036,-0.028152026904616483
ACH-000037,0.01982610891236604
ACH-000039,0.04087635862906923
ACH-000040,0.06487621284694273
ACH-000041,-0.10320243815386664
ACH-000042,-0.008061275749405494
ACH-000045,-0.02700758664709192
ACH-000047,0.03189660950900548
ACH-000052,0.11076546031540596
ACH-000053,0.011010828433185724
ACH-000054,0.05004108853333945
ACH-000055,0.0007238659792396356
ACH-000060,-0.031806898677494526
ACH-000067,-0.09259114190631683
ACH-000070,0.04486618961035722
ACH-000075,0.1648297571443606
ACH-000078,0.10561582913189373
ACH-000082,-0.02530860559757709
ACH-000085,0.08548867349480849
ACH-000086,0.1137825471913042
ACH-000087,-0.02668644153329374
ACH-000092,0.1225417119324331
ACH-000095,0.1316719203178391
ACH-000097,0.08725690847569567
ACH-000098,-0.10972626290537524
ACH-000099,0.07565728771290195
ACH-000108,0.1302620444713263
ACH-000113,-0.060637009611363576
ACH-000116,0.048456110882529525
ACH-000118,0.030622591609234712
ACH-000120,-0.04266596730015588
ACH-000123,0.1787753946259859
ACH-000127,-0.01768919811852512
ACH-000128,-0.06908380220442169
ACH-000132,-0.01089066074766297
ACH-000133,0.0784040539881838
ACH-000137,-0.07889063309318227
ACH-000138,0.11765487291017425
ACH-000142,-0.01268820579238906
ACH-000143,-0.05519657955728505
ACH-000146,0.046040564603022735
ACH-000148,0.011134068090092285
ACH-000150,-0.08141300613815147
ACH-000152,0.013175699717322444
ACH-000153,-0.08816916404617456
ACH-000159,0.0031674442683397
ACH-000160,-0.06680605607500008
ACH-000163,-0.062080422739117486
ACH-000167,-0.4261176008801431
ACH-000168,0.1642470084979131
ACH-000169,0.023209533644924358
ACH-000178,0.041404179524116194
ACH-000183,-0.020248989759529074
ACH-000188,0.10792566700270427
ACH-000189,-0.025579607479341897
ACH-000190,0.033176081298587644
ACH-000198,-0.14200493123384758
ACH-000203,-0.2522508259547816
ACH-000204,0.179124775944934
ACH-000206,-0.11414881068844415
ACH-000207,-0.03048068070946278
ACH-000208,0.08962617177247689
ACH-000210,-0.08363267052970746
ACH-000211,-0.022371780691890792
ACH-000215,-0.042191974937890106
ACH-000221,-0.05321840750127944
ACH-000222,-0.08988635328437865
ACH-000223,-0.09827152998010136
ACH-000226,0.13425453713857424
ACH-000227,0.043483964606620205
ACH-000228,-0.038192592192643336
ACH-000231,0.004880240471105985
ACH-000232,0.05291092226551966
ACH-000233,0.14310048847284965
ACH-000234,-0.02279858130446115
ACH-000235,0.010041629146536508
ACH-000237,-0.020862173048088132
ACH-000238,0.021783840372790308
ACH-000242,0.06328395561113727
ACH-000243,-0.0446539770820635
ACH-000244,0.18613438295500226
ACH-000246,0.05646429481024191
ACH-000248,-0.07417355988420707
ACH-000250,0.08050854871718555
ACH-000251,-0.03730534128475907
ACH-000252,-0.054877759092377326
ACH-000253,0.06482567426579806
ACH-000255,0.10642957913971753
ACH-000256,0.0856411060281341
ACH-000257,-0.06049740325649732
ACH-000258,-0.027503611366620242
ACH-000259,0.019162377615526117
ACH-000260,0.0836973572041508
ACH-000261,0.031082414487330408
ACH-000262,0.00822055414244953
ACH-000263,0.13447553368808765
ACH-000264,-0.07784105916145828
ACH-000265,-0.07810461446433327
ACH-000266,-0.06487226328580548
ACH-000272,-0.06987521537737226
ACH-000274,0.04972787093080802
ACH-000277,-0.25574894746423465
ACH-000278,-0.024771989054867632
ACH-000279,-0.13645911801523258
ACH-000280,0.054703897239002784
ACH-000281,-0.059787074127721926
ACH-000288,0.07113002016927553
ACH-000291,-0.03289667932152327
ACH-000293,0.09826364601554748
ACH-000294,0.08237275747888892
ACH-000295,0.03978916987510827
ACH-000296,-0.0230499136703455
ACH-000302,-0.09928536023140368
ACH-000304,-0.1033307502104843
ACH-000307,0.06340486869368182
ACH-000308,-0.021292520930765956
ACH-000310,0.16684057269799688
ACH-000311,0.01958370196505181
ACH-000312,0.020025953728492533
ACH-000315,0.13548612836732152
ACH-000316,-0.1386034576130277
ACH-000317,-0.03434830226967154
ACH-000318,0.058828170166572324
ACH-000319,0.042632027400127816
ACH-000320,-0.23587317790081985
ACH-000322,-0.04856518737950445
ACH-000323,-0.06460244168022848
ACH-000324,0.10183367729170292
ACH-000329,-0.016187408879435445
ACH-000330,0.011840192429393432
ACH-000331,0.13265276803834955
ACH-000332,-0.017105777331424817
ACH-000334,0.053663103012292636
ACH-000335,0.15244716434263175
ACH-000336,-0.009184152468499051
ACH-000337,0.0485405658382787
ACH-000338,-0.14659896998936056
ACH-000339,0.01485057005178585
ACH-000341,-0.09909769520656676
ACH-000348,-0.09504277526291907
ACH-000350,0.035591918612030024
ACH-000352,0.1392719695799511
ACH-000356,-0.05664809860152448
ACH-000361,0.1328925836975999
ACH-000362,0.051468605538643054
ACH-000363,-0.0050182603945541525
ACH-000364,-0.001775539499736448
ACH-000365,-0.12578443477721934
ACH-000366,0.06307116764786702
ACH-000368,-0.0572091821501378
ACH-000374,0.17704279662293124
ACH-000375,0.13732557305146229
ACH-000376,-0.03861339973071267
ACH-000381,0.06108927669753946
ACH-000383,0.03189162280146361
ACH-000387,0.004229167128586993
ACH-000389,0.04349341944940435
ACH-000390,-0.1280684616608624
ACH-000393,0.09664106384144946
ACH-000395,0.06236443731896703
ACH-000396,0.17017578063869854
ACH-000397,-0.031148606770010925
ACH-000401,0.05310215570583483
ACH-000402,-0.10651878601906482
ACH-000403,0.02695037835271919
ACH-000404,-0.4736077054778571
ACH-000406,0.038657799496771235
ACH-000407,-0.016384772978472868
ACH-000408,0.024711586026212345
ACH-000410,-0.03376892098699339
ACH-000411,0.07590456688249632
ACH-000414,-0.0027738175587289967
ACH-000415,0.031515212880556316
ACH-000416,-0.058052463303172014
