,TRMT61B (55006)
ACH-000004,-0.15208637472475495
ACH-000005,0.07786045336089621
ACH-000007,-0.27421214192587
ACH-000009,-0.2720575762478222
ACH-000011,-0.4169097508845546
ACH-000012,-0.07306568433783052
ACH-000013,-0.2988100498898789
ACH-000014,-0.2807147684218745
ACH-000015,-0.056291394261999916
ACH-000017,-0.3727014833372763
ACH-000018,-0.287238444443966
ACH-000019,-0.4297495346839985
ACH-000021,-0.1028090723952221
ACH-000022,-0.036507265295508566
ACH-000025,-0.11140308497377316
ACH-000028,-0.10408596505507786
ACH-000030,-0.14489710323273236
ACH-000035,-0.2183767085550712
ACH-000036,-0.36025314234919226
ACH-000037,-0.19974846939802987
ACH-000039,-0.27677016350068345
ACH-000040,-0.21802413734225135
ACH-000041,-0.06479819534495858
ACH-000042,-0.3076564246162556
ACH-000045,0.007430289742851406
ACH-000047,-0.15703842894750408
ACH-000052,-0.15413673226208532
ACH-000053,-0.18411778092270467
ACH-000054,-0.31328989826198395
ACH-000055,-0.13525011207749404
ACH-000060,-0.1676815758847591
ACH-000067,-0.2549887030818195
ACH-000070,-0.08476834548609906
ACH-000075,-0.05509707263266804
ACH-000078,-0.3502473280164249
ACH-000082,-0.2414138833324149
ACH-000085,-0.08197481535614003
ACH-000086,-0.2091537923096262
ACH-000087,-0.3026117317028737
ACH-000092,-0.25830742996108985
ACH-000095,-0.27819190726877463
ACH-000097,-0.13724895442968305
ACH-000098,-0.19714030789458015
ACH-000099,-0.25721872448630545
ACH-000108,-0.271490398690167
ACH-000113,-0.22187702336012266
ACH-000116,-0.16054060494037664
ACH-000118,-0.305490940173598
ACH-000120,-0.22379503320220745
ACH-000123,-0.1005894425927963
ACH-000127,-0.1185689067105848
ACH-000128,-0.38621980180396615
ACH-000132,-0.18402060462572234
ACH-000133,-0.19162510781019432
ACH-000137,-0.32231461063465033
ACH-000138,-0.04474025151895028
ACH-000142,-0.2617564353157231
ACH-000143,-0.04259173351261552
ACH-000146,-0.21205556863296332
ACH-000148,-0.1129537783620245
ACH-000150,0.12355543620037933
ACH-000152,-0.18285938635673568
ACH-000153,-0.14575736058761213
ACH-000159,-0.1415662265471295
ACH-000160,-0.1672713108410519
ACH-000163,-0.2561729349495532
ACH-000167,0.04163227903611307
ACH-000168,-0.22211687515850867
ACH-000169,-0.3594863228687967
ACH-000178,-0.2256717904517036
ACH-000183,-0.1894190688672225
ACH-000188,-0.1558435721924592
ACH-000189,0.24573672169561575
ACH-000190,-0.4721146359151595
ACH-000198,-0.2967646714406377
ACH-000203,-0.16680267314882988
ACH-000204,-0.31128606484675475
ACH-000206,-0.2500567170678736
ACH-000207,-0.5223492278446717
ACH-000208,-0.10332502597812364
ACH-000210,0.11755016164208246
ACH-000211,-0.167081689990056
