,HIST1H2BK (85236)
ACH-000004,-0.1392330379629573
ACH-000005,-0.4401170377561234
ACH-000007,-0.2338525750895726
ACH-000009,-0.14395750362011028
ACH-000011,-0.28844294145138044
ACH-000012,-0.2866472389342671
ACH-000013,-0.17668648020679306
ACH-000014,-0.24636749067829325
ACH-000015,-0.15800021009510776
ACH-000017,-0.3439634542885825
ACH-000018,-0.42755461760439584
ACH-000019,-0.13822761392667665
ACH-000021,-0.1646018904952591
ACH-000022,-0.30990663101097204
ACH-000025,-0.1398443955567487
ACH-000028,-0.38566598026995336
ACH-000030,-0.32467271288201954
ACH-000035,-0.25425552497938225
ACH-000036,-0.10609824610422944
ACH-000037,-0.2325081258405629
ACH-000039,-0.07287619231852129
ACH-000040,-0.18699847066858807
ACH-000041,-0.3656088674125105
ACH-000042,-0.1794471696841027
ACH-000045,-0.33139816720070364
ACH-000047,-0.2823789946498343
ACH-000052,-0.09532986097731387
ACH-000053,-0.21998097209716452
ACH-000054,-0.2443330457249757
ACH-000055,-0.11446368786948255
ACH-000060,-0.33527798795299274
ACH-000067,-0.3802890524915023
ACH-000070,0.02412744662079418
ACH-000075,-0.32537802894575946
ACH-000078,-0.354592643605604
ACH-000082,-0.3222547880070617
ACH-000085,-0.3569138663823425
ACH-000086,-0.24553978826785103
ACH-000087,-0.6479166362476647
ACH-000092,-0.20665107230105773
ACH-000095,-0.22520168062187199
ACH-000097,-0.3212365993045174
ACH-000098,-0.29895765141871145
ACH-000099,-0.32948763886382754
ACH-000108,-0.3275300048501472
ACH-000113,-0.4230252135396306
ACH-000116,-0.273251140111024
ACH-000118,-0.14403260666399886
ACH-000120,-0.21129620750907796
ACH-000123,-0.33153225380834883
ACH-000127,-0.32793720964941714
ACH-000128,-0.12491951259193708
ACH-000132,-0.12996525908341064
ACH-000133,-0.24067005081237225
ACH-000137,-0.23783999924235003
ACH-000138,-0.18043204446594013
ACH-000142,-0.2863977417141602
ACH-000143,-0.48146448090488897
ACH-000146,-0.3532526461809383
ACH-000148,-0.2313574238638261
ACH-000150,-0.38944929620364377
ACH-000152,-0.11591801362340125
ACH-000153,-0.08921871216605114
ACH-000159,-0.29948540589986306
ACH-000160,0.10271054671795876
ACH-000163,-0.13187296164289306
ACH-000167,0.49682184012217606
ACH-000168,-0.27079058376779125
ACH-000169,-0.3171240710343983
ACH-000178,-0.32372013182432224
ACH-000183,-0.21152617493491893
ACH-000188,-0.19737574087020832
ACH-000189,-0.4627102195722093
ACH-000190,0.2391551069629836
ACH-000198,-0.3844679128643621
ACH-000203,-0.3917975903844316
ACH-000204,-0.17226551194239867
ACH-000206,-0.4597096491486141
ACH-000207,-0.4669512590848727
ACH-000208,-0.18288369858487594
ACH-000210,-0.5629565259042472
ACH-000211,-0.15784170158127592
ACH-000215,-0.22121936775166973
ACH-000221,-0.2310448364454954
ACH-000222,-0.18821750536737566
ACH-000223,-0.3654190016453539
ACH-000226,-0.3525439779023772
ACH-000227,-0.16993335761762102
ACH-000228,-0.18388847954908466
ACH-000231,-0.3151227132861202
ACH-000232,-0.2406631249169514
ACH-000233,-0.4738688276650249
ACH-000234,-0.15010365625059355
ACH-000235,-0.21690503722134813
ACH-000237,-0.2848198288119331
ACH-000238,-0.17805350603753833
ACH-000242,-0.6423245872491817
ACH-000243,-0.19432773469127976
ACH-000244,-0.19943759498502067
ACH-000246,-0.31367211059177874
ACH-000248,-0.3193848981453249
ACH-000250,-0.23339655632635
ACH-000251,-0.5073765144250252
ACH-000252,-0.16779412866930488
ACH-000253,-0.31279924052412383
ACH-000255,-0.3010041951536727
ACH-000256,-0.15365630678755532
ACH-000257,-0.19983238751547047
ACH-000258,-0.2905294069652086
ACH-000259,-0.3054262614173527
ACH-000260,-0.19191302581389394
ACH-000261,-0.14341124061229954
ACH-000262,-0.2513286269012876
ACH-000263,-0.28496525604598705
ACH-000264,-0.3536289965173438
ACH-000265,-0.2439055096952588
ACH-000266,-0.18574760077667246
ACH-000272,-0.26125894086847096
ACH-000274,-0.2763578173160085
ACH-000277,-0.3060654389192898
ACH-000278,-0.4080066480009276
ACH-000279,-0.3518898423009796
ACH-000280,-0.3158512539187407
ACH-000281,-0.3718105777148925
ACH-000288,-0.2127532954671513
ACH-000291,-0.07301997350779865
ACH-000293,-0.21588353776863708
ACH-000294,-0.18233502241292615
ACH-000295,-0.5624690113226228
ACH-000296,-0.12746232968159182
ACH-000302,-0.2099915334511938
ACH-000304,-0.2625208273363465
ACH-000307,-0.32827746939953023
ACH-000308,-0.3650438107956838
ACH-000310,-0.23960097242479506
ACH-000311,-0.2186621797554633
ACH-000312,-0.3057541007328223
ACH-000315,-0.4304366327524177
ACH-000316,-0.32073037805808025
ACH-000317,-0.5017045165680738
ACH-000318,-0.17646292560846452
ACH-000319,-0.15170292124166956
ACH-000320,-0.16774276131978974
ACH-000322,-0.4685894220119793
ACH-000323,-0.11656715967616205
ACH-000324,-0.304465164811525
ACH-000329,-0.24010439805394415
ACH-000330,-0.2811466167584083
ACH-000331,-0.24107666725595486
ACH-000332,-0.2664037596037175
ACH-000334,-0.3517570104117828
ACH-000335,-0.3805367383235255
ACH-000336,-0.4654910783236458
ACH-000337,-0.2491541523497949
ACH-000338,-0.32142866001746234
ACH-000339,-0.2382348908645608
ACH-000341,-0.1601990838081848
ACH-000348,-0.17678984107796553
ACH-000350,-0.3328786200338081
ACH-000352,-0.17036893651884394
ACH-000356,-0.4146076758143316
ACH-000361,-0.26304753777248424
ACH-000362,-0.3176745996669032
ACH-000363,-0.16364153362997955
