,SLBP (7884)
ACH-000004,-0.1490570115282714
ACH-000005,-0.4754938085599076
ACH-000007,-0.5919867391539718
ACH-000009,-0.34746783899876416
ACH-000011,-0.5767173882180227
ACH-000012,-0.5006930329289045
ACH-000013,-0.1930032460897504
ACH-000014,-0.1701781459894224
ACH-000015,-0.3314738476365311
ACH-000017,-0.25587261453441845
ACH-000018,-0.7742438172580514
ACH-000019,-0.40925975439351703
ACH-000021,-0.20103312328357603
ACH-000022,-0.4407411975327329
ACH-000025,-0.4657177575880294
ACH-000028,-0.4257613969883919
ACH-000030,-0.2731465844880066
ACH-000035,-0.468890263913775
ACH-000036,-0.29571789847444685
ACH-000037,-0.5100564898529923
ACH-000039,-0.4025447328617037
ACH-000040,-0.5489215779392207
ACH-000041,-0.5278053825629839
ACH-000042,-0.4080021133283059
ACH-000045,-0.3897503242279418
ACH-000047,-0.5920461022297322
ACH-000052,-0.5106315189700685
ACH-000053,-0.3470744571113483
ACH-000054,-0.4971112090898641
ACH-000055,-0.4907884334233361
ACH-000060,-0.3566649782883782
ACH-000067,-0.3063399153442443
ACH-000070,-0.5050736230277979
ACH-000075,-0.5500147508488564
ACH-000078,-0.4273167839919486
ACH-000082,-0.08755459350471255
ACH-000085,-0.7158069845330641
ACH-000086,-0.32769730616174475
ACH-000087,-0.02454995167056409
ACH-000092,-0.5043385896342466
ACH-000095,-0.5238493171492423
ACH-000097,-0.3993944203379197
ACH-000098,-0.2492725602962155
ACH-000099,-0.4049090184263682
ACH-000108,-0.3586616245522289
ACH-000113,-0.4293876170296339
ACH-000116,-0.4803723557133368
ACH-000118,-0.4818400928571717
ACH-000120,-0.3457025160464607
ACH-000123,-0.5621178390234395
ACH-000127,-0.258002588621329
ACH-000128,-0.2414050287789195
ACH-000132,-0.1369022497543694
ACH-000133,-0.4680932592342783
ACH-000137,-0.40010744221420813
ACH-000138,-0.2927239379630128
ACH-000142,-0.20848868093325906
ACH-000143,-0.5036866479481864
ACH-000146,-0.2765470644582761
ACH-000148,-0.2904498774055108
ACH-000150,-0.492774884506163
ACH-000152,-0.4900119266025445
ACH-000153,-0.5028964206841009
ACH-000159,-0.2788478141343265
ACH-000160,-0.11223012428845223
ACH-000163,-0.3519609255549243
ACH-000167,-0.10350750698911282
ACH-000168,-0.2337829298912064
ACH-000169,-0.3584245150610217
ACH-000178,-0.353815950606894
ACH-000183,-0.5054980683384468
ACH-000188,-0.4585961611344974
ACH-000189,-0.3559795074832511
ACH-000190,-0.10777162017512076
ACH-000198,-0.4073296183468243
ACH-000203,-0.5469408305410927
ACH-000204,-0.7560704331332723
ACH-000206,-0.16681322138983878
ACH-000207,-0.3929481268187667
ACH-000208,-0.3644503156905678
ACH-000210,-0.7652921566889767
ACH-000211,-0.4620720410570384
ACH-000215,-0.6678543560511786
ACH-000221,-0.2813524506256819
ACH-000222,-0.25609446143445724
ACH-000223,-0.516659184099623
ACH-000226,-0.32894612564918874
ACH-000227,-0.14434733770757535
ACH-000228,-0.3934610256525289
ACH-000231,-0.4151514818023488
ACH-000232,-0.457093651927437
ACH-000233,-0.13276129596226102
ACH-000234,-0.5005008393711673
ACH-000235,-0.3881187423646693
ACH-000237,-0.5053864425298497
ACH-000238,-0.5844558735743719
ACH-000242,-0.600779626307082
ACH-000243,-0.5037675705243698
ACH-000244,-0.5205972969699815
ACH-000246,-0.3129720667627193
ACH-000248,-0.20212598471531604
ACH-000250,-0.2899099585095996
ACH-000251,-0.4065844273722449
ACH-000252,-0.29211101656870103
ACH-000253,-0.32746620120306497
ACH-000255,-0.3523369218584295
ACH-000256,-0.4998295078106858
ACH-000257,-0.35039707719173313
ACH-000258,-0.2788774102188429
ACH-000259,-0.4963200429692549
ACH-000260,-0.4152608430514563
ACH-000261,-0.3720274409747817
ACH-000262,-0.2846711165553045
ACH-000263,-0.18505552868565803
ACH-000264,-0.4656967540671774
ACH-000265,-0.3207907513932145
ACH-000266,-0.36140874697580855
ACH-000272,-0.409664295502776
ACH-000274,-0.2774302573385739
ACH-000277,-0.2917689755227297
ACH-000278,-0.4560406671609253
ACH-000279,-0.33004047980820095
ACH-000280,-0.4056756049510787
ACH-000281,-0.32890117387344664
ACH-000288,-0.199886612444516
ACH-000291,-0.3202574884694955
ACH-000293,-0.3391702919271523
ACH-000294,-0.21776232299377252
ACH-000295,-0.28594597310656605
ACH-000296,-0.3829934736417268
ACH-000302,-0.14238192075425968
ACH-000304,-0.4361882247718885
ACH-000307,-0.47446668602317105
ACH-000308,-0.4870217612782202
ACH-000310,-0.3187463081790203
ACH-000311,-0.19761455616861773
ACH-000312,-0.2998413913815227
ACH-000315,-0.4535401322997501
ACH-000316,-0.2591620335808252
ACH-000317,-0.2745503275795593
ACH-000318,-0.3482615553302106
ACH-000319,-0.2874532030241461
ACH-000320,-0.1392780505498663
ACH-000322,-0.5588589197906033
ACH-000323,-0.35074322182640866
ACH-000324,-0.4150459285778403
ACH-000329,-0.3762097897564633
ACH-000330,-0.4074853962209312
ACH-000331,-0.4580914819320498
ACH-000332,-0.3770953300182141
ACH-000334,-0.3921048922226315
ACH-000335,-0.1104458782156861
ACH-000336,-0.6821449989341389
ACH-000337,-0.576389730655655
ACH-000338,-0.8579180807448555
ACH-000339,-0.4507384151040462
ACH-000341,-0.3958159254273618
ACH-000348,-0.34044883071692866
ACH-000350,-0.305442950781593
ACH-000352,-0.5100826697068194
ACH-000356,-0.5717237111744139
ACH-000361,-0.5836694141681632
ACH-000362,-0.2045305459781012
ACH-000363,-0.2895648910360183
ACH-000364,-0.4913981436181357
ACH-000365,-0.1200637871290104
ACH-000366,-0.3415101852253581
ACH-000368,-0.4814308788284492
ACH-000374,-0.3744252489332404
ACH-000375,-0.44967905549562737
ACH-000376,-0.4420514076510572
ACH-000381,-0.6032535275854413
ACH-000383,-0.1902830388477297
ACH-000387,-0.5225862557002703
ACH-000389,-0.5540080598392179
ACH-000390,-0.3393634965755727
ACH-000393,-0.3447122212966625
ACH-000395,-0.34778344125937943
ACH-000396,-0.13790328546151873
ACH-000397,-0.4822627018130077
ACH-000401,-0.2834353547718423
ACH-000402,-0.12570518114812512
ACH-000403,-0.497862927323442
ACH-000404,-0.6576935079620325
ACH-000406,-0.3657904214386372
ACH-000407,-0.4559377860453932
ACH-000408,-0.6400645561207429
ACH-000410,-0.5904245191805233
ACH-000411,-0.4342054490114587
ACH-000414,-0.3436543078844828
ACH-000415,-0.5755908068799472
ACH-000416,-0.4551776543739578
ACH-000420,-0.2993653364007934
ACH-000421,-0.5738938502184737
ACH-000424,-0.16964758739134278
ACH-000425,-0.18636681843032527
ACH-000426,-0.6731674028231558
ACH-000427,-0.6469565726938639
ACH-000433,-0.3275087248140777
ACH-000435,-0.6151957367333891
ACH-000436,-0.4001530621965235
ACH-000444,-0.4885752803867215
ACH-000445,-0.5550470409088768
ACH-000448,-0.4648907622408535
ACH-000450,-0.12118872533171055
ACH-000452,-0.3827888988536927
ACH-000454,-0.30161895088339835
ACH-000458,-0.6972561542193435
ACH-000459,-0.1438087509704005
ACH-000460,-0.4935520349264295
ACH-000461,-0.2777830179500272
ACH-000463,-0.3596600951696371
ACH-000464,-0.3830530359304115
ACH-000466,-0.5521009034420837
ACH-000467,-0.4721644258326281
ACH-000468,-0.4486402936062161
ACH-000469,-0.5962793162337993
ACH-000470,-0.4590730357988669
ACH-000471,-0.3550430468679471
ACH-000472,-0.33639047385285303
ACH-000473,-0.4671445609115493
ACH-000475,-0.4742437785706387
ACH-000476,-0.4435388882477872
ACH-000477,-0.3806523530218817
ACH-000479,-0.3979145114084779
ACH-000480,-0.3379719079275585
ACH-000481,-0.37462935955906207
ACH-000483,-0.19844996183689628
ACH-000484,-0.3642729474730647
ACH-000485,-0.3674662908574272
ACH-000486,-0.3791630211334089
ACH-000487,-0.6544234301229477
ACH-000488,-0.4519207858072362
ACH-000490,-0.5501654659880711
ACH-000491,-0.3324578281562845
ACH-000495,-0.3831361777823532
ACH-000496,-0.35197531645633706
ACH-000499,-0.2959304094843968
ACH-000500,-0.23336938982064884
ACH-000502,-0.43554334833242975
ACH-000503,-0.7673926925784599
ACH-000505,-0.3749931326635448
ACH-000507,-0.4954966473436226
ACH-000510,-0.2981059644151407
ACH-000511,-0.6342300113471832
ACH-000512,-0.3684946490390731
ACH-000516,-0.3375997848006663
ACH-000517,-0.5996787848774575
ACH-000518,-0.5282835225349065
ACH-000520,-0.4256474841244205
ACH-000521,-0.30464557511394325
ACH-000522,-0.4887850999469195
ACH-000524,-0.5318627021985176
ACH-000527,-0.3144155374951165
ACH-000528,-0.4043267268356984
ACH-000537,-0.2616420305767913
ACH-000541,-0.6190622080634952
ACH-000542,-0.2907726426526249
ACH-000544,-0.5665644080449729
ACH-000545,-0.4326669775372565
ACH-000547,-0.2189485296010166
ACH-000548,-0.5028079662211625
ACH-000549,-0.39947434790946107
ACH-000550,-0.5526845615990388
ACH-000552,-0.5486999448211224
ACH-000556,-0.4961611423686425
ACH-000557,-0.29253302951551163
ACH-000569,-0.5402681650232622
ACH-000570,-0.3028153798373019
ACH-000571,-0.3802896732587556
ACH-000573,-0.2938989847944846
ACH-000576,-0.252361883886998
ACH-000579,-0.4556404726154782
ACH-000580,-0.4545882156248239
ACH-000584,-0.4488574350229967
ACH-000585,-0.5375970201799657
ACH-000588,-0.140148571877198
