,CTCF (10664)
ACH-000004,-1.3125473234798093
ACH-000005,-1.2591898724985642
ACH-000007,-1.3702003792599409
ACH-000009,-1.0962037650847172
ACH-000011,-1.3372708724913265
ACH-000012,-1.0751954229232217
ACH-000013,-1.3593089868340222
ACH-000014,-1.248797610159539
ACH-000015,-0.9003091038883335
ACH-000017,-1.1780294043645043
ACH-000018,-0.9203024538032444
ACH-000019,-0.8869301921847431
ACH-000021,-0.8555383385290452
ACH-000022,-1.1329473714615947
ACH-000025,-1.3085044454666332
ACH-000028,-0.9780385351862436
ACH-000030,-1.2297782320947452
ACH-000035,-1.0263502488871905
ACH-000036,-1.1725630414784347
ACH-000037,-1.1251229310218474
ACH-000039,-0.9181969046923244
ACH-000040,-1.2967676025680732
ACH-000041,-1.329030391442499
ACH-000042,-1.2919226475209096
ACH-000045,-1.3545775568930714
ACH-000047,-1.1524540398213423
ACH-000052,-1.1214826827189732
ACH-000053,-1.089163907255768
ACH-000054,-1.0506466947459001
ACH-000055,-1.2437450286540954
ACH-000060,-1.2233858021952595
ACH-000067,-1.331327823516362
ACH-000070,-1.139354114329032
ACH-000075,-1.060539599262302
ACH-000078,-1.1516163051481545
ACH-000082,-1.1683396607301937
ACH-000085,-1.4304925559793893
ACH-000086,-1.1424894888605663
ACH-000087,-1.448350898752505
ACH-000092,-1.0992909797194437
ACH-000095,-1.1709715419570728
ACH-000097,-1.1364547419374456
ACH-000098,-1.3217768621389814
ACH-000099,-1.0660531827088613
ACH-000108,-1.1730875432362748
ACH-000113,-1.273937145131314
ACH-000116,-1.277111422819077
ACH-000118,-1.2606360495481548
ACH-000120,-1.0255521819692506
ACH-000123,-1.0626743648891857
ACH-000127,-1.1548864221057824
ACH-000128,-1.2711793966030172
ACH-000132,-1.215771360362256
ACH-000133,-1.1745102654367503
ACH-000137,-1.330893737230157
ACH-000138,-1.0481404805108034
ACH-000142,-0.9635805619468972
ACH-000143,-1.2410707572881403
ACH-000146,-1.1202832230306683
ACH-000148,-1.2805692475696755
ACH-000150,-1.1644101515124112
ACH-000152,-1.1159709030096203
