,POLQ (10721)
ACH-000004,-0.7111602639454992
ACH-000005,-0.01777851960219531
ACH-000007,-0.417582172904498
ACH-000009,-0.34212456703690913
ACH-000011,-0.3399347585963505
ACH-000012,-0.33390705111167257
ACH-000013,-0.236265266451976
ACH-000014,-0.4142822219845452
ACH-000015,-0.2527029889449103
ACH-000017,-0.36586345167356416
ACH-000018,-0.33587209113151395
ACH-000019,-0.7126954835901116
ACH-000021,-0.31892604477164305
ACH-000022,-0.30735169804461265
ACH-000025,-0.41112266762068655
ACH-000028,-0.3460484012115103
ACH-000030,-0.26910022038825593
ACH-000035,-0.4264701999251307
ACH-000036,-0.5993307533072062
ACH-000037,-0.2346205947905292
ACH-000039,-0.4804214753302951
ACH-000040,-0.3641250238222644
ACH-000041,-0.2864785932536589
ACH-000042,-0.2479985035931844
ACH-000045,-0.3808592338185157
ACH-000047,-0.41503078946984107
ACH-000052,-0.15683442469041864
ACH-000053,-0.4982005831334183
ACH-000054,-0.40449312697081397
ACH-000055,-0.25197011089766563
ACH-000060,-0.25255332362713434
ACH-000067,-0.5866585131922754
ACH-000070,-0.4052042770052694
ACH-000075,-0.5017734054357392
ACH-000078,-0.254195279417028
ACH-000082,-0.3398483311224035
ACH-000085,-0.1083061307807025
ACH-000086,-0.5714597441039785
ACH-000087,-0.19328901941558496
ACH-000092,-0.30361246996482666
ACH-000095,-0.3074617835347647
ACH-000097,-0.4851316975127969
ACH-000098,-0.4223534999337412
ACH-000099,-0.3746481067011573
ACH-000108,-0.35645285060583176
ACH-000113,-0.3552447656254832
ACH-000116,-0.297971444639588
ACH-000118,-0.34987796172535945
ACH-000120,-0.24148775776775525
ACH-000123,-0.3471942746017793
ACH-000127,-0.18008512599777313
ACH-000128,-0.48667074866947
ACH-000132,-0.4180869420647728
ACH-000133,-0.3947943752757365
ACH-000137,-0.4170522135974485
ACH-000138,-0.2835582758353908
ACH-000142,-0.1937986064513961
ACH-000143,-0.3599076318153972
ACH-000146,-0.2949105647340421
ACH-000148,-0.3485389069696432
ACH-000150,-0.0994873329027567
ACH-000152,-0.5416479435619717
ACH-000153,-0.4299247740328205
ACH-000159,-0.32763398097562685
ACH-000160,-0.5424366144540695
ACH-000163,-0.43189428874617936
ACH-000167,-0.6699750582146946
ACH-000168,-0.32045270979793644
ACH-000169,-0.35188502795985793
ACH-000178,-0.22623163000085897
ACH-000183,-0.494037761536801
ACH-000188,-0.2952718983878421
ACH-000189,-0.43018641615225306
ACH-000190,-0.30143100099541303
ACH-000198,-0.2375615047869112
ACH-000203,-0.5043255459336746
ACH-000204,-0.4308824914074896
ACH-000206,-0.4123316004177792
ACH-000207,-0.5394084892695069
ACH-000208,-0.2814366155313886
ACH-000210,-0.5381438164134101
ACH-000211,-0.5015965004342303
ACH-000215,-0.2962113924694609
ACH-000221,-0.283130113107834
ACH-000222,-0.2536798923955688
ACH-000223,-0.9904240710205858
ACH-000226,-0.5555771811213733
ACH-000227,-0.35107439252831485
ACH-000228,-0.4325372551887411
ACH-000231,-0.4125236207152192
ACH-000232,-0.3447441820006404
ACH-000233,-0.3410659761707443
ACH-000234,-0.17896747138290453
ACH-000235,-0.2421425116134711
ACH-000237,-0.2856450658110132
ACH-000238,-0.1820387981737871
ACH-000242,-0.33897525102290643
ACH-000243,-0.4059698895789837
ACH-000244,-0.3728951146953591
ACH-000246,-0.4085471911272465
ACH-000248,-0.4532637899056041
ACH-000250,-0.2463463153000467
ACH-000251,-0.41322013553914855
ACH-000252,-0.3471997974218864
ACH-000253,-0.3031503611299178
ACH-000255,-0.3884781779059617
ACH-000256,-0.16172225605675444
ACH-000257,-0.17882916294735948
ACH-000258,-0.5842389495528468
ACH-000259,-0.11998041729477554
ACH-000260,-0.3552080407132014
ACH-000261,-0.38765526308197995
ACH-000262,-0.3539534169012791
ACH-000263,-0.5338565350911899
ACH-000264,-0.3671580201073107
ACH-000265,-0.27175845505420304
ACH-000266,-0.4332781345513775
ACH-000272,-0.3637291149945216
ACH-000274,-0.4727942578879638
ACH-000277,-0.3651903736908488
ACH-000278,-0.2694671501791246
ACH-000279,-0.3094570466431951
ACH-000280,-0.4726365722911125
ACH-000281,-0.15175692954013853
ACH-000288,-0.33590534851584514
ACH-000291,-0.22089996700618755
ACH-000293,-0.3906558690733484
ACH-000294,-0.4675427356355666
ACH-000295,-0.04798489996829864
ACH-000296,-0.6015710990896846
ACH-000302,-0.5390326021430849
ACH-000304,-0.4289118310867802
ACH-000307,-0.2991742372684931
ACH-000308,-0.2267796417575576
ACH-000310,-0.23897772160470535
ACH-000311,-0.3420908447847408
ACH-000312,-0.23021342952952306
ACH-000315,-0.21698301001981327
ACH-000316,-0.313993528318065
ACH-000317,-0.3002796520125523
ACH-000318,-0.38719666883615694
ACH-000319,-0.2607820929983111
ACH-000320,-0.07546594713121366
ACH-000322,-0.3685103449441384
ACH-000323,-0.4343849358108368
ACH-000324,-0.5865830124300393
ACH-000329,-0.3205484457439564
ACH-000330,-0.21157065245198686
ACH-000331,-0.461770893722896
ACH-000332,-0.35694021576422025
ACH-000334,-0.7432428118691239
ACH-000335,-0.2064813681528445
ACH-000336,-0.4254591106654326
ACH-000337,-0.5019860795954852
ACH-000338,-0.6793089873070276
ACH-000339,-0.3042697228569031
ACH-000341,-0.4018698965296072
ACH-000348,-0.30799377368392944
ACH-000350,-0.18983035639606466
ACH-000352,-0.4207669336195701
ACH-000356,-0.4759242520709659
ACH-000361,-0.37013653013290376
ACH-000362,-0.2205886856614238
ACH-000363,-0.3253381729568045
ACH-000364,-0.5006832898003426
ACH-000365,-0.3897596568147397
ACH-000366,-0.2199144287700092
ACH-000368,-0.4464778174696944
ACH-000374,-0.2953318840639859
ACH-000375,-0.3795981109357692
ACH-000376,-0.34966348992604057
ACH-000381,-0.20010261390568845
ACH-000383,-0.31722482192175483
ACH-000387,-0.2054947048397464
ACH-000389,-0.5709888724257491
ACH-000390,-0.2038316757077548
ACH-000393,-0.4046117693615969
ACH-000395,-0.5198822849826001
ACH-000396,-0.22149800747454024
ACH-000397,-0.4172601260509736
ACH-000401,-0.19352395630390867
