,SRRD (402055)
ACH-000004,-0.30847449238358715
ACH-000005,-0.4754245284029362
ACH-000007,-0.3729549977178372
ACH-000009,-0.26420194586175433
ACH-000011,-0.3280588658127849
ACH-000012,-0.3706676311235448
ACH-000013,-0.2150187746765061
ACH-000014,-0.2930597058738133
ACH-000015,-0.3409634718720995
ACH-000017,-0.4542869028512525
ACH-000018,-0.2182670666355825
ACH-000019,-0.4735759648467021
ACH-000021,-0.32174092260076176
ACH-000022,-0.4183578008169229
ACH-000025,-0.3865884921649232
ACH-000028,-0.5699136287727851
ACH-000030,-0.2917892439753303
ACH-000035,-0.031110007874037175
ACH-000036,-0.24239116753699946
ACH-000037,-0.2823404859803009
ACH-000039,-0.11143004922569384
ACH-000040,-0.15589955980343725
ACH-000041,-0.4336696443014859
ACH-000042,-0.2901578405722568
ACH-000045,-0.3907547343733091
ACH-000047,-0.4245574454522688
ACH-000052,0.012462455850421621
ACH-000053,-0.23061581705509926
ACH-000054,-0.17708680632317544
ACH-000055,-0.5308558871785172
ACH-000060,-0.2899088522421803
ACH-000067,-0.3372195732226385
ACH-000070,-0.11194203152911222
ACH-000075,0.13330166451743633
ACH-000078,-0.07315145932865079
ACH-000082,-0.28382953303817426
ACH-000085,-0.5212002296757834
ACH-000086,-0.1181556096536698
ACH-000087,-0.3691884541069829
ACH-000092,-0.19693162765946806
ACH-000095,-0.11182692479514901
ACH-000097,-0.3854070372114729
ACH-000098,-0.09399007365528582
ACH-000099,-0.3872626790809867
ACH-000108,-0.2701450537650525
ACH-000113,-0.3296462186003811
ACH-000116,-0.3881002888952921
ACH-000118,-0.4561630677661235
ACH-000120,-0.26287458727612323
ACH-000123,-0.1974197972384907
ACH-000127,-0.3181963757405238
ACH-000128,-0.1229220020873312
ACH-000132,-0.16422803330184468
ACH-000133,-0.254328197872497
ACH-000137,-0.20981576837685176
ACH-000138,-0.2287440940825989
ACH-000142,-0.059925174320185876
ACH-000143,-0.2920799929557986
ACH-000146,-0.17863228104649287
ACH-000148,-0.10322724151641713
ACH-000150,0.021242817351238383
ACH-000152,-0.17865156238509985
ACH-000153,-0.3848394626170606
ACH-000159,-0.08448621919217471
ACH-000160,-0.2279488740585278
ACH-000163,-0.1279142202356339
ACH-000167,0.061541849829353484
ACH-000168,-0.08134235978245938
ACH-000169,-0.15271211136284965
ACH-000178,-0.3716298757642169
ACH-000183,-0.4421695432844065
ACH-000188,-0.2554773541334705
ACH-000189,-0.3604635165780136
ACH-000190,-0.4667262893206078
ACH-000198,-0.2721570112265924
ACH-000203,-0.024107938196042056
ACH-000204,-0.10943423106734004
ACH-000206,-0.4236099136576185
ACH-000207,-0.1638115059339402
ACH-000208,-0.1910701999933817
ACH-000210,-0.054634366181961165
ACH-000211,-0.2968300507734717
ACH-000215,-0.2954744319202892
ACH-000221,-0.4007404251052453
ACH-000222,-0.26679783841857274
ACH-000223,-0.3473289137179338
ACH-000226,-0.4185844147311607
ACH-000227,-0.3268855317272901
ACH-000228,-0.07202949459850147
ACH-000231,-0.1728470624815227
ACH-000232,-0.29358760805987
ACH-000233,-0.2957276872015465
ACH-000234,-0.108432545017867
ACH-000235,0.0219091802925266
ACH-000237,-0.18697877959777456
ACH-000238,0.016570489421942936
ACH-000242,0.030311602793989888
ACH-000243,-0.26956720826900576
ACH-000244,-0.0845852432500447
ACH-000246,-0.27474503206383605
ACH-000248,-0.5057807765239836
ACH-000250,-0.2587085733640071
ACH-000251,-0.08038207187214977
ACH-000252,-0.4273590337848349
ACH-000253,-0.2873838888064005
ACH-000255,-0.4367099038079491
ACH-000256,-0.3481586239087323
ACH-000257,-0.2335267876323101
ACH-000258,-0.4051967287847289
ACH-000259,-0.17763155665711894
ACH-000260,-0.34126788490304183
ACH-000261,-0.07603663665838369
ACH-000262,-0.2376634183316691
ACH-000263,-0.4616672332322237
ACH-000264,-0.3553864417456683
ACH-000265,-0.3196369135330033
ACH-000266,0.03862256837160077
ACH-000272,-0.1460766859743025
ACH-000274,-0.09828322494333787
ACH-000277,-0.4014979522171733
ACH-000278,-0.39738598411781456
ACH-000279,-0.2378209560572809
ACH-000280,-0.042923346030090376
ACH-000281,-0.002238227877779665
ACH-000288,-0.1868181490821845
ACH-000291,-0.3082986198214102
ACH-000293,-0.1896680205735584
ACH-000294,-0.40785978207945467
ACH-000295,-0.11378747666374095
ACH-000296,-0.3487428117540291
ACH-000302,-0.2743438823492977
ACH-000304,-0.5676270425976112
ACH-000307,-0.1836239768287139
ACH-000308,-0.35062301508505384
ACH-000310,-0.2632962979069981
ACH-000311,-0.27884755022458463
ACH-000312,-0.20026684290208588
ACH-000315,-0.2721775614838195
ACH-000316,-0.2456738931578867
ACH-000317,-0.4500132065716239
ACH-000318,-0.3037115633099268
ACH-000319,-0.4855564754975501
ACH-000320,-0.14785457771699528
ACH-000322,-0.044122740570134183
ACH-000323,-0.29613799596347795
ACH-000324,-0.2630748524231569
ACH-000329,-0.14902404024410912
ACH-000330,-0.38867147689143455
ACH-000331,-0.01450074546088221
ACH-000332,-0.2099528832319454
ACH-000334,-0.3853292084013381
ACH-000335,-0.2719213918802106
ACH-000336,-0.3488219121494958
ACH-000337,-0.5446721260942763
ACH-000338,-0.17164696343749467
ACH-000339,-0.3156890085973329
ACH-000341,-0.4799573367124496
ACH-000348,-0.3489427495585277
ACH-000350,-0.3460088823664801
ACH-000352,-0.3777227410740551
ACH-000356,-0.25986066722194845
ACH-000361,-0.14868114631063575
ACH-000362,-0.2968244676151052
ACH-000363,-0.1819464942992052
ACH-000364,-0.4540799973734405
ACH-000365,-0.2678350702645617
ACH-000366,-0.2655684524120289
ACH-000368,-0.17741454857374842
ACH-000374,-0.1449167739357097
ACH-000375,-0.28337637236760344
ACH-000376,0.0763991740469166
ACH-000381,-0.2983867613202346
ACH-000383,-0.15335973982510814
ACH-000387,-0.20930720650551166
ACH-000389,-0.14103211989269204
ACH-000390,-0.3632221854313513
ACH-000393,-0.2925749103246149
ACH-000395,-0.3812890497255803
ACH-000396,-0.05445601396314261
ACH-000397,-0.3025501449317212
ACH-000401,-0.1608718195421055
ACH-000402,-0.2782415716162705
ACH-000403,-0.1935790985955768
ACH-000404,-0.2476070564352686
ACH-000406,-0.3457871506315907
ACH-000407,-0.2891133745196091
ACH-000408,-0.15481434870857716
ACH-000410,-0.3029515408992318
ACH-000411,0.04535947987860845
ACH-000414,-0.3080742892290199
ACH-000415,-0.08785829592062362
ACH-000416,-0.3360908390038512
ACH-000420,-0.2999578808385079
ACH-000421,-0.3874406862831723
ACH-000424,-0.2540357985806845
ACH-000425,-0.25456032605223344
ACH-000426,-0.3582015003444821
ACH-000427,-0.1447818895190166
ACH-000433,-0.043933151640064
ACH-000435,-0.07175344594577984
ACH-000436,-0.07933000280323174
ACH-000444,-0.4745377649321911
ACH-000445,-0.3196124391752642
ACH-000448,-0.19318331175839068
ACH-000450,-0.5001090018783637
ACH-000452,-0.183843789721626
ACH-000454,-0.4868980718209802
ACH-000458,-0.2001124283903246
ACH-000459,-0.5528513949187606
ACH-000460,-0.28864781207567786
ACH-000461,-0.27000168210132997
ACH-000463,-0.07262670062135032
ACH-000464,-0.1862101470751992
ACH-000466,0.04338126463255768
ACH-000467,-0.16153634243997825
ACH-000468,-0.5325310338604221
ACH-000469,-0.5163543152447108
ACH-000470,-0.5326905330698609
ACH-000471,-0.08318917386386072
ACH-000472,-0.219382066572442
ACH-000473,-0.423174919929489
ACH-000475,-0.40346089730697465
ACH-000476,0.01648520708887725
ACH-000477,-0.2431132578122021
ACH-000479,-0.44752285000505015
ACH-000480,-0.3775083580293761
ACH-000481,-0.34164208049632183
ACH-000483,-0.445741365033044
ACH-000484,-0.017950651899748156
ACH-000485,-0.3501167989256766
ACH-000486,-0.08762683525819867
ACH-000487,-0.23109881270910915
ACH-000488,-0.4784843950578786
ACH-000490,-0.3433205888765969
ACH-000491,-0.15806752739863686
ACH-000495,-0.08589102769990799
ACH-000496,-0.16692249285541474
ACH-000499,-0.3005443829757817
ACH-000500,-0.015532347221428447
ACH-000502,-0.3800422287702023
ACH-000503,-0.21803356881859148
ACH-000505,-0.35606913559472864
ACH-000507,-0.1920927903077659
ACH-000510,-0.2182605423562104
ACH-000511,-0.4040493745371044
ACH-000512,-0.2487632943369316
ACH-000516,-0.29645052177509473
ACH-000517,-0.25962830790860913
ACH-000518,-0.041583535366626456
ACH-000520,-0.4362613116411673
ACH-000521,-0.0492912160960539
ACH-000522,-0.2714805264061301
ACH-000524,-0.34824695093072056
ACH-000527,-0.2637012757490006
ACH-000528,-0.1968547671918812
ACH-000537,-0.2594850635472045
ACH-000541,-0.08414529958493087
ACH-000542,-0.2419072674532577
ACH-000544,-0.35419692465095043
ACH-000545,-0.10335729877835644
ACH-000547,-0.5005190480239448
ACH-000548,-0.2715783067335274
ACH-000549,-0.14159567021625402
ACH-000550,-0.48582856617321796
ACH-000552,-0.4493507848013709
ACH-000556,-0.30092841212493243
ACH-000557,-0.41309647735301225
ACH-000569,0.08504260027432498
ACH-000570,-0.12988972535594814
ACH-000571,-0.3259183785139691
ACH-000573,-0.1227735780642562
ACH-000576,-0.4463054701560644
ACH-000579,-0.2087163548665542
