,PKMYT1 (9088)
ACH-000004,-0.5603311004744592
ACH-000005,-0.4792486505844962
ACH-000007,-0.7607650286615097
ACH-000009,-0.8328221452997077
ACH-000011,-0.8693156640281853
ACH-000012,-1.157161792024833
ACH-000013,-1.191684239302768
ACH-000014,-0.8332581033497839
ACH-000015,-0.6976351375794381
ACH-000017,-0.14965349476552015
ACH-000018,-0.7811646167805478
ACH-000019,-0.7352770520628755
ACH-000021,-0.7397360673779422
ACH-000022,-1.2146463381506871
ACH-000025,-1.0129287124026354
ACH-000028,-0.8819467084071368
ACH-000030,-0.6701379958865701
ACH-000035,-1.0553677585882222
ACH-000036,-0.9967749900673336
ACH-000037,-0.907336889330895
ACH-000039,-0.6732290219842317
ACH-000040,-0.4934781730112887
ACH-000041,-0.5320361278838406
ACH-000042,-0.952461236894803
ACH-000045,-0.5814152701190097
ACH-000047,-0.7186047113587911
ACH-000052,-0.9075665672356305
ACH-000053,-0.9622594778264744
ACH-000054,-0.618298738472099
ACH-000055,-1.0359699849283086
ACH-000060,-0.9133663936323001
ACH-000067,-0.998531945720585
ACH-000070,-0.8515288512075164
ACH-000075,-1.1088856919643992
ACH-000078,-0.8250387433187532
ACH-000082,-0.2812260285332186
ACH-000085,-0.8456092491153634
ACH-000086,-1.0169121567710964
ACH-000087,-0.9588295052519188
ACH-000092,-1.1613666028180587
ACH-000095,-0.6774678566533427
ACH-000097,-0.7538615780179001
ACH-000098,-1.099692544841056
ACH-000099,-0.8815953531027645
ACH-000108,-1.0483744642429254
ACH-000113,-0.7424375433733286
ACH-000116,-0.6391252814616202
ACH-000118,-0.8815872042028452
ACH-000120,-0.6942930404559995
ACH-000123,-0.7842709244627118
ACH-000127,-1.0754317556542246
ACH-000128,-0.16578420173784753
ACH-000132,-0.7600700415652424
ACH-000133,-0.9533842030869728
ACH-000137,-1.1937048535301564
ACH-000138,-0.8727976917722982
ACH-000142,-1.064212255719143
ACH-000143,-0.6541195714567931
ACH-000146,-0.8283759499781446
ACH-000148,-0.9275268797045836
ACH-000150,-0.8234095061361244
ACH-000152,-1.113573781319758
ACH-000153,-0.4795112168218695
ACH-000159,-0.8832404949029866
ACH-000160,-0.8817148172908369
ACH-000163,-0.5526443245281915
ACH-000167,-0.8575910679512504
ACH-000168,-0.7756201060589382
ACH-000169,-0.4856976350851135
ACH-000178,-0.7611033787408296
ACH-000183,-1.0077701246663116
ACH-000188,-0.7950031758401626
ACH-000189,-0.6929211733762384
ACH-000190,-0.7968234882588918
ACH-000198,-0.8775329730558847
ACH-000203,-1.0824773903428808
ACH-000204,-0.9547719282811271
ACH-000206,-0.726128097801217
ACH-000207,-0.6903123412820666
ACH-000208,-0.5791285120401418
ACH-000210,-0.7681644423230223
ACH-000211,-1.0845395904757629
ACH-000215,-0.8202353050569512
ACH-000221,-0.7194846022261313
ACH-000222,-0.8519184444447564
ACH-000223,-0.8670439229904784
ACH-000226,-0.953984305807956
ACH-000227,-0.7119418768003513
ACH-000228,-0.9479922357914594
ACH-000231,-1.04943443840724
ACH-000232,-0.7831421085843812
ACH-000233,-1.018529961021317
ACH-000234,-0.5954155812375768
ACH-000235,-0.7369421676239749
ACH-000237,-1.054879598095786
ACH-000238,-0.5593857835367213
ACH-000242,-0.7324270879902333
ACH-000243,-0.9941931003281668
ACH-000244,-0.5373560183397054
ACH-000246,-0.8402848111601006
ACH-000248,-0.6088136378764507
ACH-000250,-0.8620928330728156
ACH-000251,-0.9923512316813612
ACH-000252,-0.8651859691109209
ACH-000253,-0.7383867884820081
ACH-000255,-0.9589769249349316
ACH-000256,-0.9205463267335976
ACH-000257,-0.04054336758225725
ACH-000258,-1.138479904562638
ACH-000259,-0.9569375538491752
ACH-000260,-1.033610323289457
ACH-000261,-0.3962648256189896
ACH-000262,-0.6535395828005659
