,PYURF (100996939)
ACH-000004,-0.197590678562238
ACH-000005,-0.3081743287249636
ACH-000007,-0.3951350242927836
ACH-000009,-0.19380445748123706
ACH-000011,-0.29426410980484285
ACH-000012,-0.4006456946260532
ACH-000013,-0.2615756187621477
ACH-000014,-0.2831336162917817
ACH-000015,-0.3911145562109821
ACH-000017,-0.1950495440642492
ACH-000018,-0.4485127735194896
ACH-000019,-0.6014949464875621
ACH-000021,-0.2991131302955703
ACH-000022,-0.2695123820342754
ACH-000025,-0.3057816087277197
ACH-000028,-0.6084015931434522
ACH-000030,-0.3215066572387211
ACH-000035,-0.3263687041055046
ACH-000036,-0.20438699086099704
ACH-000037,-0.3921703536061701
ACH-000039,-0.38057814869880696
ACH-000040,-0.33768410729645537
ACH-000041,-0.3967312319101789
ACH-000042,-0.20285240139286495
ACH-000045,-0.2628354006643416
ACH-000047,-0.2375677743977833
ACH-000052,-0.13005309803369355
ACH-000053,-0.33952307927361824
ACH-000054,-0.2650898248799081
ACH-000055,-0.2578684433451773
ACH-000060,-0.4920425741864746
ACH-000067,-0.2717262980255811
ACH-000070,-0.4245198511098875
ACH-000075,-0.4667769056227236
ACH-000078,-0.3000928170932161
ACH-000082,-0.419088870480204
ACH-000085,-0.1383809748224198
ACH-000086,-0.2813019752961849
ACH-000087,-0.28472717861100644
ACH-000092,-0.2902616054506769
ACH-000095,-0.22484505149291095
ACH-000097,-0.20872078947093164
ACH-000098,-0.33452364534073964
ACH-000099,-0.2564644081050385
ACH-000108,-0.18692449468176167
ACH-000113,-0.4895102487697438
ACH-000116,-0.2649199187076405
ACH-000118,-0.627480888362444
ACH-000120,-0.3202310163518933
ACH-000123,-0.2545740298969181
ACH-000127,-0.3574586011768322
ACH-000128,-0.3552784408454654
ACH-000132,-0.3637408972531466
ACH-000133,-0.3825575040411888
ACH-000137,-0.34073523345881834
ACH-000138,-0.26739897063086576
ACH-000142,-0.37609017371857795
ACH-000143,-0.4726629305593198
ACH-000146,-0.19438640534075916
ACH-000148,-0.3020173928152439
ACH-000150,-0.544577476988682
