,LDB3 (11155)
ACH-000004,-0.24659196818031906
ACH-000005,-0.1940855522072805
ACH-000007,0.15946036476476774
ACH-000009,-0.010932092596734284
ACH-000011,-0.2324439559756023
ACH-000012,0.020971494046802704
ACH-000013,0.00039496959183598463
ACH-000014,-0.07357394189887935
ACH-000015,-0.04155574213886618
ACH-000017,0.0042803040006781186
ACH-000018,0.13646363425435834
ACH-000019,-0.097009477400369
ACH-000021,0.011055925155013469
ACH-000022,-0.026807513045053882
ACH-000025,-0.19380960685828924
ACH-000028,-0.14667531430863975
ACH-000030,-0.03642797437261503
ACH-000035,-0.17739201886346515
ACH-000036,-0.15889167403905244
ACH-000037,-0.19718717481843245
ACH-000039,-0.11132317474865942
ACH-000040,-0.04432308936755065
ACH-000041,-0.17673513080944805
ACH-000042,-0.054418184537066136
ACH-000045,-0.0776782931396302
ACH-000047,-0.10113136479389062
ACH-000052,-0.29329630413697216
ACH-000053,-0.07652136164704514
ACH-000054,0.007463133248587081
ACH-000055,-0.13802585117827726
ACH-000060,-0.15156943174433793
ACH-000067,-0.21438329804097891
ACH-000070,0.12997314129202914
ACH-000075,-0.13646355056939055
ACH-000078,-0.0022748311353496514
ACH-000082,-0.08882664063132252
ACH-000085,-0.258301106464067
ACH-000086,-0.21780707508930772
ACH-000087,-0.260129653160173
ACH-000092,-0.024579941591578117
ACH-000095,-0.13529473324812538
ACH-000097,-0.15618356376370127
ACH-000098,-0.1122633628809544
ACH-000099,-0.12596823148067593
ACH-000108,-0.17252042138789667
ACH-000113,-0.07807086268381018
ACH-000116,-0.06277193767599358
ACH-000118,-0.13936574885964245
ACH-000120,-0.10873028581448163
ACH-000123,0.10246766433619632
ACH-000127,-0.07101269454779217
ACH-000128,0.030250558437886342
ACH-000132,-0.020583019776979284
ACH-000133,-0.07905835132457206
ACH-000137,0.006747084751677828
ACH-000138,0.06428667582351133
ACH-000142,0.08576864356207854
ACH-000143,-0.08147356727079134
ACH-000146,-0.035963137355495355
ACH-000148,-0.12147487351355335
ACH-000150,-0.0961534047829429
ACH-000152,0.05328247791304674
ACH-000153,-0.08920142227860338
ACH-000159,-0.06595170815940009
ACH-000160,0.009075413061064864
ACH-000163,-0.030495713756639994
ACH-000167,0.23892181406778554
ACH-000168,-0.0414515703677728
ACH-000169,-0.16410309142140292
ACH-000178,-0.0366939583410983
ACH-000183,-0.1306376401424247
ACH-000188,-0.035161177960732946
ACH-000189,-0.2090644214549322
ACH-000190,-0.1762257535833988
ACH-000198,-0.10521851588424504
ACH-000203,-0.05218885856767379
ACH-000204,-0.1425675347025168
ACH-000206,-0.0029449263946684547
ACH-000207,0.05858663445469861
ACH-000208,-0.04541215812303195
ACH-000210,0.13582741192550676
ACH-000211,-0.08245979709567186
ACH-000215,-0.11023109948423948
ACH-000221,0.04331343201642767
ACH-000222,-0.2348593337305541
ACH-000223,-0.100970754442305
ACH-000226,-0.11302839222400655
ACH-000227,-0.21876183426504284
ACH-000228,-0.30142618589537784
ACH-000231,-0.07694255140157477
ACH-000232,-0.15616038594277445
ACH-000233,-0.07278595669334162
ACH-000234,0.055274995928295205
ACH-000235,-0.02497691617603006
ACH-000237,-0.08001419047547235
ACH-000238,-0.01844044980416265
ACH-000242,-0.01857637439632665
ACH-000243,-0.012740720778907982
ACH-000244,0.005573028466238465
ACH-000246,0.011935373928675141
ACH-000248,-0.11995515281679048
ACH-000250,-0.10678658662178886
ACH-000251,-0.17888379001059793
