,HRK (8739)
ACH-000004,-0.2752188392571849
ACH-000005,0.0253274975250302
ACH-000007,-0.12124860750667199
ACH-000009,-0.25069246607293016
ACH-000011,-0.3629889717960392
ACH-000012,-0.20018050997865766
ACH-000013,-0.11887736860250013
ACH-000014,-0.3693497538073479
ACH-000015,-0.1902956263698377
ACH-000017,-0.0788685000075507
ACH-000018,-0.21133758180411044
ACH-000019,-0.041519274528414016
ACH-000021,-0.12129185260108828
ACH-000022,-0.23587763139045764
ACH-000025,-0.19059713511358867
ACH-000028,-0.2110261072454946
ACH-000030,-0.3311539299818179
ACH-000035,-0.1000083210909014
ACH-000036,-0.2556353865724952
ACH-000037,-0.2262136790608829
ACH-000039,-0.411143807230632
ACH-000040,-0.3595675559144035
ACH-000041,-0.20042774680311834
ACH-000042,-0.2001740746197632
ACH-000045,-0.1840420404554911
ACH-000047,-0.20046247064105985
ACH-000052,-0.06634110782336869
ACH-000053,-0.2127925931175831
ACH-000054,-0.1940428612878746
ACH-000055,-0.02891371289068581
ACH-000060,-0.2888452040849973
ACH-000067,-0.2143680229966108
ACH-000070,-0.09578090201097036
ACH-000075,-0.10040270909841144
ACH-000078,-0.31881030415399764
ACH-000082,-0.238728697601304
ACH-000085,-0.2212431820121023
ACH-000086,-0.18794018836679127
ACH-000087,0.07136093539993114
ACH-000092,-0.1670177376422434
ACH-000095,-0.21620149325550628
ACH-000097,-0.13054196859779346
ACH-000098,-0.188518431082064
ACH-000099,-0.2574730598653488
ACH-000108,-0.06755463016250142
ACH-000113,-0.09298363588074426
ACH-000116,-0.14853250066265766
ACH-000118,-0.1294928043423085
ACH-000120,-0.12737746489650192
ACH-000123,-0.1899771911648573
ACH-000127,-0.10295127464063482
ACH-000128,-0.1783728249855059
ACH-000132,-0.3415077739696888
ACH-000133,-0.16435676201265936
ACH-000137,-0.2252476787065692
ACH-000138,-0.10552290229791092
ACH-000142,-0.21829809463361047
ACH-000143,-0.1236593809193907
ACH-000146,-0.26771041226529724
ACH-000148,-0.1766221003007693
ACH-000150,-0.38692694946167533
ACH-000152,-0.21034807888675847
ACH-000153,-0.3704238807209451
ACH-000159,-0.22292543475557655
ACH-000160,-0.2377092408354846
ACH-000163,-0.1899821056082783
ACH-000167,-0.2293403922744351
ACH-000168,-0.2226145663472768
ACH-000169,-0.21940381419859928
ACH-000178,-0.15298025898158865
ACH-000183,-0.1794309862001465
ACH-000188,-0.0845022678774958
ACH-000189,-0.0839816470134134
ACH-000190,-0.01973022650492065
ACH-000198,-0.20498578661568734
ACH-000203,-0.5976410304647495
ACH-000204,-0.20246684531227588
ACH-000206,-0.12235393947036913
ACH-000207,-0.06557984284255391
ACH-000208,-0.22893136708921366
ACH-000210,-0.09915080951144367
ACH-000211,-0.16708260502570413
ACH-000215,-0.2032395971666295
ACH-000221,-0.114797358817238
ACH-000222,-0.3458594060324949
ACH-000223,-0.3637229021219622
ACH-000226,-0.2024572852532851
ACH-000227,-0.18115226805962148
