,FEM1A (55527)
ACH-000004,-0.1536220044976823
ACH-000005,-0.4945217972791074
ACH-000007,-0.2853554302291376
ACH-000009,-0.21581861014529533
ACH-000011,-0.2652803760919553
ACH-000012,-0.5315552282346303
ACH-000013,-0.2544281306501516
ACH-000014,-0.2528895949752044
ACH-000015,-0.3580918636933141
ACH-000017,-0.2694056560030849
ACH-000018,-0.5162766651169389
ACH-000019,-0.3209863646029721
ACH-000021,-0.3565050486630208
ACH-000022,-0.2015779540342883
ACH-000025,-0.4346315365844605
ACH-000028,-0.3766321251674273
ACH-000030,-0.3954792722617335
ACH-000035,-0.39599133221489613
ACH-000036,-0.4748914820261933
ACH-000037,-0.24269099409923306
ACH-000039,-0.38450059214109816
ACH-000040,-0.3788230795305057
ACH-000041,-0.3775471577467415
ACH-000042,-0.2978309415264767
ACH-000045,-0.18159505112009128
ACH-000047,-0.18934698573684045
ACH-000052,-0.3843529703984719
ACH-000053,-0.1839932550965749
ACH-000054,-0.2399334311223794
ACH-000055,-0.5922997142555387
ACH-000060,-0.30909830006817
ACH-000067,-0.4821859716947561
ACH-000070,-0.3744002449947219
ACH-000075,-0.33272609861340235
ACH-000078,-0.3539778152747451
ACH-000082,-0.2235281987171472
ACH-000085,-0.3709762530952188
ACH-000086,-0.262788210787915
ACH-000087,-0.4141910316098959
ACH-000092,-0.37716910911206575
ACH-000095,-0.21329523314156654
ACH-000097,-0.27999023971097386
ACH-000098,-0.30995488512435265
ACH-000099,-0.40119544223848014
ACH-000108,-0.290196457717515
ACH-000113,-0.18522499950194607
ACH-000116,-0.26669987410222523
ACH-000118,-0.2490936724677097
ACH-000120,0.01706170537021775
ACH-000123,-0.2823741343229841
ACH-000127,-0.4058801792114756
ACH-000128,-0.2765753991337636
ACH-000132,-0.42851895208325946
ACH-000133,-0.4519671692005372
ACH-000137,-0.4760740206184197
ACH-000138,-0.1732782833411193
ACH-000142,-0.5603797497533042
ACH-000143,-0.3883581918751225
ACH-000146,-0.20135304395726708
ACH-000148,-0.2555643766443975
ACH-000150,-0.3375553479494724
ACH-000152,-0.3313096759081243
ACH-000153,-0.12622150673420046
ACH-000159,-0.4151928906149922
ACH-000160,-0.15496534411956062
ACH-000163,-0.2406823575959362
ACH-000167,0.35399466129197904
ACH-000168,-0.32053262096028035
ACH-000169,-0.3564659308384147
ACH-000178,-0.20088525744599947
ACH-000183,-0.3695116853488464
ACH-000188,-0.4236758287663265
ACH-000189,0.013209942883959163
ACH-000190,-0.4609511580243
ACH-000198,-0.3791379230049689
ACH-000203,0.0319592172184014
ACH-000204,-0.26516036203129073
ACH-000206,-0.3431088593516561
ACH-000207,-0.2868106806860991
ACH-000208,-0.5281910591171407
ACH-000210,-0.1185111169145687
ACH-000211,-0.2290106026713848
ACH-000215,-0.2450863077496048
ACH-000221,-0.3676864449847944
ACH-000222,-0.2770459083708752
ACH-000223,-0.4962004479998126
ACH-000226,-0.2105829177053884
ACH-000227,-0.3248293913434063
ACH-000228,-0.42555317698624906
ACH-000231,-0.2589027321583068
ACH-000232,-0.5270362363743881
ACH-000233,-0.1877929480839924
ACH-000234,-0.23646122849760925
ACH-000235,-0.333881367417726
ACH-000237,-0.3651023477342663
ACH-000238,-0.3255397895440708
ACH-000242,-0.6106277937057258
ACH-000243,-0.25429723670133136
ACH-000244,-0.3997722788775852
ACH-000246,-0.2333439012924075
ACH-000248,-0.039247451216787486
ACH-000250,-0.359004680368979
ACH-000251,-0.543932551904474
ACH-000252,-0.21675755784702727
ACH-000253,-0.17707329511182646
ACH-000255,-0.4122259524493976
ACH-000256,-0.13292039820011625
ACH-000257,-0.4862102915121275
ACH-000258,-0.2956199489907301
ACH-000259,-0.2501789178535862
ACH-000260,-0.3067175682146357
ACH-000261,-0.19078721690546635
ACH-000262,-0.1415930235536093
ACH-000263,-0.2835968018563195
ACH-000264,-0.2349082471213325
ACH-000265,-0.3936822608316807
ACH-000266,-0.3086064117839599
ACH-000272,-0.2387239853931358
ACH-000274,-0.2458043496917534
ACH-000277,-0.2887762559337329
ACH-000278,-0.36052227992745817
ACH-000279,-0.2271011001809509
ACH-000280,-0.1900162064121915
ACH-000281,-0.1462255463943241
ACH-000288,-0.2800771392652437
ACH-000291,-0.3572521241609772
ACH-000293,-0.2628954736141719
ACH-000294,-0.2483132138872752
ACH-000295,-0.4980621225155635
ACH-000296,-0.459593052131548
ACH-000302,-0.3778848501952293
ACH-000304,-0.26899526217288305
ACH-000307,-0.30627543058478474
ACH-000308,-0.26434982404443785
