,FLYWCH2 (114984)
ACH-000004,-0.09104309837382027
ACH-000005,0.05710932123925747
ACH-000007,-0.3086033987516046
ACH-000009,-0.1737366364088744
ACH-000011,-0.2579052124202896
ACH-000012,-0.14273436870093173
ACH-000013,-0.14943251629308826
ACH-000014,-0.1505470610083417
ACH-000015,-0.16022842355593034
ACH-000017,-0.04589691459841879
ACH-000018,-0.028311079549643133
ACH-000019,-0.24246027596882724
ACH-000021,-0.208385095505825
ACH-000022,-0.05659301571040689
ACH-000025,-0.2405342288818653
ACH-000028,-0.0682889818848453
ACH-000030,-0.13478733160061396
ACH-000035,-0.06506018838611807
ACH-000036,-0.2628038082887735
ACH-000037,-0.2341982249133635
ACH-000039,-0.0941985881953525
ACH-000040,-0.21003869560740115
ACH-000041,-0.09173692127660507
ACH-000042,-0.14543208836609672
ACH-000045,-0.12910481386615788
ACH-000047,-0.11639679951891622
ACH-000052,-0.3137740535320517
ACH-000053,-0.10839941789721297
ACH-000054,-0.3006472263413541
ACH-000055,-0.010984525334843436
ACH-000060,-0.27822042196071184
ACH-000067,-0.19659244641684304
ACH-000070,-0.14169369189314696
ACH-000075,-0.045876427308309466
ACH-000078,-0.07881549519840986
ACH-000082,-0.2861320444216524
ACH-000085,-0.3477578215494901
ACH-000086,-0.20959644172141825
ACH-000087,-0.2806945431943992
ACH-000092,-0.35447526104599153
ACH-000095,-0.2158462556125733
ACH-000097,-0.15815452433741026
ACH-000098,-0.32334901945927713
ACH-000099,-0.12934860577462792
ACH-000108,-0.2668822255910309
ACH-000113,-0.2529097344243356
ACH-000116,-0.07777909805649794
ACH-000118,-0.18817602701942215
ACH-000120,-0.07111772909394434
ACH-000123,-0.2060343868853621
ACH-000127,-0.07550786707714016
ACH-000128,-0.07844334935852643
ACH-000132,-0.2469311467762845
ACH-000133,-0.09217050818108488
ACH-000137,-0.09954149347746284
ACH-000138,-0.17372742218328996
ACH-000142,-0.3436016471691761
ACH-000143,-0.12517258591348407
ACH-000146,-0.17682808197130584
ACH-000148,-0.3389468330606047
ACH-000150,0.002364451674117272
ACH-000152,-0.23708277858396085
ACH-000153,-0.06279808858859631
ACH-000159,-0.2590542467224753
ACH-000160,-0.06164407156217574
ACH-000163,-0.016828999504874466
ACH-000167,-0.037634043802953376
ACH-000168,-0.10247119844091604
ACH-000169,-0.07870440215391876
ACH-000178,-0.22132736779030696
ACH-000183,-0.24454153077833754
ACH-000188,0.015862044977524074
ACH-000189,0.03485767306764314
ACH-000190,-0.2649850934720681
ACH-000198,-0.07129722195269134
ACH-000203,-0.09170026737197047
ACH-000204,-0.1985257331407424
ACH-000206,0.005475559638244204
ACH-000207,-0.20979906543982088
ACH-000208,-0.2220675376175701
ACH-000210,0.2847622352964153
ACH-000211,-0.13036390308075382
ACH-000215,-0.21879753450866932
ACH-000221,-0.04882454377512605
ACH-000222,-0.18908872786502515
ACH-000223,-0.10584353196466507
ACH-000226,-0.14585336445933664
ACH-000227,-0.2881305691751761
ACH-000228,-0.14095305547884646
ACH-000231,-0.16037060046595966
ACH-000232,-0.14308402155668432
ACH-000233,-0.0957627494072349
ACH-000234,-0.2819568829416229
ACH-000235,-0.1545596361807565
ACH-000237,-0.17774448732019127
ACH-000238,-0.14487830380736186
ACH-000242,-0.2719991547197434
ACH-000243,-0.2423779719278012
ACH-000244,-0.384046082433128
