,LTBP1 (4052)
ACH-000004,-0.2513449038322165
ACH-000005,-0.025625728060668984
ACH-000007,0.2380481031984022
ACH-000009,0.15142892821345708
ACH-000011,0.1122823543342056
ACH-000012,0.14601684174163468
ACH-000013,0.10146418138487123
ACH-000014,0.0476393749878444
ACH-000015,0.10404627070772413
ACH-000017,0.24088239539055514
ACH-000018,0.029095888847837106
ACH-000019,0.18542246384667505
ACH-000021,0.11258602171092254
ACH-000022,0.08557458629490201
ACH-000025,0.038632043841420015
ACH-000028,0.14938824405105774
ACH-000030,0.11463988984370355
ACH-000035,0.11447791507073622
ACH-000036,0.10295920495683246
ACH-000037,0.1837370618450292
ACH-000039,0.06758526783787967
ACH-000040,0.14759247271081127
ACH-000041,-0.04979201452140415
ACH-000042,0.01346772164476537
ACH-000045,0.12613578954961496
ACH-000047,0.02439761179026341
ACH-000052,-0.05748778781277648
ACH-000053,0.09028409465369708
ACH-000054,0.16089445174374306
ACH-000055,-0.07454455614105585
ACH-000060,0.21500698715144234
ACH-000067,0.15519258353995766
ACH-000070,0.05539099810395751
ACH-000075,-0.12904934529272033
ACH-000078,0.10858307835688184
ACH-000082,0.10739657363981313
ACH-000085,-0.013095479574216595
ACH-000086,0.12613492341484225
ACH-000087,0.2938597635102085
ACH-000092,0.050467491674996715
ACH-000095,0.07318859217102312
ACH-000097,0.10890054260762506
ACH-000098,0.07496007214822338
ACH-000099,0.14489322156309964
ACH-000108,0.13956421880789824
ACH-000113,0.12166420656835165
ACH-000116,0.1678719242918135
ACH-000118,0.06674106210633124
ACH-000120,0.19997939437347526
ACH-000123,0.18428496110563788
ACH-000127,0.07354954344289957
ACH-000128,0.16421807888264245
ACH-000132,0.05317552870356962
ACH-000133,0.0930918301068265
ACH-000137,0.11931364899526595
ACH-000138,0.028027922319199317
ACH-000142,0.0821020244640786
ACH-000143,0.10718746638681777
ACH-000146,0.17832614567922564
ACH-000148,0.0674966975009199
ACH-000150,0.19449348630661145
ACH-000152,0.14266660811167134
ACH-000153,-0.014294321549268891
ACH-000159,0.04861505977990248
ACH-000160,0.0453782409956412
ACH-000163,0.11899518077098215
ACH-000167,0.1428766325247758
ACH-000168,0.1993504002727844
ACH-000169,0.19944254368709585
ACH-000178,0.13703304195074625
ACH-000183,0.21269059950738275
ACH-000188,0.1588916301059458
ACH-000189,-0.043641188812637406
ACH-000190,0.03642464623719379
ACH-000198,0.051981911903851805
ACH-000203,0.21206925588391828
ACH-000204,0.21154252489113032
ACH-000206,0.1834337109458142
ACH-000207,-0.09735785689796332
ACH-000208,0.036692296079414384
ACH-000210,0.03799185485194738
ACH-000211,0.07499554777739527
ACH-000215,0.035434532309516584
ACH-000221,0.1948752968630433
ACH-000222,0.19978784714917666
ACH-000223,0.05816422292762895
ACH-000226,0.12459462082666495
ACH-000227,-0.009690599508197959
ACH-000228,0.2513966762300929
ACH-000231,0.08031392023360312
ACH-000232,0.10423025301431103
ACH-000233,0.056742852837847566
ACH-000234,0.1431510518373436
ACH-000235,0.06993579746269328
ACH-000237,0.15841450905761165
ACH-000238,0.14107101306727465
ACH-000242,0.037301331338379685
ACH-000243,0.02501418397211289
