,AIP (9049)
ACH-000004,-0.20059594486212404
ACH-000005,-0.11470419186858224
ACH-000007,-0.4115885708749444
ACH-000009,-0.20021765321017432
ACH-000011,-0.10852758121991088
ACH-000012,-0.13388697585002818
ACH-000013,-0.16009944635273055
ACH-000014,-0.3440271304380461
ACH-000015,-0.07365105944461896
ACH-000017,-0.08268941261666103
ACH-000018,-0.3789377087904694
ACH-000019,-0.2545044411524037
ACH-000021,-0.25298695714749664
ACH-000022,-0.2582053078370709
ACH-000025,0.08299052778036642
ACH-000028,-0.35523571562928186
ACH-000030,-0.2310984380718451
ACH-000035,-0.11831018812800265
ACH-000036,-0.08154254088824099
ACH-000037,-0.2587144729601809
ACH-000039,-0.07979890079283508
ACH-000040,-0.15553828103414916
ACH-000041,-0.35470734067389953
ACH-000042,-0.5465743250072128
ACH-000045,-0.2817502183549318
ACH-000047,0.0710856379291526
ACH-000052,-0.2581144706879888
ACH-000053,-0.3636395741989359
ACH-000054,-0.2109827421006472
ACH-000055,-0.3865915540696156
ACH-000060,-0.5997056959054209
ACH-000067,-0.5900524328575181
ACH-000070,-0.19607948603158554
ACH-000075,-0.12339423636123785
ACH-000078,-0.2771867103437633
ACH-000082,-0.2752218103993712
ACH-000085,-0.3911661908705783
ACH-000086,-0.19948904907576545
ACH-000087,-0.1647415841858674
ACH-000092,-0.28911754112787
ACH-000095,-0.22716844641573886
ACH-000097,-0.3133811389073576
ACH-000098,-0.200045338874364
ACH-000099,-0.32417118003822026
ACH-000108,-0.1304124907530508
ACH-000113,-0.3000861588845897
ACH-000116,-0.4029722172640757
ACH-000118,-0.18410409469647912
ACH-000120,-0.20678552381649445
ACH-000123,-0.19067836924063586
ACH-000127,-0.15795797574437884
ACH-000128,-0.23484887986763786
ACH-000132,-0.07258522516839583
ACH-000133,-0.0753037540492752
ACH-000137,-0.23062182403782674
ACH-000138,-0.20506738375735367
ACH-000142,-0.09031468127148676
ACH-000143,-0.2746998810303076
ACH-000146,-0.15182115152007086
ACH-000148,0.015031658499543538
ACH-000150,-0.5580649771582077
ACH-000152,-0.08997992540929782
ACH-000153,-0.4891719962512815
ACH-000159,-0.1978405419479161
ACH-000160,-0.08161521156343422
ACH-000163,-0.4563915345168184
ACH-000167,0.6364944782642462
ACH-000168,-0.5729620451715768
ACH-000169,-0.2723788747451774
ACH-000178,-0.08002967693619126
ACH-000183,-0.4660597806193842
ACH-000188,-0.26210762922413205
ACH-000189,-0.4489687506430794
ACH-000190,0.17408699949714682
ACH-000198,-0.33064967378012955
ACH-000203,-0.8230136164541263
ACH-000204,-0.6599614787782303
ACH-000206,-0.5787619472823698
ACH-000207,-0.2716824118499421
ACH-000208,-0.432276182318812
ACH-000210,-0.0865373936003611
ACH-000211,-0.024021192313928276
ACH-000215,-0.28117049427751684
ACH-000221,-0.22666381557197465
ACH-000222,-0.08809709369890045
ACH-000223,-0.20251018906176207
ACH-000226,-0.1539819857814123
ACH-000227,-0.22661650208996198
