,PFKL (5211)
ACH-000004,-0.3273519376318791
ACH-000005,-0.5665238654700204
ACH-000007,-0.09272325847502448
ACH-000009,-0.04828825312872632
ACH-000011,-0.05747788142397716
ACH-000012,0.029736930684296607
ACH-000013,-0.035174111758580304
ACH-000014,-0.11105137777751524
ACH-000015,0.0177977367151341
ACH-000017,-0.05401408986692973
ACH-000018,0.0021456480896653303
ACH-000019,-0.33877152216100914
ACH-000021,-0.1191792308120008
ACH-000022,-0.17850587543586469
ACH-000025,-0.06983914406157052
ACH-000028,-0.22145625986084336
ACH-000030,-0.10622119421602773
ACH-000035,-0.05582897055831127
ACH-000036,0.014200207893956266
ACH-000037,-0.23502810181938025
ACH-000039,-0.13380796383418353
ACH-000040,-0.08431029665826888
ACH-000041,-0.06273810002204239
ACH-000042,-0.10371822480592333
ACH-000045,-0.4444556021104237
ACH-000047,0.02204337887586155
ACH-000052,0.04477252893278919
ACH-000053,0.0069827832299706296
ACH-000054,-0.03053289127872901
ACH-000055,-0.02175181996039519
ACH-000060,-0.2391251578409455
ACH-000067,0.012371976895765508
ACH-000070,0.05552675558503367
ACH-000075,-0.060212735227501174
ACH-000078,0.00979410935112352
ACH-000082,-0.13880413477928302
ACH-000085,0.16763856540231958
ACH-000086,0.0044948186699090495
ACH-000087,0.14115837568817732
ACH-000092,-0.07525437531394852
ACH-000095,-0.11626414219230137
ACH-000097,-0.11060914301659913
ACH-000098,-0.02188698918077744
ACH-000099,-0.03591298860786174
ACH-000108,-0.24186583692586605
ACH-000113,-0.1954251127726564
ACH-000116,-0.12982527306542402
ACH-000118,0.004168427896831581
ACH-000120,-0.22141323766202706
ACH-000123,-0.1474617386992579
ACH-000127,-0.047245976742775066
ACH-000128,-0.13232384572812253
ACH-000132,-0.32175851168821223
ACH-000133,0.04703496088532151
ACH-000137,-0.14816741367308225
ACH-000138,0.047029322592957036
ACH-000142,-0.09379299117845154
ACH-000143,0.09911770810347988
ACH-000146,-0.24093935766958954
ACH-000148,-0.0311861181308882
ACH-000150,-0.3088380091751907
ACH-000152,-0.13575049247318718
ACH-000153,0.00038784940463559945
ACH-000159,-0.10803387293910943
ACH-000160,-0.14205442146945926
ACH-000163,-0.1811173739490073
ACH-000167,-0.2393853827845617
ACH-000168,-0.2660752422493364
ACH-000169,-0.05101766267389079
ACH-000178,-0.1879129391214125
ACH-000183,-0.18175939089315524
ACH-000188,0.038665309619367406
ACH-000189,-0.07929827273560652
ACH-000190,-0.23210157103267065
ACH-000198,-0.07128360508898654
ACH-000203,0.035203387693513014
ACH-000204,-0.1662276367784706
ACH-000206,-0.08441618956766812
ACH-000207,-0.18955225903743744
ACH-000208,0.05797081410748781
ACH-000210,-0.2929328339181796
ACH-000211,-0.08113974711280535
ACH-000215,-0.08237856069280429
ACH-000221,-0.16607734925004194
