,BLOC1S6 (26258)
ACH-000004,-0.14766771086046754
ACH-000005,0.1856785019550542
ACH-000007,-0.07145340705038894
ACH-000009,-0.1373697377576513
ACH-000011,0.038721410783649386
ACH-000012,-0.08100828412509781
ACH-000013,-0.11313078276926733
ACH-000014,-0.12848258318098071
ACH-000015,-0.08622044599894386
ACH-000017,-0.17751344613347733
ACH-000018,0.018956999148937618
ACH-000019,0.1033166951049648
ACH-000021,-0.04847200368671334
ACH-000022,-0.061442710334212364
ACH-000025,-0.02597850918899161
ACH-000028,-0.0054749734619561185
ACH-000030,-0.09978955910736816
ACH-000035,-0.1091863882190269
ACH-000036,-0.0162675047210817
ACH-000037,0.011213627442150173
ACH-000039,0.03631871817736194
ACH-000040,0.07037255772213415
ACH-000041,-0.03657457966226635
ACH-000042,-0.04958874925573305
ACH-000045,-0.08307787157281163
ACH-000047,-0.029148860045268624
ACH-000052,-0.13942484316012255
ACH-000053,-0.09396960510035188
ACH-000054,-0.033990036830656836
ACH-000055,0.026780310926700173
ACH-000060,-0.035355740273102884
ACH-000067,-0.2029222744872884
ACH-000070,0.06801102337189281
ACH-000075,0.05238185120079632
ACH-000078,-0.1737424529881608
ACH-000082,-0.1378487342493969
ACH-000085,-0.14685632344597396
ACH-000086,-0.004947500483748148
ACH-000087,-0.0724187919845446
ACH-000092,-0.058495856269084635
ACH-000095,0.04823549356144277
ACH-000097,-0.20460814400991356
ACH-000098,-0.00392866055756694
ACH-000099,-0.042819348135472106
ACH-000108,-0.08849637306352436
ACH-000113,-0.044063863204589236
ACH-000116,-0.116022962836123
ACH-000118,-0.042477666495096315
ACH-000120,-0.1666302800277924
ACH-000123,-0.08925742112314387
ACH-000127,-0.055304743932441315
ACH-000128,-0.041041102481914164
ACH-000132,-0.12863939411271624
ACH-000133,0.0038377939746220132
ACH-000137,-0.10839527701104576
ACH-000138,0.06397591727632078
ACH-000142,-0.01398907658531517
ACH-000143,-0.03732439402180145
ACH-000146,0.015449595970811712
ACH-000148,-0.1180170122069806
ACH-000150,0.07971768636165984
ACH-000152,-0.04470445736059349
ACH-000153,0.08703657275146848
ACH-000159,-0.00516053316685123
ACH-000160,-0.16389432489303224
ACH-000163,-0.039809640649924864
ACH-000167,-0.17232913170622094
ACH-000168,-0.06380458346745167
ACH-000169,-0.08530281244992155
ACH-000178,-0.02556459580039153
ACH-000183,-0.1630842886688387
ACH-000188,-0.005284778703390439
ACH-000189,0.0755297502797473
ACH-000190,-0.0025733634226616127
ACH-000198,-0.05413617872182161
ACH-000203,-0.2617585671714993
ACH-000204,-0.1614353640225244
ACH-000206,-0.15108636537763814
ACH-000207,-0.20572210415853448
ACH-000208,-0.545093904998789
ACH-000210,-0.20888650405156772
ACH-000211,-0.06203568522469171
ACH-000215,0.01519187572910636
ACH-000221,-4.264303367701886e-05
ACH-000222,-0.17832086213298987
ACH-000223,-0.1271419892570051
ACH-000226,-0.09908092330946276
ACH-000227,-0.21038076193063815
ACH-000228,-0.052571263656169855
ACH-000231,-0.04317481331418
ACH-000232,0.026379861967535383
ACH-000233,-0.030655251841787662
ACH-000234,-0.0010771257088838034
ACH-000235,-0.1455463738180138
ACH-000237,-0.00887092012232673
ACH-000238,-0.15068553782438915
ACH-000242,-0.2424966038946153
ACH-000243,-0.18722687200469432
ACH-000244,0.06985884673857122
ACH-000246,0.0319986299996219
ACH-000248,-0.2211036488825908
ACH-000250,-0.17323015845079906
ACH-000251,0.16970974342154066
ACH-000252,-0.10819872957952556
ACH-000253,-0.14567233979744154
ACH-000255,-0.1800072984850809
ACH-000256,0.014827952144150666
ACH-000257,-0.012535597786195098
ACH-000258,-0.05026219261516942
ACH-000259,-0.060240239583139475
ACH-000260,-0.06489074717363644
ACH-000261,-0.14478221907848632
ACH-000262,0.11862966690182634
ACH-000263,-0.11937831913195535
ACH-000264,-0.07464723212082093
ACH-000265,-0.15986334948238434
ACH-000266,-0.219363389916303
ACH-000272,-0.041298003783311735
ACH-000274,-0.08979248675571833
ACH-000277,-0.17313434162876354
ACH-000278,-0.10122202914982767
ACH-000279,-0.12570773240575886
ACH-000280,-0.03924920692003229
ACH-000281,-0.03153592956536984
ACH-000288,-0.07392464544483847
ACH-000291,-0.1144490679483143
ACH-000293,0.10799249791625014
ACH-000294,-0.07492227887168965
ACH-000295,0.046899792718570914
ACH-000296,-0.10552605269227744
ACH-000302,-0.07882570390675496
ACH-000304,0.03444502384515455
ACH-000307,-0.16233012589460855
ACH-000308,-0.07988399715717913
ACH-000310,-0.0732988343367251
ACH-000311,-0.1551749023965129
ACH-000312,-0.07099060982044683
ACH-000315,-0.034337003735988685
ACH-000316,-0.23625715036615985
ACH-000317,0.02202499110002475
ACH-000318,0.056761339335311176
ACH-000319,-0.16024793917707705
ACH-000320,-0.041272987181775606
ACH-000322,0.042371251883367836
ACH-000323,-0.16919631265790278
ACH-000324,-0.048588166995910634
ACH-000329,-0.0790910190446087
ACH-000330,-0.3079455452620196
ACH-000331,0.006266648805020613
ACH-000332,-0.1299698469355824
ACH-000334,-0.06121717917985245
ACH-000335,-0.17691860761006584
ACH-000336,-0.4847253517696421
ACH-000337,-0.12906302457280486
ACH-000338,0.057850667493311435
ACH-000339,-0.07955109166891085
ACH-000341,-0.09881302831275107
ACH-000348,-0.16596353817436532
ACH-000350,0.04608739346515468
ACH-000352,-0.2052682488566441
ACH-000356,-0.18011075745541838
ACH-000361,-0.050429477058626535
ACH-000362,-0.06616803727932953
ACH-000363,-0.0026418583042472177
ACH-000364,0.09344535034474097
ACH-000365,-0.03489438371680735
ACH-000366,-0.16491561898028714
ACH-000368,0.005163247221200629
ACH-000374,-0.10855012786747242
ACH-000375,0.11204211326292154
ACH-000376,-0.0990565078774787
ACH-000381,0.02538718742478677
ACH-000383,-0.11656095068133747
ACH-000387,-0.04180388209298514
ACH-000389,-0.16502628449526316
ACH-000390,-0.058012349421060136
ACH-000393,-0.17123300480060097
ACH-000395,-0.2683380116036138
ACH-000396,-0.21049247830315612
ACH-000397,-0.09449878342218386
ACH-000401,0.04620542869554155
ACH-000402,-0.14174774407948332
ACH-000403,-0.12502998124575293
ACH-000404,0.14857560916174192
ACH-000406,0.008577147349500686
ACH-000407,-0.06691275499564939
ACH-000408,-0.2878933072958582
ACH-000410,-0.07456777225359232
ACH-000411,0.023598698385206632
ACH-000414,0.020562110613785118
ACH-000415,-0.119208372960444
ACH-000416,-0.11523769337400533
ACH-000420,-0.07246534746620283
ACH-000421,-0.05186815094502163
ACH-000424,0.022158332979759342
ACH-000425,-0.15934451549416753
ACH-000426,0.06287629263373454
ACH-000427,-0.16762978331045067
ACH-000433,0.1524903036033766
ACH-000435,-0.23459096742838625
ACH-000436,-0.0714727147175395
ACH-000444,0.01236892710729995
ACH-000445,-0.01755933181927528
ACH-000448,-0.17410836147832767
ACH-000450,-0.18485407662285785
