,FIGNL1 (63979)
ACH-000004,-0.21159795642400805
ACH-000005,-0.3842364029315473
ACH-000007,-0.2981837177497654
ACH-000009,-0.1363637205204988
ACH-000011,-0.10133091738673344
ACH-000012,-0.21455863385934013
ACH-000013,-0.07515420279980528
ACH-000014,-0.2017584309578571
ACH-000015,-0.07117019307398134
ACH-000017,-0.07171190375280828
ACH-000018,-0.23096702291517415
ACH-000019,-0.15334765057441094
ACH-000021,-0.07633203946627927
ACH-000022,-0.3172836043183625
ACH-000025,-0.2710227471972178
ACH-000028,0.07385335206854902
ACH-000030,-0.13702985247926774
ACH-000035,-0.13960113637620075
ACH-000036,-0.3545960302514688
ACH-000037,-0.14297042628216394
ACH-000039,-0.17159648440391015
ACH-000040,-0.29793131839238435
ACH-000041,-0.14151920555957945
ACH-000042,-0.2332094262326637
ACH-000045,-0.4482561268293837
ACH-000047,-0.20015522346774786
ACH-000052,-0.4235379885966053
ACH-000053,-0.2849199510105223
ACH-000054,-0.2880078488663968
ACH-000055,-0.3683679911219415
ACH-000060,-0.22816531696371364
ACH-000067,0.015569304524817291
ACH-000070,-0.3632764435926085
ACH-000075,-0.3376435964874332
ACH-000078,-0.31996411361616445
ACH-000082,-0.4376837248878222
ACH-000085,-0.07720085889457813
ACH-000086,-0.23438044906200256
ACH-000087,-0.4165585424051936
ACH-000092,-0.11545501580848225
ACH-000095,-0.2665859150599428
ACH-000097,-0.18073910662805429
ACH-000098,-0.13047922265296866
ACH-000099,-0.1746208497608512
ACH-000108,-0.19143144481142046
ACH-000113,-0.1149841500968957
ACH-000116,-0.2670642965157904
ACH-000118,-0.0565737785706215
ACH-000120,0.04325866833384144
ACH-000123,-0.1825904433522549
ACH-000127,-0.17096369907010903
ACH-000128,-0.2741173662630602
ACH-000132,-0.009879931756575065
ACH-000133,-0.3035444198334573
ACH-000137,-0.23094646596634236
ACH-000138,-0.1780145642575032
ACH-000142,-0.19119202424232207
ACH-000143,-0.09940243351056972
ACH-000146,-0.13364269244189214
ACH-000148,-0.20599666148866974
ACH-000150,-0.2719142946144795
ACH-000152,-0.1415243799965236
ACH-000153,-0.20453822983558606
ACH-000159,-0.21160930043752027
ACH-000160,-0.2316405242516836
ACH-000163,-0.114758510118058
ACH-000167,-0.006717626894587447
ACH-000168,-0.1366244886725925
ACH-000169,-0.2259360662371536
ACH-000178,-0.20634773105787899
ACH-000183,-0.16803406526991138
ACH-000188,-0.05234208848036101
ACH-000189,-0.3435093439843451
ACH-000190,-0.09618721701724588
ACH-000198,-0.13431544854260868
ACH-000203,-0.028237382531093706
