,RBMXL1 (494115)
ACH-000004,-0.8010611356008216
ACH-000005,-1.0690407165157965
ACH-000007,-0.5709004084745305
ACH-000009,-0.6633967669085555
ACH-000011,-0.5381148172778746
ACH-000012,-0.4566673980099098
ACH-000013,-0.6514337383315577
ACH-000014,-0.5422579302711762
ACH-000015,-0.5910148821036931
ACH-000017,-0.6067769996376197
ACH-000018,-0.6652906237393225
ACH-000019,-0.9580015402794138
ACH-000021,-0.8996999744079688
ACH-000022,-0.8756233089788241
ACH-000025,-0.6831757426058944
ACH-000028,-0.6451981836108892
ACH-000030,-0.7183997878391515
ACH-000035,-0.8030352644345045
ACH-000036,-0.6313439215520837
ACH-000037,-0.6398928254102262
ACH-000039,-0.4864696534037681
ACH-000040,-0.6864000413561753
ACH-000041,-0.8592994253960645
ACH-000042,-0.6879717800490105
ACH-000045,-0.5666208647576176
ACH-000047,-0.592432342019772
ACH-000052,-0.634189848500962
ACH-000053,-0.8147222039096509
ACH-000054,-0.8811510519947685
ACH-000055,-0.62430591923306
ACH-000060,-0.7311565828015835
ACH-000067,-0.6784160952861416
ACH-000070,-1.1108673655367443
ACH-000075,-0.7795247097790386
ACH-000078,-0.7253062472962383
ACH-000082,-0.7279856674812207
ACH-000085,-0.6794625812596726
ACH-000086,-0.8493514975438058
ACH-000087,-0.5900587148771363
ACH-000092,-0.7144215628878795
ACH-000095,-0.8185562936151957
ACH-000097,-0.6998186228873332
ACH-000098,-0.485234747534389
ACH-000099,-0.6655138532615393
ACH-000108,-0.6917379401369707
ACH-000113,-0.7125543721441688
ACH-000116,-0.6947631079118709
ACH-000118,-0.7194179540611846
ACH-000120,-0.7294923823832404
ACH-000123,-0.8080771045165378
ACH-000127,-0.6822422728351929
ACH-000128,-0.7329432452164778
ACH-000132,-0.8252777021752296
ACH-000133,-0.773889535540337
ACH-000137,-0.7664382110393038
ACH-000138,-0.7959068834627263
ACH-000142,-0.9560589557648512
ACH-000143,-0.7494016640879213
ACH-000146,-0.8724670367200899
ACH-000148,-0.6896820927100981
ACH-000150,-0.6646027157362527
ACH-000152,-0.6352418014729139
ACH-000153,-0.8606970450295791
ACH-000159,-0.7284954198447665
ACH-000160,-1.008664285695818
ACH-000163,-0.6178978392837255
ACH-000167,-1.1269536001706095
ACH-000168,-0.6962742564344172
ACH-000169,-0.6537659871000552
ACH-000178,-0.6845286895930821
ACH-000183,-0.7242048062289433
ACH-000188,-0.5506231428477906
ACH-000189,-0.5646574102795914
ACH-000190,-1.0751730991003785
ACH-000198,-0.6789160247403794
ACH-000203,-1.0165605534252593
ACH-000204,-0.6300708931023599
ACH-000206,-0.944728829442323
ACH-000207,-0.9537929963816548
ACH-000208,-0.8660028779847327
ACH-000210,-0.8044426790203706
ACH-000211,-0.6962231845549388
ACH-000215,-0.7369596420192878
ACH-000221,-0.775970826381958
ACH-000222,-0.5276542927785273
ACH-000223,-0.7725345003304759
ACH-000226,-0.5742940753123726
ACH-000227,-0.9969065796220712
ACH-000228,-0.7935590144199482
ACH-000231,-0.708795203551181
ACH-000232,-0.6910926653379509
ACH-000233,-0.6502721149181305
ACH-000234,-0.6525134972818487
ACH-000235,-0.5859240841710821
ACH-000237,-0.8786680450585123
ACH-000238,-0.5328263927638877
ACH-000242,-0.5002932450037334
ACH-000243,-0.7172554433710288
ACH-000244,-0.8890524934400611
ACH-000246,-0.7277294244470992
ACH-000248,-0.6094247602796085
ACH-000250,-0.6849948136955631
ACH-000251,-0.7985366885726319
ACH-000252,-0.7791784734062929
ACH-000253,-0.8574000287229274
ACH-000255,-0.7399113251515713
ACH-000256,-0.9213763617248876
ACH-000257,-0.901067164117816
ACH-000258,-0.6529951890560733
ACH-000259,-0.8187536014838976
ACH-000260,-0.8885336851029676
ACH-000261,-0.8449225045160325
ACH-000262,-0.751615880974067
ACH-000263,-0.8625743541321126
ACH-000264,-0.9331091868459088
ACH-000265,-0.5923530263193129
ACH-000266,-0.8048016154053012
ACH-000272,-0.8531866473062111
ACH-000274,-0.7152086682636429
ACH-000277,-0.4894770273648679
ACH-000278,-0.6771686627419968
ACH-000279,-0.8804356468537351
ACH-000280,-0.6415963073251387
ACH-000281,-0.6929770003027234
ACH-000288,-0.7017380509503869
ACH-000291,-0.9290721515470406
ACH-000293,-0.943091982321428
ACH-000294,-0.7457115683766858
ACH-000295,-1.1025284134780726
ACH-000296,-0.6760809045826448
ACH-000302,-0.9848922079055208
ACH-000304,-0.9487869564308684
ACH-000307,-0.8573689701985239
ACH-000308,-0.9997865519777532
ACH-000310,-0.8966805819144068
ACH-000311,-0.7895051051117978
ACH-000312,-0.9369724094370749
ACH-000315,-0.5868986038603876
ACH-000316,-0.7222194137000962
ACH-000317,-0.8178022709195729
ACH-000318,-0.7631753050158436
ACH-000319,-0.671670238366289
ACH-000320,-0.880948950882887
ACH-000322,-0.79569023122497
ACH-000323,-0.9607815998327424
ACH-000324,-0.5737703040995215
ACH-000329,-0.8249713946435945
ACH-000330,-0.894626892906531
ACH-000331,-0.8910140980433325
ACH-000332,-0.9841531485610541
ACH-000334,-0.5158688501949479
ACH-000335,-0.6131851091725475
ACH-000336,-0.6730205064295262
ACH-000337,-0.6869249569752932
ACH-000338,-0.5767523102940217
ACH-000339,-0.6494582642150466
ACH-000341,-0.5638539127307503
ACH-000348,-0.9064259330637576
ACH-000350,-0.6488981180150049
ACH-000352,-0.7841678552312897
ACH-000356,-0.8688476005426701
ACH-000361,-0.7101991887919208
ACH-000362,-0.9047748259301048
ACH-000363,-0.753373354452175
ACH-000364,-0.943262771683604
ACH-000365,-0.6520705214474963
ACH-000366,-0.6618357498763336
ACH-000368,-0.6272262397060315
ACH-000374,-0.7750786522763661
ACH-000375,-0.7843127362295538
ACH-000376,-0.6580968383552336
ACH-000381,-0.5222302450892616
ACH-000383,-0.5771350473345541
ACH-000387,-0.8265438150200201
ACH-000389,-0.8942231745395591
ACH-000390,-0.7544575712497812
ACH-000393,-0.8634924507688511
ACH-000395,-0.7088938137216556
ACH-000396,-0.7934001626971406
ACH-000397,-0.779038957099506
ACH-000401,-0.492037178083486
ACH-000402,-0.7712504527528958
ACH-000403,-0.7721320724717933
ACH-000404,-0.4542541181197469
ACH-000406,-0.6864760941393163
ACH-000407,-0.7157157319181207
ACH-000408,-0.9464998828273334
ACH-000410,-0.8106436128641102
ACH-000411,-0.7765421443067317
ACH-000414,-1.0223529372670601
ACH-000415,-0.7656112288495839
ACH-000416,-0.7377095638315656
ACH-000420,-0.8937314154593906
ACH-000421,-0.8129774533910683
ACH-000424,-0.9765128660401184
ACH-000425,-0.7055979599068622
ACH-000426,-0.7400225522236321
ACH-000427,-0.5348043975484049
ACH-000433,-0.5871656228895304
ACH-000435,-0.6368056235008785
ACH-000436,-0.7650648714915114
ACH-000444,-0.7819921174243022
ACH-000445,-0.6779125951227948
ACH-000448,-0.6962681255999643
ACH-000450,-0.8057753251025531
ACH-000452,-0.6911121160045994
ACH-000454,-0.4090370357073121
ACH-000458,-0.6696520661735179
ACH-000459,-0.3109974515689165
ACH-000460,-0.8476855367268589
ACH-000461,-0.5048212852230616
ACH-000463,-0.6227075350843386
ACH-000464,-0.6778518961308957
ACH-000466,-0.756420184859083
ACH-000467,-0.5706735466598309
ACH-000468,-0.6089870542687372
ACH-000469,-0.7498178598477458
ACH-000470,-0.8372017094998286
ACH-000471,-0.6364338469849076
ACH-000472,-0.6865830558458151
ACH-000473,-0.8381575732877139
ACH-000475,-0.6262525725936099
ACH-000476,-0.7166728555296265
ACH-000477,-0.4941036205148467
ACH-000479,-0.6068430395760729
ACH-000480,-1.0042978723491545
ACH-000481,-0.90395603530126
ACH-000483,-0.8106756175837413
ACH-000484,-0.9956386037328137
ACH-000485,-0.4056022314158361
ACH-000486,-0.5952828484771286
ACH-000487,-0.7271478113148914
ACH-000488,-0.8024367661056226
