,NBAS (51594)
ACH-000004,-0.13633924430227473
ACH-000005,-0.2565342936835573
ACH-000007,-0.5710899780040365
ACH-000009,-0.9999730839122856
ACH-000011,0.029297494644548124
ACH-000012,-0.28711877917477
ACH-000013,-0.8131978923973042
ACH-000014,-0.2595251336449482
ACH-000015,-0.5925632617146385
ACH-000017,-0.8715457346061902
ACH-000018,-0.665870497453977
ACH-000019,-0.4241376736657589
ACH-000021,-0.4071062389960919
ACH-000022,-0.4745678618734108
ACH-000025,-0.5646459948192035
ACH-000028,-0.4908687196973901
ACH-000030,-0.5192211921214186
ACH-000035,-0.8116853068758298
ACH-000036,-0.8437544927060443
ACH-000037,-0.8488321960999327
ACH-000039,-0.6856136862681065
ACH-000040,-0.6878319762972775
ACH-000041,-0.3893941363787414
ACH-000042,-0.3871317921027279
ACH-000045,-0.34142433348409645
ACH-000047,-0.4009882889024644
ACH-000052,-0.5607628727402219
ACH-000053,-0.3652292942455511
ACH-000054,-0.4964524765491921
ACH-000055,-0.487229985867432
ACH-000060,-0.3945822748495929
ACH-000067,-0.622961741060972
ACH-000070,-0.5866366236688075
ACH-000075,-0.4828985471382902
ACH-000078,-0.30079850048446394
ACH-000082,-0.3420525108776473
ACH-000085,-0.7639814697791967
ACH-000086,-0.4645448142959115
ACH-000087,-0.5917925133240446
ACH-000092,-0.21954663970314894
ACH-000095,-0.4152371741800769
ACH-000097,-0.3727777175996423
ACH-000098,-0.7380723437583669
ACH-000099,-0.7975305024009269
ACH-000108,-0.9105801269590986
ACH-000113,-0.5002308189933105
ACH-000116,-0.6453109188615218
ACH-000118,-0.6042334532100502
ACH-000120,-0.5427205345912739
ACH-000123,-0.4341979314163448
ACH-000127,-0.5129239952762344
ACH-000128,-0.3782863216210924
ACH-000132,-0.6875532028920627
ACH-000133,-0.8889523739140258
ACH-000137,-0.4873806102087601
ACH-000138,-0.5947060162297187
ACH-000142,-0.5129566988033295
ACH-000143,-0.620154466691071
ACH-000146,-0.4107078693751807
ACH-000148,-0.5900739364640875
ACH-000150,-0.5709028921452274
ACH-000152,-0.6694927412142659
ACH-000153,-0.6436569457361101
ACH-000159,-0.5429308967756351
ACH-000160,-0.5891664013535676
ACH-000163,-0.4792691288923502
ACH-000167,-0.2337152064395708
ACH-000168,-0.7387654735915603
ACH-000169,-0.8757777877980588
ACH-000178,-0.6680410125545329
ACH-000183,-0.6162375457004278
ACH-000188,-0.5170456115424443
ACH-000189,-0.8608391257995947
ACH-000190,-0.811069547698578
ACH-000198,-0.5303055559836704
ACH-000203,-0.6998133506230243
ACH-000204,-0.8499733694835865
ACH-000206,-0.9927817139594242
ACH-000207,-0.5155659417170496
ACH-000208,-0.5938181262341643
ACH-000210,-0.26022555961198673
ACH-000211,-0.1863969371038792
